"","knn.EpCAM","knn.EpCAM..SMA","knn.SMA","knn.Unclass","knn.EpMIN","knn.EpStrRatio1","knn.EpStrRatio2","knn.EpStrRatio3","knn.EpStrRatio4","IF.CD8","IF.EpCAM","IF.EpCAM..SMA","IF.SMA","IF.Unclass","IF.EpMIN","IF.EpStrRatio1","IF.EpStrRatio2","IF.EpStrRatio3","IF.EpStrRatio4","MH.EpCAM","MH.EpCAM..SMA","MH.SMA","MH.Unclass","MH.EpMIN","MH.EpStrRatio1","MH.EpStrRatio2","MH.EpStrRatio3","MH.EpStrRatio4","Treatment","Growth","Infil","CD8frac","GrowthRate","TumSize","knn.EpCAMcut","MH.EpCAMcut","IF.EpCAMcut","CD8Fraccut","CD8","EpCAM","EpCAM: SMA","SMA","Unclass","CD8","EpCAM","EpCAM: SMA","SMA","Unclass","Trichrome"
"11RC",153.335126312092,178.570277858514,70.2646798349859,25.5393123173911,153.335126312092,0.616212158184627,2.18225040905607,1.33383752527017,4.7236450084178,0.789417223829957,0.0386687955293883,0.0222283205268935,0.05326314739048,0.428649835345774,0.0222283205268935,0.512227362855255,0.725995316159251,0.806675479180436,1.14332552693208,0.0322612881366426,0.0348856968756196,0.0474261243538636,0.213933160167278,0.0322612881366426,0.39193991403372,0.680242979500694,0.815763568455838,1.41582273329471,"PDL1","growing","restricted",0.050418604,2.67857142857143,19,NA,"low","low","high",0.050418603715108,0.311258528044436,0.173017418342088,0.208405029282135,0.256900420616233,0.050418603715108,0.311258528044436,0.173017418342088,0.208405029282135,0.256900420616233,0.124598668056126
"11RD",73.8246082169253,68.8985902373071,24.2694839967484,26.2698530241219,68.8985902373071,0.792380961223522,3.04186970875921,1.53188954078503,5.88076773586757,0.26605627662072,0.232350672435188,0.125129959419123,0.344769762216185,0.443371231176845,0.125129959419123,0.494468631789309,0.673929961089495,0.760759403325959,1.03686770428016,0.320590315747783,0.305109733093232,0.358313422477238,0.472739748426804,0.305109733093232,0.483236548281332,0.894720363896356,0.943138694492782,1.7462367011405,"PDL1","growing","restricted",0.022445242,3.64285714285714,25,NA,"low","low","low",0.0224452418752018,0.265034819219336,0.149355669424051,0.282367270310208,0.280796999171204,0.0224452418752018,0.265034819219336,0.149355669424051,0.282367270310208,0.280796999171204,0.161619227345989
"12LC",23.9679514376733,185.039122479244,202.99399882031,19.4196462214514,23.9679514376733,0.0617677979585936,0.118072216799324,0.538632045679338,1.02962193528652,0.511887072808321,0.434249628528975,0.0115156017830609,0.00185735512630015,0.540118870728083,0.0115156017830609,32.4722222222223,233.8,33.3333333333334,240,0.510704274133774,0.379674639241913,0.286182533395526,0.693955828594035,0.379674639241913,0.766987719169399,1.78454033540874,1.33719204352628,3.11122730940786,"PDL1",NA,"Infiltrating",NA,NA,4,"high","high","high",NA,0.107059057466693,0.581189103201432,0.0114933386359117,0.00497116723006562,0.295287333465898,0.107059057466693,0.581189103201432,0.0114933386359117,0.00497116723006562,0.295287333465898,NA
"12LD",12.7475805953277,285.853432885354,355.949147074118,26.9763572577945,12.7475805953277,0.0198621523087873,0.0358129263691516,0.465253682058332,0.838886722823092,0.107865168539326,0.83623595505618,0.0230337078651685,0.000280898876404494,0.389606741573034,0.0230337078651685,35.8674698795181,2977.00000000001,36.8554216867471,3059.00000000001,0.743602340944354,0.16704090919141,0.157418751244494,0.698907822403598,0.16704090919141,2.29181754041578,4.72372150754412,2.80664551307345,5.78484610592167,"PDL1","stable","Infiltrating",0.022369256,0.77027027027027,6,"high","high","high","low",0.0223692560965648,0.739762609411425,0.0110840920658259,0.0019855856535153,0.224798456772669,0.0223692560965648,0.739762609411425,0.0110840920658259,0.0019855856535153,0.224798456772669,0.276814784264216
"13NA",70.8010078561864,NA,22.2120559237338,41.3666397039867,70.8010078561864,3.18750358360726,3.18750358360726,3.18750358360726,3.18750358360726,0.467845923586783,0.12793375108962,NA,0.484983799608559,0.260538477985559,0.12793375108962,0.263789741415854,0.263789741415854,0.263789741415854,0.263789741415854,0.266582979498341,NA,0.374188971371211,0.278262592783395,0.266582979498341,0.712428745618693,0.712428745618693,0.712428745618693,0.712428745618693,"Vehicle","growing","restricted",0.035581068,6.2,35,NA,"low","low","high",0.0355810679060535,0.338458463882884,0,0.35738956298038,0.268570905230682,0.0355810679060535,0.338458463882884,0,0.35738956298038,0.268570905230682,0.166215509004265
"14NB",49.2224298887209,100.58772933057,30.4816294488985,18.5134968484564,49.2224298887209,0.375544904980732,1.61482278928824,1.14298384164185,4.914768728832,0.505367119118383,0.254006189294359,0.0380039015023848,0.248899510780198,0.543044193195862,0.0380039015023848,0.88533694065715,1.02051702913418,1.01779929514791,1.17320475995076,0.408096217105301,0.280567794120776,0.466204789886333,0.646010947966937,0.280567794120776,0.546479913490525,0.875358267350278,0.922187056641492,1.47717060434746,"PDL1+LY","growing","restricted",0.106152005,3.31506849315069,23,NA,"low","low","high",0.106152004735647,0.368885019612605,0.063993035302689,0.181603615050858,0.2793663252982,0.106152004735647,0.368885019612605,0.063993035302689,0.181603615050858,0.2793663252982,0.142755297464136
"14NC",45.494853238138,76.7638756921953,44.4668605181252,19.2643222967983,45.494853238138,0.375274906845488,1.02311817627857,1.00847963769047,2.74943469149344,0.420674551029347,0.393517301795883,0.118615856329391,0.123959702146299,0.495575996495839,0.118615856329391,1.62224629830264,3.17455830388692,2.11123149151318,4.13144876325088,0.294291673348023,0.234610002929214,0.350532174208352,0.611587429529901,0.234610002929214,0.502940455920742,0.839556808195015,0.903885751091385,1.50885343826631,"PDL1+LY","stable","restricted",0.054129798,0.55952380952381,6,NA,"low","high","high",0.0541297977067744,0.546049449455146,0.126293377338986,0.0814721028821806,0.192055272616914,0.0541297977067744,0.546049449455146,0.126293377338986,0.0814721028821806,0.192055272616914,0.15485032053922
"14RD",22.1832643188894,43.2761676430318,31.5034609637733,22.4092032065563,22.1832643188894,0.296648495481705,0.704153246667042,0.87536449674162,2.07784890800394,0.121695533272562,0.5,0.192798541476755,0.168185961713765,0.479945305378304,0.192798541476755,1.38510101010101,2.97289972899729,1.91919191919192,4.11924119241192,0.53977638297987,0.475338231187073,0.545100182748972,0.557763881113521,0.475338231187073,0.528965173799994,0.990233355376522,0.994782830892688,1.86225330002214,"PDL1+LY","stable","Infiltrating",0.010337062,-0.166666666666667,1,"high","high","high","low",0.0103370617114103,0.507712748414576,0.132525465733159,0.089090018186444,0.260334705954411,0.0103370617114103,0.507712748414576,0.132525465733159,0.089090018186444,0.260334705954411,0.0217913475951452
"15LB",32.6957878212506,70.4688204470277,20.8917800036548,15.8320599193818,32.6957878212506,0.357876236145144,1.56500728111874,1.12920238876897,4.93804779919331,0.106456692913386,0.222677165354331,0.0332283464566929,0.461574803149606,0.650236220472441,0.0332283464566929,0.450031826861872,0.482429205049472,0.517186505410567,0.554418287273969,0.328996990087085,0.293118765051235,0.387811316911857,0.381770824927332,0.293118765051235,0.483158254866052,0.848342933122451,0.91362648180381,1.60417122453318,"PDL1+LY","growing","restricted",0.01296122,3.5,10,"high","low","low","low",0.0129612204366809,0.215390990012716,0.0414452883412291,0.266750081135199,0.463452420074175,0.0129612204366809,0.215390990012716,0.0414452883412291,0.266750081135199,0.463452420074175,0.00295475085300382
"15NC-D",39.2281808267701,NA,23.0636859928962,22.1894313245735,39.2281808267701,1.70086346297173,1.70086346297173,1.70086346297173,1.70086346297173,0.134485349361382,0.129977460555973,NA,0.36839469070874,0.300525920360631,0.129977460555973,0.352821210061183,0.352821210061183,0.352821210061183,0.352821210061183,0.407644818877978,NA,0.491842636490167,0.395855078702098,0.407644818877978,0.828811470650385,0.828811470650385,0.828811470650385,0.828811470650385,"PDL1+LY","growing","restricted",0.01078746,2.68571428571429,22,"high","low","low","low",0.010787460286585,0.224532084116795,0,0.267973697291923,0.496706758304696,0.010787460286585,0.224532084116795,0,0.267973697291923,0.496706758304696,NA
