"","knn.EpCAM","knn.EpCAM..SMA","knn.SMA","knn.Unclass","knn.EpMIN","knn.EpStrRatio1","knn.EpStrRatio2","knn.EpStrRatio3","knn.EpStrRatio4","IF.CD8","IF.EpCAM","IF.EpCAM..SMA","IF.SMA","IF.Unclass","IF.EpMIN","IF.EpStrRatio1","IF.EpStrRatio2","IF.EpStrRatio3","IF.EpStrRatio4","MH.EpCAM","MH.EpCAM..SMA","MH.SMA","MH.Unclass","MH.EpMIN","MH.EpStrRatio1","MH.EpStrRatio2","MH.EpStrRatio3","MH.EpStrRatio4","Treatment","Growth","Infil","CD8frac","GrowthRate","TumSize","knn.EpCAMcut","MH.EpCAMcut","IF.EpCAMcut","CD8Fraccut","CD8","EpCAM","EpCAM: SMA","SMA","Unclass"
"11RD",73.8246082169253,68.8985902373071,24.2694839967484,26.2698530241219,68.8985902373071,0.792380961223522,3.04186970875921,1.53188954078503,5.88076773586757,0.26605627662072,0.232350672435188,0.125129959419123,0.344769762216185,0.443371231176845,0.125129959419123,0.494468631789309,0.673929961089495,0.760759403325959,1.03686770428016,0.384733829961786,0.367227909646329,0.422113685579174,0.548163685066951,0.367227909646329,0.487411068020397,0.91144599927837,0.952644259667186,1.78141994751097,"PDL1","growing","restricted",0.022445242,3.64285714285714,25,NA,"low","high","low",0.0224452418752018,0.265034819219336,0.149355669424051,0.282367270310208,0.280796999171204
"12LD",355.949147074118,285.853432885354,12.7475805953277,26.9763572577945,285.853432885354,1.1920560580989,27.9228787307752,2.1493650422623,50.3470109610218,0.107865168539326,0.000280898876404494,0.0230337078651685,0.83623595505618,0.389606741573034,0.000280898876404494,0.0003269042170644,0.000335908632851864,0.0271330500163452,0.0278804165267047,0.164260754931918,0.1721016408885,0.813676321584189,0.756413958100051,0.164260754931918,0.166630581312543,0.20187481259392,0.341215170784199,0.413385995017695,"PDL1","stable","Infiltrating",0.022369256,0.77027027027027,6,NA,"low","low","low",0.0223692560965648,0.0019855856535153,0.0110840920658259,0.739762609411425,0.224798456772669
"13NA",70.8010078561864,NA,22.2120559237338,41.3666397039867,70.8010078561864,3.18750358360726,3.18750358360726,3.18750358360726,3.18750358360726,0.467845923586783,0.12793375108962,NA,0.484983799608559,0.260538477985559,0.12793375108962,0.263789741415854,0.263789741415854,0.263789741415854,0.263789741415854,0.30390131688508,NA,0.403003341305765,0.298523931706878,0.30390131688508,0.754091308276537,0.754091308276537,0.754091308276537,0.754091308276537,"Vehicle","growing","restricted",0.035581068,6.2,35,NA,"low","low","high",0.0355810679060535,0.338458463882884,0,0.35738956298038,0.268570905230682
"14NB",49.2224298887209,100.58772933057,30.4816294488985,18.5134968484564,49.2224298887209,0.375544904980732,1.61482278928824,1.14298384164185,4.914768728832,0.505367119118383,0.254006189294359,0.0380039015023848,0.248899510780198,0.543044193195862,0.0380039015023848,0.88533694065715,1.02051702913418,1.01779929514791,1.17320475995076,0.435343638426527,0.300368679418402,0.48072180874578,0.665964863983904,0.300368679418402,0.557353654951972,0.9056040947307,0.941904080248235,1.53043257963359,"PDL1+LY","growing","restricted",0.106152005,3.31506849315069,23,NA,"low","high","high",0.106152004735647,0.368885019612605,0.063993035302689,0.181603615050858,0.2793663252982
"14NC",44.4668605181252,76.7638756921953,45.494853238138,19.2643222967983,44.4668605181252,0.36371113054401,0.977404197467527,0.991591661969604,2.66471320559605,0.420674551029347,0.123959702146299,0.118615856329391,0.393517301795883,0.495575996495839,0.118615856329391,0.242045843311667,0.315004452359751,0.473657201505303,0.616429207479964,0.367080825320535,0.251077345918867,0.318969246739133,0.634202882542105,0.251077345918867,0.643948810585673,1.15083453678765,1.08439937928068,1.93798674185339,"PDL1+LY","stable","restricted",0.054129798,0.55952380952381,6,NA,"low","low","high",0.0541297977067744,0.0814721028821806,0.126293377338986,0.546049449455146,0.192055272616914
"14RD",31.5034609637733,43.2761676430318,22.1832643188894,22.4092032065563,31.5034609637733,0.481266946864118,1.42014540830889,1.14238126371621,3.37099299417034,0.121695533272562,0.168185961713765,0.192798541476755,0.5,0.479945305378304,0.168185961713765,0.242763157894737,0.33637192342753,0.521052631578948,0.72196900638104,0.621489682619276,0.543726591684334,0.6250649494912,0.61543193694334,0.543726591684334,0.531736978515605,0.994280167405268,0.996941056855761,1.86415231769449,"PDL1+LY","stable","Infiltrating",0.010337062,-0.166666666666667,1,"high","high","low","low",0.0103370617114103,0.089090018186444,0.132525465733159,0.507712748414576,0.260334705954411
"15LB",32.6957878212506,70.4688204470277,20.8917800036548,15.8320599193818,32.6957878212506,0.357876236145144,1.56500728111874,1.12920238876897,4.93804779919331,0.106456692913386,0.222677165354331,0.0332283464566929,0.461574803149606,0.650236220472441,0.0332283464566929,0.450031826861872,0.482429205049472,0.517186505410567,0.554418287273969,0.464235253854851,0.402006472272697,0.54742413948955,0.54889862347386,0.402006472272697,0.488961750446596,0.848035774030226,0.912380236529038,1.58239592235608,"PDL1+LY","growing","restricted",0.01296122,3.5,10,"high","high","low","low",0.0129612204366809,0.215390990012716,0.0414452883412291,0.266750081135199,0.463452420074175
"15NC-D",39.2281808267701,NA,23.0636859928962,22.1894313245735,39.2281808267701,1.70086346297173,1.70086346297173,1.70086346297173,1.70086346297173,0.134485349361382,0.129977460555973,NA,0.36839469070874,0.300525920360631,0.129977460555973,0.352821210061183,0.352821210061183,0.352821210061183,0.352821210061183,0.475660116206005,NA,0.5696919092288,0.469112503545889,0.475660116206005,0.834942726937992,0.834942726937992,0.834942726937992,0.834942726937992,"PDL1+LY","growing","restricted",0.01078746,2.68571428571429,22,"high","high","low","low",0.010787460286585,0.224532084116795,0,0.267973697291923,0.496706758304696
"15ND",15.5442937646535,53.4327554106199,37.2896843417231,17.3359761878132,15.5442937646535,0.171339018296761,0.416852382610842,0.760308578159595,1.84976221689535,0.0286054827175209,0.602502979737783,0.0643623361144219,0.187723480333731,0.49284862932062,0.0643623361144219,2.39007092198581,3.2095238095238,2.64539007092198,3.55238095238094,0.606357080655477,0.69821675225893,0.657464826123173,0.559479135873044,0.606357080655477,0.447271018744029,0.922265430123373,0.962301069600216,1.98424886180907,"PDL1+LY","stable","Infiltrating",0.010472054,-0.228571428571429,3,"high","high","high","low",0.0104720537207619,0.401776130207943,0.0548253825607229,0.104215032826581,0.428711400683991
"15RD",91.0751669576987,NA,NA,11.5258914612054,91.0751669576987,Inf,NA,Inf,NA,0.221662992388004,0.157896926084605,NA,NA,0.881910070296577,0.157896926084605,Inf,NA,Inf,NA,0.372987045801756,NA,NA,0.500466103481249,0.372987045801756,Inf,NA,Inf,NA,"PDL1+LY","growing","restricted",0.032831235,3.5,17,NA,"low","low","low",0.0328312348073089,0.149980881107803,0,0,0.817187884084888
"16LA",31.2686681101422,NA,19.1900617014782,27.7974963810797,31.2686681101422,1.62941988392531,1.62941988392531,1.62941988392531,1.62941988392531,0.353618689756576,0.275036758699559,NA,0.448047704623428,0.301829766378043,0.275036758699559,0.613855970829535,0.613855970829535,0.613855970829535,0.613855970829535,0.335513802981012,NA,0.336539011131079,0.501202617288951,0.335513802981012,0.996953672186112,0.996953672186112,0.996953672186112,0.996953672186112,"PDL1+LY",NA,"Infiltrating",0.017152841,NA,5,"high","low","high","low",0.0171528413159012,0.424868397270005,0,0.374246358068715,0.183732403345379
"16LC",71.6454218187546,NA,65.5135345792109,21.5624234388354,71.6454218187546,1.09359725862646,1.09359725862646,1.09359725862646,1.09359725862646,0.654297812895621,0.241148993757367,NA,0.12934910725979,0.363513336534684,0.241148993757367,1.8643266959163,1.8643266959163,1.8643266959163,1.8643266959163,0.0623470196028487,NA,0.0566396455890877,0.175556268202293,0.0623470196028487,1.10076641466239,1.10076641466239,1.10076641466239,1.10076641466239,"PDL1+LY","stable","Infiltrating",0.047692612,0.647540983606557,7,NA,"low","high","high",0.0476926119861338,0.477450786479425,0,0.239858006891454,0.234998594642987
"16LD",38.8586183513779,NA,19.424460317679,22.6161297328567,38.8586183513779,2.00049925279062,2.00049925279062,2.00049925279062,2.00049925279062,0.242000603456946,0.300162358654578,NA,0.492047299530166,0.380652020862369,0.300162358654578,0.610027448461133,0.610027448461133,0.610027448461133,0.610027448461133,0.573464760831028,NA,0.586376852620114,0.722455134666891,0.573464760831028,0.977979874663554,0.977979874663554,0.977979874663554,0.977979874663554,"PDL1+LY","stable","Infiltrating",0.031616767,1.91517857142857,24,"high","high","high","low",0.0316167665758732,0.354175562795616,0,0.411457244977132,0.202750425651378
"16ND",29.8404496162519,40.3470121992023,26.3342130305681,47.0690260529832,29.8404496162519,0.447509017919625,1.13314377694195,1.05258206599537,2.66525761502659,0.449265895911806,0.284293873877797,0.0509409450819018,0.309818778259197,0.0600419488050397,0.0509409450819018,0.788042166250906,0.917613436716719,0.929246801319708,1.08203518470801,0.509433302602245,0.506310546759306,0.569661878362482,0.461123659635355,0.506310546759306,0.473463158263171,0.894273115249757,0.944024052704306,1.7830644597131,"PDL1","stable","Infiltrating",0.07533082,1.07457627118644,25,"high","high","high","high",0.0753308198822148,0.375935710177509,0.132690974538186,0.312897875011208,0.103144620390882
"16RD",56.3160400554865,NA,16.5123579147296,34.656263513854,56.3160400554865,3.41053896398713,3.41053896398713,3.41053896398713,3.41053896398713,0.295986253689915,0.235493677578535,NA,0.61149050535313,0.282504295721902,0.235493677578535,0.385114201311335,0.385114201311335,0.385114201311335,0.385114201311335,0.392087058007126,NA,0.509186889388917,0.500136097272639,0.392087058007126,0.770025831728849,0.770025831728849,0.770025831728849,0.770025831728849,"PDL1","stable","Infiltrating",0.030648594,-0.102739726027397,3,NA,"low","high","low",0.0306485937592836,0.242856718465585,0,0.503444709110452,0.223049978664679
"17NA",61.8664174149397,NA,22.481602620028,21.5710061661331,61.8664174149397,2.75186864835985,2.75186864835985,2.75186864835985,2.75186864835985,0.375712334368665,0.0907524861013233,NA,0.386196156221996,0.552449560201498,0.0907524861013233,0.234990650836919,0.234990650836919,0.234990650836919,0.234990650836919,0.351023217860883,NA,0.371194520581586,0.645045518454209,0.351023217860883,0.945658403876494,0.945658403876494,0.945658403876494,0.945658403876494,"Vehicle","growing","restricted",0.047268702,6.8,28,NA,"low","low","high",0.0472687015058753,0.182683975918826,0,0.515150256476267,0.254897066099032
"17ND",111.853705641937,232.024379910668,15.0638795777243,18.0178993686866,111.853705641937,0.452687253832033,7.42529207464859,1.3917216716999,22.8279895479989,0.324635283501278,0.00293277184539028,0.000300797112347721,0.666416002406377,0.485185742216875,0.000300797112347721,0.00439882697947213,0.00440081245768449,0.00484998872095646,0.00485217783795982,0.611263148151272,0.368761340767682,0.854962135290218,0.829567428433512,0.368761340767682,0.499510845473353,0.714959321495306,0.800854529714509,1.14627823673885,"Vehicle","stable","Infiltrating",0.11152672,-0.384615384615384,4,NA,"high","low","high",0.111526720118085,0.0111711228152571,0.00170250595457748,0.5278355530209,0.347764098091181
"17RB",16.7082773675647,88.4812071266105,95.1323048182837,35.714729746502,16.7082773675647,0.0909969924902867,0.17563200428582,0.572885314266765,1.10571781788639,0.389057290087905,0.627556135891995,0.078800102595192,0.0414694429547415,0.213374682304661,0.078800102595192,5.21791392012408,15.1329772280011,5.87310973245444,17.0331740230531,0.463069281344686,0.333052248947445,0.28635704288127,0.525095910363072,0.333052248947445,0.747598215676652,1.61710456528455,1.28529155244297,2.78017094422302,"Vehicle","growing","Infiltrating",0.04110736,8.21428571428571,35,"high","high","high","high",0.0411073596330847,0.660611956857736,0.12023329986557,0.0539738376342205,0.124073546009389
"2N",35.1541298238559,87.6000093785154,47.7725991706215,19.2026160560444,35.1541298238559,0.259684216774886,0.735863872474296,0.906787130114395,2.56955119322586,0.384651849690959,0.244872098747425,0.0808521888161613,0.28264080077306,0.590296643389793,0.0808521888161613,0.673663882827979,0.866372081021804,0.896095101948687,1.15243194426526,0.376607274942686,0.298378725840022,0.440399296835662,0.52957954318639,0.298378725840022,0.509770544579414,0.855149582773334,0.913651976730526,1.53266820731229,"Vehicle","growing","restricted",0.030104097,11.7,47,"high","low","high","low",0.0301040967138085,0.196137408430651,0.092148273941956,0.313685928213308,0.367924292700277
"2RA",132.807954298937,534.054430609626,44.8085737802091,15.3104812717432,132.807954298937,0.229428989746765,2.96389603807464,1.15202108245195,14.8824728985929,0.346467844051983,0.0452765744751749,0.000958013995334888,0.437104298567144,0.685688103965345,0.000958013995334888,0.103356470476372,0.103582999809415,0.105543405914234,0.105774728416238,0.325208513976549,0.0428214664403535,0.63150255296067,0.795807513117902,0.0428214664403535,0.482273365058862,0.514975770805479,0.54577616965774,0.582784628013726,"Vehicle","growing","restricted",0.085819175,3.54285714285714,20,NA,"low","low","high",0.0858191749091156,0.0391991449539054,0.00169078930906413,0.430418479290512,0.442872411537403
"2RD",38.6122145002545,73.1522125847403,27.6663367297125,21.6238408687143,38.6122145002545,0.38298720585458,1.39563885444894,1.10857007807563,4.03972626289061,0.321979330993851,0.197900904671453,0.17401242715946,0.24921927819452,0.521618750201217,0.17401242715946,0.467594705613876,0.794083451750421,0.878746386733608,1.49231365456659,0.679181558969329,0.502505924285957,0.630673107320829,0.647009188811405,0.502505924285957,0.599359448088522,1.07691536405376,1.04280740315122,1.8736925192121,"Vehicle","growing","restricted",0.074219478,20,20,"high","high","low","high",0.0742194780431157,0.265962886676766,0.122200132854801,0.182066035526712,0.355551466898605
"3LA",46.0960082025034,104.055734519621,65.9897286838817,41.8889614629541,46.0960082025034,0.271080494204881,0.69853307661443,0.883009401682358,2.27538051325251,0.42436282932417,0.286523959526537,0.0929863497518137,0.0477520045819015,0.238795819014891,0.0929863497518137,2.03586265366681,6.00024987506247,2.6965663416702,7.94752623688156,0.416220040401817,0.380429320484874,0.376002594031646,0.382801887858857,0.380429320484874,0.550241247644671,1.10696055561464,1.05316730507844,2.1187336830438,"Vehicle","growing","restricted",0.053124641,3,12,NA,"low","high","high",0.0531246414587471,0.395391528632906,0.147560841875463,0.0995966589184779,0.304326329114405
"3NB",32.3115937542865,NA,62.6416107193287,29.7078643603586,32.3115937542865,0.515816777111008,0.515816777111008,0.515816777111008,0.515816777111008,0.723386802770689,0.437791145137117,NA,0.0275246080933285,0.221877911451371,0.437791145137117,15.9054451802796,15.9054451802796,15.9054451802796,15.9054451802796,0.706105577496837,NA,0.601387750360322,0.695614729284186,0.706105577496837,1.17412697061717,1.17412697061717,1.17412697061717,1.17412697061717,"Vehicle","stable","Infiltrating",0.276829918,0.0245901639344268,6,"high","high","high","high",0.276829917860447,0.473121022679488,0,0.0426761234616355,0.20737293599843
"3RB",42.6316241357437,NA,29.9925367263929,46.1609657575577,42.6316241357437,1.42140774968956,1.42140774968956,1.42140774968956,1.42140774968956,0.177995891349007,0.291075097009815,NA,0.359233051814654,0.205569504679297,0.291075097009815,0.810268140805693,0.810268140805693,0.810268140805693,0.810268140805693,0.464595030913782,NA,0.525582066476745,0.505801351525514,0.464595030913782,0.883962868117264,0.883962868117264,0.883962868117264,0.883962868117264,"Vehicle","growing","restricted",0.026655358,7.68571428571428,35,NA,"high","high","low",0.0266553579642389,0.436608192400455,0,0.380376399695298,0.156360049940009
"3RC",32.119384471498,55.928337202601,37.3275801509165,27.3109998317383,32.119384471498,0.344421945362875,0.860473257083325,0.944151579575641,2.35878461229256,0.20391754340946,0.296210760413994,0.0879308870070995,0.200496108117355,0.316568300402019,0.0879308870070995,1.02698695136418,1.4773890784983,1.33185053380783,1.91595563139932,0.496543657389808,0.493125331568699,0.565904961632234,0.489237750106348,0.493125331568699,0.468866339874942,0.877432945556144,0.934504891231411,1.74882543193121,"Vehicle","growing","Infiltrating",0.023213931,5.54285714285714,32,"high","high","high","low",0.0232139311385568,0.388552877169294,0.11600413009809,0.151344267503276,0.320884794090783
"4LB",30.9911728633493,57.0493044709923,28.0693742368886,16.6699339357226,30.9911728633493,0.364093678776524,1.10409204714727,1.0343261745931,3.1365315304621,0.217271959459459,0.290329391891892,0.122387035472973,0.238175675675676,0.571473817567568,0.122387035472973,0.805211917136373,1.21897163120567,1.14464534075104,1.73282358156028,0.544725807150661,0.488928950662081,0.609496415591105,0.645739428397967,0.488928950662081,0.495915174472675,0.893730944459078,0.941033218614223,1.69591605688161,"Vehicle","growing","Infiltrating",0.024447388,6.87837837837838,35,"high","high","high","low",0.0244473882371464,0.349872271946222,0.105386775000532,0.149662177203559,0.37063138761254
"4NC",15.3310577263542,NA,30.6815942217687,155.449558378573,15.3310577263542,0.499682565890815,0.499682565890815,0.499682565890815,0.499682565890815,0.267504488330341,0.685143626570916,NA,0.218806104129264,0.0832585278276481,0.685143626570916,3.13128205128205,3.13128205128205,3.13128205128205,3.13128205128205,0.0901870357017401,NA,0.0833893482452262,0.0617269574485295,0.0901870357017401,1.08151745516134,1.08151745516134,1.08151745516134,1.08151745516134,"Vehicle","growing","restricted",0.008138783,3,15,"high","low","high","low",0.00813878305467377,0.723584571380561,0,0.176530861987719,0.0917457835770463
"4ND",20.7555590473918,NA,14.3065744610314,39.6727092985905,20.7555590473918,1.45077070013694,1.45077070013694,1.45077070013694,1.45077070013694,0.0356608478802993,0.476807980049875,NA,0.716957605985037,0.127182044887781,0.476807980049875,0.66504347826087,0.66504347826087,0.66504347826087,0.66504347826087,0.580904651591013,NA,0.614594872665255,0.474780912295535,0.580904651591013,0.945183042402972,0.945183042402972,0.945183042402972,0.945183042402972,"Vehicle","growing","Infiltrating",0.007624516,4.3,20,"high","high","high","low",0.00762451633757023,0.377689258178292,0,0.504436860068259,0.110249365415878
"4RB",53.314776980707,62.7976147236252,25.0942035849043,28.6675824524931,53.314776980707,0.606595448890981,2.12458533702098,1.32108305345031,4.62706024167991,0.367229442837198,0.176547634468961,0.118283748578666,0.334643119305669,0.32107028225168,0.118283748578666,0.389792805389603,0.527569892473119,0.650946993771451,0.881032258064517,0.344532444861863,0.296268615796633,0.46645500771322,0.461234665470411,0.296268615796633,0.451713352310258,0.738618814601052,0.840148437660418,1.37376820928561,"Vehicle","growing","restricted",0.028009645,7.81081081081081,40,NA,"low","low","low",0.0280096449579857,0.30318040917295,0.164444034127445,0.224308970851053,0.280056940890566
"5LA",41.1287139668391,NA,15.8426660535938,35.1720187405611,41.1287139668391,2.59607277131928,2.59607277131928,2.59607277131928,2.59607277131928,0.390197493602782,0.247129453447936,NA,0.582442096975264,0.19982284626993,0.247129453447936,0.424298749577559,0.424298749577559,0.424298749577559,0.424298749577559,0.372492969362899,NA,0.477465654451352,0.534745022844513,0.372492969362899,0.780146102426832,0.780146102426832,0.780146102426832,0.780146102426832,"Vehicle","stable","Infiltrating",0.045395179,0.500000000000001,6,"high","low","high","high",0.0453951787168959,0.348773829788185,0,0.477254010165589,0.12857698132933
"5LB",41.9117660468402,NA,NA,15.0586712374606,41.9117660468402,Inf,NA,Inf,NA,0.337961750065496,0.280717841236573,NA,NA,0.650248886560126,0.280717841236573,Inf,NA,Inf,NA,0.469051043480601,NA,NA,0.576877740668441,0.469051043480601,Inf,NA,Inf,NA,"Vehicle","growing","restricted",0.025782962,4,4,"high","high","high","low",0.0257829624400936,0.470588036624371,0,0,0.503629000935536
"5LC",82.6844819777013,NA,23.5663635673463,61.0293555829066,82.6844819777013,3.50858042826215,3.50858042826215,3.50858042826215,3.50858042826215,0.529703235196541,0.116854485718261,NA,0.451653984867456,0.106666238589056,0.116854485718261,0.258725683008318,0.258725683008318,0.258725683008318,0.258725683008318,0.198020270803141,NA,0.389520190386675,0.238726512729895,0.198020270803141,0.508369721750668,0.508369721750668,0.508369721750668,0.508369721750668,"Vehicle","growing","restricted",0.05150546,3.5,22,NA,"low","low","high",0.0515054602700039,0.2846329724021,0,0.459279482481496,0.2045820848464
"5LD",91.4153920179871,174.120791862865,36.4707396817286,28.6802979136778,91.4153920179871,0.43408864234709,2.5065406628916,1.26090627639803,7.28080061435887,0.494372060750906,0.0735101380001542,0.0027368745663403,0.140004625703492,0.253064528563719,0.0027368745663403,0.514987847691063,0.525055066079297,0.534161490683231,0.544603524229076,0.202847158066613,0.278866563740468,0.480200260064946,0.262171110724757,0.202847158066613,0.267232280090551,0.422422007933062,0.634613062644624,1.00315173036751,"Vehicle","stable","restricted",0.034810776,0.929976851851852,15,NA,"low","low","high",0.0348107762848735,0.237492099743837,0.00956350329898595,0.0727252965195933,0.64540832415271
"5RB",39.0060168186523,NA,20.8880435007379,28.6650991971117,39.0060168186523,1.86738489017769,1.86738489017769,1.86738489017769,1.86738489017769,0.482081474048295,0.193431475115827,NA,0.521307940303606,0.294505412387642,0.193431475115827,0.371050314336616,0.371050314336616,0.371050314336616,0.371050314336616,0.447930164932742,NA,0.537492742634237,0.676888613955451,0.447930164932742,0.833369698607369,0.833369698607369,0.833369698607369,0.833369698607369,"Vehicle","growing","restricted",0.059667229,10.3571428571429,35,"high","high","low","high",0.0596672294268477,0.343537541709383,0,0.462561160757366,0.134234068106403
