"","Unclass.CD8","Unclass.EpCAM","Unclass.EpCAM..SMA","Unclass.SMA","Unclass.Treatment","Unclass.Growth","Unclass.Infil"
"5LD",0.288229329169672,0.556689779903294,0.360479687582562,0.650390643351136,"Vehicle","stable","restricted"
"5RB",0.69353588749568,0.50370685552726,NA,0.587750648844725,"Vehicle","growing","restricted"
"6LDU",0.159059220417777,0.12445572132879,NA,0.214660963511618,"LY","growing","restricted"
"6ND",0.374039813385147,0.433226197608705,0.360340730470728,0.46479491517404,"LY","growing",NA
"6RB",0.614709037146359,0.462626721106698,NA,0.432559530592662,"LY","growing","Infiltrating"
"6RC",0.619402049322211,0.499018472816511,0.381345801981038,0.547704170879571,"LY","growing","restricted"
"7NB",0.348819997481781,0.609617145252342,NA,0.615241312158433,"LY","growing","restricted"
"7NC",0.344917645158988,0.612093840482389,NA,0.586213001204676,"LY","growing","restricted"
"7RA",0.49428590894385,0.750567891310481,0.757160453421116,0.818885104116691,"LY","stable","restricted"
"7RB",0.744335426648739,0.897570791712137,0.878518988014235,0.836198364631622,"LY","growing",NA
"7RD",0.499472810446284,0.692129761345511,NA,0.66140336278103,"LY","stable","Infiltrating"
"8LD",0.695220459938038,0.776527995131105,0.175036567434524,0.217679055380442,"LY","stable","Infiltrating"
"8RCL",0.5631196898714,0.674616105632697,NA,0.279249207020609,"LY","growing","restricted"
"8RCU",0.585192472600509,0.479872531491378,NA,0.388203223354269,"LY","growing","restricted"
