"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","CellMarker"
"Nxph3",127.459505497178,3.56968515345653,0.335517073966683,10.6393546869421,1.95478461253522e-26,3.24993801748495e-23,0
"Shc4",146.181292387488,3.55763225285435,0.449842275226223,7.90862141861887,2.60254735818958e-15,2.40382198275251e-13,0
"Snai1",595.124712999613,3.55657583001217,0.388243046319194,9.16069421907465,5.15645146056879e-20,1.26485218368018e-17,0
"Tie1",198.373880431336,3.55372449166428,0.60662669817553,5.85817357256504,4.67985391305421e-09,1.15361868370725e-07,0
"Loxl3",264.57929301064,3.53943255781278,0.450274559208829,7.86060967786381,3.82268237757064e-15,3.40469026283271e-13,0
"Mgp",8600.51940220752,3.53756861613947,0.449417560278029,7.87145169394578,3.50549497730113e-15,3.15980249068415e-13,0
"Sema3a",125.427190159361,3.5306159716106,0.445578441708894,7.92366874409339,2.3060345172642e-15,2.1701380177248e-13,0
"Serping1",4231.02173318893,3.52231140264562,0.440331423912312,7.99922788010481,1.25201817786925e-15,1.22444104545474e-13,0
"F2r",769.730818260773,3.52095248406089,0.422268739052333,8.33817935934048,7.54430819253433e-17,9.40712362374093e-15,0
"Jam2",142.864666590568,3.49578805281859,0.593330975994253,5.89180102549113,3.82008990401114e-09,9.78767212906141e-08,0
"Lama1",110.115300732322,3.49140864308004,0.569694530254464,6.12856269046597,8.8676488464764e-10,2.62226540888985e-08,0
"Abcc9",199.761041124674,3.48120077925614,0.764814138659383,4.55169511557177,5.32154140818902e-06,5.93339970869838e-05,0
"Hmcn1",294.00969189117,3.48045943756266,0.517612916002356,6.72405832613887,1.76731633804736e-11,7.87034356136984e-10,0
"Lrrc32",622.892270767615,3.47731477515228,0.426108711750426,8.16062821355542,3.33286569557079e-16,3.68906950149135e-14,0
"Atp1b2",127.714239758712,3.4693604012704,0.489170415930409,7.09233487612212,1.31867939983602e-12,7.14905792019797e-11,0
"Cxcl12",2252.89118811036,3.45909053474609,0.357933374043759,9.66406260379397,4.28524955253886e-22,1.64410741165741e-19,0
"Dkk2",125.600229153402,3.43451982118937,0.558625537518005,6.14816113930107,7.83863782837749e-10,2.35049174000025e-08,0
"Zfp521",139.450463554429,3.42317147878132,0.539796110582253,6.34160085942247,2.27389813606492e-10,7.7504186355215e-09,0
"Dpysl3",116.749521680853,3.41922589313905,0.492046714322551,6.94898633323187,3.67920185200928e-12,1.84737910441661e-10,0
"Dact3",188.166703605469,3.41870078782673,0.438993063572916,7.78759636884079,6.82959469555592e-15,5.87305893273582e-13,0
"Mmp19",915.685214367817,3.41148941161334,0.355015578414007,9.60940764023313,7.29675471066718e-22,2.53910094734216e-19,0
"Flnc",247.984786169314,3.40113961875807,0.659852182729473,5.15439625385384,2.5444938306846e-07,4.06765610988607e-06,0
"LOC100909539",280.233288349563,3.40079811382911,0.455533019784242,7.46553590218304,8.29612664479486e-14,5.66826223680664e-12,0
"Zcchc24",339.599219050789,3.39778482433788,0.434978859058582,7.81137922815756,5.65655361310016e-15,4.89242842270622e-13,0
"Dkk3",1003.15431795935,3.39140963594087,0.337392517861206,10.0518223031134,9.01840671784233e-24,6.15799111590098e-21,0
"Sema5a",588.662124974275,3.36679298009683,0.380987900034659,8.83700763145116,9.83164272752839e-19,1.7513198825239e-16,0
"Fgl2",2459.21890970261,3.35747279470704,0.719608216793617,4.66569546644013,3.07574949877925e-06,3.66872106219521e-05,0
"Fscn1",665.552322121939,3.35333844875657,0.489251807278503,6.85401341164123,7.18063452764342e-12,3.40012134294711e-10,0
"Abcb1b",124.246001234846,3.35258870424153,0.477880257830642,7.01554133970873,2.29060325383301e-12,1.19422635843566e-10,0
"Itga1",178.764350696533,3.33615098434805,0.468203408187694,7.12543079782675,1.03755651756111e-12,5.79289484039811e-11,0
"Art3",187.061656800403,3.32456506019583,0.380648037770266,8.73396085178908,2.45906255854376e-18,3.91435670888195e-16,0
"Kazald1",143.2969860404,3.32140039110603,0.407922783594884,8.14222819778701,3.88068954794914e-16,4.14762555042593e-14,0
"C1qtnf1",751.10319919739,3.31706396527156,0.396582114616675,8.36412899880203,6.05606325959341e-17,7.61486340784001e-15,0
"RGD1564664",1474.4934621069,3.31134588791374,0.430074618814371,7.699468285393,1.36633576903014e-14,1.07039173361246e-12,0
"Tbx2",220.55713943556,3.30614097819095,0.369325825364909,8.95182722444157,3.49645909965038e-19,7.26632187612065e-17,0
"Selenom",873.528347533799,3.29934295934586,0.382404942603365,8.62787739322705,6.25010256946682e-18,8.9066937854221e-16,0
"Ltbp4",1206.90104610822,3.29180607612236,0.353399966092212,9.31467569881837,1.22325658299356e-20,3.45350721723256e-18,0
"Lhfpl6",376.818904108103,3.28399824234084,0.336552548281916,9.75775776800824,1.70891643998161e-22,7.26908305318102e-20,0
"Axl",1393.9990194046,3.27915115232817,0.404099765633789,8.11470688973344,4.86958743365291e-16,5.09535921466772e-14,0
"Tril",661.314225054512,3.27634771945411,0.356665439979941,9.18605323700097,4.07519493412751e-20,1.03351087795508e-17,0
"Mdk",508.539396640084,3.24002424884973,0.389109702151919,8.32676294353806,8.30828801046633e-17,1.01899109426728e-14,0
"Upk3a",788.32166579354,-3.22187947033756,0.805878864016618,-3.99796993592715,6.38880632839082e-05,0.000521241598100937,0
"Sfrp2",368.897028527686,3.2024635123186,0.395481523575328,8.09763116963574,5.60396668126791e-16,5.82306621193137e-14,0
"Penk",2483.89371164024,3.18226836672587,0.324851943217059,9.79605766002621,1.17065753957551e-22,6.04018922919601e-20,0
"Nell1",102.199230648593,3.17867017912958,0.515481179674958,6.16641364314003,6.98562023917333e-10,2.13754265109919e-08,0
"Lpar1",571.475069334105,3.16549660184829,0.430220654684218,7.35784432333162,1.86903829880319e-13,1.22124105087302e-11,0
"Tspan5",305.641859346441,3.15335299514417,0.432960840060449,7.2832291130623,3.25923005342531e-13,2.03199413705845e-11,0
"Gpihbp1",158.27208351769,3.14746662680903,0.828445211356249,3.79924536187047,0.000145137348755384,0.00105064835482671,0
"Smoc2",2632.56867226826,3.14536180200301,0.477910577508929,6.58148605623663,4.65769196603612e-11,1.87346894859673e-09,0
"Ptprv",141.224950371701,3.1425740008479,0.479239886971876,6.55741328357403,5.47491276702991e-11,2.14453193018504e-09,0
"Ntrk2",252.490342654119,3.13873605766848,0.697783701128411,4.49815043342616,6.85471894041296e-06,7.4002279585425e-05,0
"C1r",4990.19923724572,3.13751460237427,0.395235048265536,7.93835115621212,2.0488659200276e-15,1.94032789628943e-13,0
"Gpx3",4247.18696467003,3.13224665545584,0.444768386357861,7.04242196956784,1.88926641968526e-12,9.99621720476375e-11,0
"Pcsk6",162.780231647899,3.12826217088385,0.573234178398398,5.45721502444977,4.83660515672745e-08,9.30207235991168e-07,0
"Tnfrsf11b",460.867513293604,3.12129242017684,0.556623661706468,5.60754533971435,2.05216263670696e-08,4.3866442190066e-07,0
"Cxcl13",226.685256722855,3.12005333363833,0.591654015609438,5.2734423350858,1.33888335932968e-07,2.30272548340805e-06,0
"Dlc1",346.748877126762,3.10843767920729,0.411922057977506,7.54617923222998,4.48213113059443e-14,3.28662600344353e-12,0
"Runx1t1",119.37031543503,3.1072099342572,0.640880122657497,4.8483481144223,1.24493795296739e-06,1.66187298743725e-05,0
"Col17a1",545.607303597673,3.10029597877375,0.41888698745437,7.40127068070231,1.34887458256053e-13,8.93062406143948e-12,0
"Apold1",287.320236475075,3.09961359150054,0.723970320137777,4.2814097557351,1.85713035668119e-05,0.000175874946373548,0
"Fam102b",403.400905260031,3.09540087516833,0.425690820659814,7.27147667964864,3.55578769132267e-13,2.17164290715351e-11,0
"Slc12a4",510.301585114594,3.09425648477708,0.399721085819806,7.74103892575727,9.86077007370843e-15,8.10498937019058e-13,0
"Il16",133.096667916614,3.09286262580272,0.536148720815848,5.76866549470895,7.99017232198686e-09,1.87982623355172e-07,0
