"","Var1","Var2","value","treatment","growth"
"189","SMA","11RC",0.208405029282135,"PDL1","growing"
"190","Unclass","11RC",0.256900420616233,"PDL1","growing"
"191","CD8","5LC",0.0515054602700039,"Vehicle","growing"
"192","EpCAM","5LC",0.2846329724021,"Vehicle","growing"
"193","EpCAM: SMA","5LC",0,"Vehicle","growing"
"194","SMA","5LC",0.459279482481496,"Vehicle","growing"
"195","Unclass","5LC",0.2045820848464,"Vehicle","growing"
"196","CD8","3LA",0.0531246414587471,"Vehicle","growing"
"197","EpCAM","3LA",0.395391528632906,"Vehicle","growing"
"198","EpCAM: SMA","3LA",0.147560841875463,"Vehicle","growing"
"199","SMA","3LA",0.0995966589184779,"Vehicle","growing"
"200","Unclass","3LA",0.304326329114405,"Vehicle","growing"
"201","CD8","14NC",0.0541297977067744,"PDL1+LY","stable"
"202","EpCAM","14NC",0.546049449455146,"PDL1+LY","stable"
"203","EpCAM: SMA","14NC",0.126293377338986,"PDL1+LY","stable"
"204","SMA","14NC",0.0814721028821806,"PDL1+LY","stable"
"205","Unclass","14NC",0.192055272616914,"PDL1+LY","stable"
"206","CD8","6LDU",0.0556252700006171,"LY","growing"
"207","EpCAM","6LDU",0.267647665953286,"LY","growing"
"208","EpCAM: SMA","6LDU",0,"LY","growing"
"209","SMA","6LDU",0.647133932365244,"LY","growing"
"210","Unclass","6LDU",0.0295931316808527,"LY","growing"
"211","CD8","8LD",0.0562336342953625,"LY","stable"
"212","EpCAM","8LD",0.593615407729621,"LY","stable"
"213","EpCAM: SMA","8LD",0.00185299125731538,"LY","stable"
"214","SMA","8LD",0.00363443845064175,"LY","stable"
"215","Unclass","8LD",0.34466352826706,"LY","stable"
"216","CD8","5RB",0.0596672294268477,"Vehicle","growing"
"217","EpCAM","5RB",0.343537541709383,"Vehicle","growing"
"218","EpCAM: SMA","5RB",0,"Vehicle","growing"
"219","SMA","5RB",0.462561160757366,"Vehicle","growing"
"220","Unclass","5RB",0.134234068106403,"Vehicle","growing"
"226","CD8","10LD",0.0681087685159526,"PDL1","stable"
"227","EpCAM","10LD",0.194893106594036,"PDL1","stable"
