"","C2T1","C3T1","C5T1","C7T1","C9T1","C10T2","C10T4","C10T6","C11T1","C17T4"
"Siva1",12.2168258844677,10.7503646332133,10.4415647554404,7.90416992981218,9.32252330010967,8.52644678590069,7.72664787324499,7.95804114849131,8.17584063268485,9.01572227579731
"Calm3",13.7124202000719,12.9363655353264,12.8565376814202,10.2655350183939,11.4001665021641,11.3120558942039,10.6520784016067,11.4408723284409,10.7031573687181,10.6788992635924
"Fstl1",9.56448037998266,7.76778707173633,9.65494527693849,5.91084740437595,5.63329576230392,3.48748816779447,4.74003141181006,5.98236770683911,3.89609047266171,3.93716210476771
"Aip",11.2826322433356,11.4427946698966,11.1700847634806,9.97288302214048,10.5334115329487,10.5678399887308,9.82364864136288,10.3944215468188,9.99876762206801,9.90916462176589
"Pik3r1",7.58288185499326,7.68295645420309,7.01311752017251,10.2203264034155,7.53884682132316,8.5299685013782,10.3763046914843,8.65721435059253,9.74069831353919,9.7247774217233
"Tbx21",8.1251508546269,9.40675710259106,9.36747820454895,10.4734303379294,8.50036244483441,9.05720789590969,10.6610155157787,8.41810998809932,10.3365676986818,10.8620522504717
"Cklf",11.6545621562002,11.585958570519,10.7413200966391,7.65447275919047,10.0784698352073,8.25568798422883,6.79817753059887,8.27383904431569,7.32392371895735,9.03398521490868
"Lbp",7.47486402401516,6.50050185168372,7.27857247020226,4.30561002964715,9.7396837408477,6.39163382737563,3.48748816779447,6.36651551894522,5.09360000897485,5.14367383689264
"Oas1a",9.91960209207821,9.08926820159368,10.8182450204474,7.62761367760506,9.82648811295957,9.3196595653774,8.61493953468655,10.0063300069521,7.71577412409488,8.89101497536874
"Hcst",12.3026195295368,13.276810757109,12.7833175703164,10.1325825495296,10.9865697792417,11.5000435497705,10.1676364619419,11.2278556419882,10.4257203021707,10.9906804714883
"Il33",8.71232619240605,8.66834216432571,6.33472701877808,5.37982645590253,7.40159595331474,3.48748816779447,3.48748816779447,9.40801662743397,6.0604497849699,5.19250151550907
"Nenf",11.0632779165608,9.88324742515528,9.96820422733446,7.20489641569197,8.25349367082342,8.30175574724677,5.61038012657523,8.71126513360326,8.106307041697,7.93612469449352
