"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"55","Tcta",379.672294526824,-0.280039451513752,0.160982715821829,-1.73956222619384,0.0819359168794055,0.228303043066903
"56","Dgka",8647.12755259375,0.761603982631605,0.35956716396629,2.11811327327711,0.0341654756794834,0.129921693852619
"57","LOC361985",666.403175684012,0.255585061596512,0.165198035257731,1.54714347054894,0.121828653630268,0.290458897832817
"58","Cdk5rap1",199.942827705899,-0.184954979328097,0.262462702358777,-0.704690524275982,0.481002849525627,0.671421523714263
"59","Nr1d1",488.255045059637,-0.400051852802789,0.322809360197526,-1.23928207211215,0.215241055621808,0.41430485476957
"60","Rwdd1",927.638988989509,-0.587849322444321,0.194570133046323,-3.02127214100412,0.00251715013395908,0.0269500568807592
"61","Zfp709",66.9745125512319,-0.315699909184841,0.480075158305322,-0.657605176446268,0.510791867441377,0.694595447312156
"62","Tnfsf10",48.5103927564092,-0.123063169788772,0.407926079150897,-0.301680074107861,0.762895959540058,0.870225557400916
"63","Slc25a25",609.862940666264,0.141324290471836,0.205777571214187,0.686781798608829,0.49222024129907,0.680121372134882
"64","Timm13",2142.62100552188,-0.618626312604698,0.257029685715686,-2.40682826531171,0.0160917349338566,0.0813912045101416
"65","Dhrs4",185.93896398061,-0.635300799328105,0.264865418298527,-2.39857963870566,0.0164587970294814,0.0824517945166645
"66","Homez",16.3055055946212,0.133657587395794,0.720484927614791,0.185510594702203,0.852828571121302,0.924052370589465
"67","Olfm3",2.32756245792293,0.221748893680905,1.158665927172,0.191382941778686,0.848225583544507,NA
"68","St18",14.0887994834345,-0.986973412232756,0.813006742333238,-1.21397936922424,0.224755602415937,0.426367354324414
"69","Pnma2",14.7535007966924,0.40914119716635,0.941893435252542,0.434381620949137,0.66401134182939,0.810694241199491
"70","Anapc2",1405.90773187415,0.381320282505205,0.134716329277947,2.83054240379771,0.00464691510031986,0.0385007281985572
"71","Cd300le",1368.54145557359,-3.75447573787587,0.659235961226254,-5.6951925542595,1.23232761521758e-08,3.36117357050596e-05
"72","Rnpep",1195.92173866622,-0.167807734706398,0.156066292224422,-1.07523368636894,0.282270117148389,0.487501376825534
"73","Rps10",3362.12753565449,-0.153603442796669,0.245591411360414,-0.625443055788505,0.531680311130768,0.711297632671574
"74","Crhr1",30.6922685498876,-0.115971637942537,0.693848743879021,-0.167142534976986,0.867257898655217,0.932930750771881
"75","Lilrb4",1030.2103135304,-1.74553575014817,0.448471071719383,-3.89219251858543,9.93423632434493e-05,0.00462279483135113
"76","Kras",787.212267700202,0.258439071400196,0.213784230055931,1.20887808858765,0.226709685328883,0.427702346003479
"77","Olfm1",2019.66855715575,-0.726518671868792,0.312374999486899,-2.32579006982684,0.0200297526529645,0.092870633847787
"78","Slc4a4",16.1898403106322,0.705514762299808,0.60711368729127,1.16208014589091,0.245202911308853,0.449229850945354
"79","Psmb7",1874.29370532314,-0.326555087471202,0.16128395545062,-2.02472147064364,0.0428959726637887,0.150629204288541
"80","Herpud1",3698.57425133571,0.447208300245693,0.243992419347407,1.8328778469504,0.0668207388861885,0.200388746907179
"81","Cox4i2",11.8480722945571,-1.27017683066304,0.556274925553276,-2.28336164783934,0.0224090744264116,NA
"82","Nfib",38.0612544057356,-0.652711188811934,0.661685460217665,-0.986437254639419,0.323918591183153,0.531004201073248
"83","Bnip3",209.23663582311,-1.22650854899702,0.366808816465706,-3.3437270151103,0.000826610323688742,0.0148084049777409
"84","Mlycd",439.080401734005,-0.368259787854006,0.184960783832007,-1.99101550190489,0.0464791830145534,0.158204152006135
"85","Trpc6",39.2092794021825,-3.95250555679601,1.02453339263872,-3.85785918272141,0.000114384513672885,0.00479564654940625
"86","Chi3l1",360.01779023584,-0.319527913421284,0.495125540090633,-0.645347265590044,0.51870216914662,0.700203002399112
"87","Bud31",1002.43104181804,0.304727813701872,0.233905390326114,1.30278234835467,0.192649078717097,0.386502657006902
"88","Ddx52",336.848057304587,0.251170240739818,0.176424691725248,1.42366829882845,0.154542514615846,0.338702055937904
"89","Hdac2",1024.08837323862,0.0334851015731935,0.13741406607055,0.243680305304421,0.807478427731736,0.898204490880224
"90","Kpna2",354.669148048834,-0.368013482485641,0.258517467593092,-1.42355364189508,0.154575723553035,0.338706797341557
"91","Abcg1",2819.29991305949,0.752966704283407,0.270670367406077,2.78185865523195,0.00540485737261064,0.0419693907011972
"92","Atp6v0e1",3045.96734491773,-0.410841807024793,0.204115057291121,-2.01279519736178,0.0441361793809241,0.153449877962359
"93","Synrg",479.16349771805,0.0994501717748891,0.202003590927903,0.492318831155749,0.622493969851287,0.77802832066417
"94","Prdx6",795.910743104292,-0.0904091989375059,0.152350005664259,-0.593430886617391,0.552892823497827,0.726240988502006
"95","Ptch1",43.4911538711052,-0.130841679695868,0.364898184916324,-0.358570376900812,0.719916510838297,0.846115517961821
"96","Idi1",991.946255758242,-0.00761040586039323,0.251067201212028,-0.0303122264622937,0.975818045747368,0.988879361938082
"97","Atrn",308.3477042237,0.111232897459083,0.163414055756879,0.680681333951899,0.496073149869053,0.683180770647737
