"","Grid","NearestNeighbor","Reference","value","SpatialManual","Treatment","knn"
"7987","knn3-15","SMA","CD8",0.492047299530166,"Infiltrating","PDL1+LY","knn3"
"8002","knn3-15","Unclass","CD8",0.380652020862369,"Infiltrating","PDL1+LY","knn3"
"8197","knn3-15","CD8","CD8",0.449265895911806,"Infiltrating","PDL1","knn3"
"8212","knn3-15","EpCAM","CD8",0.284293873877797,"Infiltrating","PDL1","knn3"
"8227","knn3-15","EpCAM: SMA","CD8",0.0509409450819018,"Infiltrating","PDL1","knn3"
"8242","knn3-15","SMA","CD8",0.309818778259197,"Infiltrating","PDL1","knn3"
"8257","knn3-15","Unclass","CD8",0.0600419488050397,"Infiltrating","PDL1","knn3"
"8572","knn3-15","CD8","CD8",0.295986253689915,"Infiltrating","PDL1","knn3"
"8587","knn3-15","EpCAM","CD8",0.235493677578535,"Infiltrating","PDL1","knn3"
"8602","knn3-15","SMA","CD8",0.61149050535313,"Infiltrating","PDL1","knn3"
"8617","knn3-15","Unclass","CD8",0.282504295721902,"Infiltrating","PDL1","knn3"
"8812","knn3-15","CD8","CD8",0.375712334368665,"restricted","Vehicle","knn3"
"8827","knn3-15","EpCAM","CD8",0.0907524861013233,"restricted","Vehicle","knn3"
"8842","knn3-15","SMA","CD8",0.386196156221996,"restricted","Vehicle","knn3"
"8857","knn3-15","Unclass","CD8",0.552449560201498,"restricted","Vehicle","knn3"
"9052","knn3-15","CD8","CD8",0.324635283501278,"Infiltrating","Vehicle","knn3"
"9067","knn3-15","EpCAM","CD8",0.666416002406377,"Infiltrating","Vehicle","knn3"
"9082","knn3-15","EpCAM: SMA","CD8",0.000300797112347721,"Infiltrating","Vehicle","knn3"
"9097","knn3-15","SMA","CD8",0.00293277184539028,"Infiltrating","Vehicle","knn3"
"9112","knn3-15","Unclass","CD8",0.485185742216875,"Infiltrating","Vehicle","knn3"
"9427","knn3-15","CD8","CD8",0.389057290087905,"Infiltrating","Vehicle","knn3"
"9442","knn3-15","EpCAM","CD8",0.627556135891995,"Infiltrating","Vehicle","knn3"
