"","10L_C_DN","10R_BL_DN","11L_B_DN","11R_D_DN","11R_C_DN","12L_D_DN","14N_C_DN","14N_D_DN","14R_B_DN","15L_B_DN","15N_C_DN","16L_C_DN","16L_D_DN","16R_D_DN","17N_D_DN","17N_A_DN","2N__DN","2R_A_DN","2R_C_DN","3L_D_DN","3L_A_DN","3N_B_DN","3R_C_DN","3R_B_DN","4N_C_DN","6R_B_DN","6R_D_DN","8R_CU_DN","8R_CL_DN","9L_A_DN"
"15N_C_DN",0.83753365202718,0.923879693475024,0.935431071719453,0.91580748842194,0.942398977624765,0.906852006895755,0.929594726440148,0.946646687340949,0.948222332784413,0.899383446044797,1,0.912531885240941,0.946327331724547,0.932578000727876,0.942690442575162,0.933656857689673,0.888697466043712,0.874766360069715,0.880916918686477,0.739718387780944,0.897450879819681,0.913996655305942,0.88079537587887,0.892168145796654,0.945035982418337,0.865062290231956,0.860462527841423,0.958875654237282,0.945269288974633,0.930955903130786
"16L_C_DN",0.877529006662193,0.890625831847772,0.934636544304214,0.927323952090179,0.926351637886037,0.914567419628251,0.942814642727669,0.935145152446807,0.929065768217922,0.931676884688163,0.912531885240941,1,0.915840358393146,0.872960437630596,0.929009651411053,0.922171583903922,0.913937358766704,0.911708366114849,0.947067559079426,0.797495628927927,0.948840715248922,0.907358506399772,0.938295055161355,0.94078818807549,0.905634929359781,0.876299220836594,0.882004005404416,0.918946807988875,0.896015022637808,0.912288062700764
"16L_D_DN",0.8069633201331,0.954616612982896,0.953340878522507,0.936617993081112,0.949640131143599,0.924881986051978,0.951594485854868,0.953950332387004,0.958962713259729,0.866277233716869,0.946327331724547,0.915840358393146,1,0.960022629257901,0.958307394903375,0.967164976231906,0.856597278728316,0.857044301518567,0.854964614335474,0.727857536469445,0.90506423633825,0.921814027774192,0.890298346428625,0.892934732836206,0.953959528156967,0.838308172102576,0.819212644479913,0.971051295445605,0.955612238764451,0.939615239244066
"16R_D_DN",0.74702835564134,0.943876620439491,0.927856022874113,0.88722650425868,0.909483782313306,0.885973424053666,0.92384579941377,0.941164594109408,0.945057671480131,0.825713562461304,0.932578000727876,0.872960437630596,0.960022629257901,1,0.940167154267879,0.950485466185823,0.833980461347274,0.802347255907649,0.801463875700542,0.677306099533912,0.844106692570979,0.88693529470685,0.823965880788754,0.832882877478793,0.934600996042951,0.788013046412578,0.773296572391719,0.959270496788809,0.954247645804117,0.946538454596957
"17N_D_DN",0.819772485293819,0.923462687684078,0.95237857344393,0.908032635895139,0.938125177816325,0.933503788227472,0.964332842128571,0.971730231828679,0.963089237933078,0.89264251689953,0.942690442575162,0.929009651411053,0.958307394903375,0.940167154267879,1,0.965710676076437,0.854356181093359,0.873840701239255,0.878837906530825,0.705422888379451,0.897352367209402,0.921647384374448,0.890811878679187,0.888361259748439,0.959308723762897,0.86054094044374,0.857770070703679,0.963081983037305,0.96181971487179,0.929995830005078
"17N_A_DN",0.764539510842043,0.93367334658117,0.962002137813944,0.897342527557496,0.920381297011393,0.891822944635511,0.947340665725947,0.953919059133212,0.96219533817946,0.851601169435676,0.933656857689673,0.922171583903922,0.967164976231906,0.950485466185823,0.965710676076437,1,0.84029584535766,0.822979874013087,0.843150318697142,0.688222188920124,0.884038003975121,0.898601171473369,0.859891468724864,0.872074665753755,0.928021305317975,0.806612847561967,0.78950674442816,0.968140150446466,0.949177230717575,0.944248739482666
"2N__DN",0.890916094894594,0.863502311443187,0.886914357708176,0.888640353025344,0.860616126023388,0.868994952120369,0.875839700874231,0.870271881030421,0.884173476639621,0.921432783344939,0.888697466043712,0.913937358766704,0.856597278728316,0.833980461347274,0.854356181093359,0.84029584535766,1,0.904659833598549,0.932230293821271,0.812105352586825,0.91528575982753,0.876442715274696,0.902753134478579,0.929692863499601,0.862075057690224,0.887368521871145,0.889218145115332,0.875712740331892,0.850116677900714,0.87830985493919
"2R_A_DN",0.915640481398479,0.854476228487023,0.866474108347829,0.903527331429738,0.915221120629069,0.938799039862607,0.903303313297612,0.88515499409492,0.875781932334175,0.905250830007679,0.874766360069715,0.911708366114849,0.857044301518567,0.802347255907649,0.873840701239255,0.822979874013087,0.904659833598549,1,0.959285636894743,0.855717881464006,0.928990554133397,0.919033293033545,0.946462594835139,0.960213346213041,0.882962109371585,0.934485672701992,0.938130333065782,0.857166935886799,0.846394956599563,0.83736915450655
"2R_C_DN",0.908048745261199,0.850015093273625,0.884153014144971,0.910849317666168,0.897939022591986,0.914340318090437,0.911914940721184,0.895071898885368,0.889516449904479,0.929318692849539,0.880916918686477,0.947067559079426,0.854964614335474,0.801463875700542,0.878837906530825,0.843150318697142,0.932230293821271,0.959285636894743,1,0.839027399506951,0.948479716540708,0.900375561890228,0.952497688671671,0.962416340612165,0.873225042692218,0.91887766452011,0.920057043701198,0.869692897519333,0.849319291983094,0.861619437634097
"3L_D_DN",0.871804682338812,0.739889643939302,0.719791546500599,0.801604053193381,0.798585224139564,0.783472856067558,0.735976225786116,0.717917451566202,0.714871571078634,0.808293040175848,0.739718387780944,0.797495628927927,0.727857536469445,0.677306099533912,0.705422888379451,0.688222188920124,0.812105352586825,0.855717881464006,0.839027399506951,1,0.836203278817298,0.765091149707877,0.824784700954115,0.84692338806879,0.7296482556654,0.787274045714445,0.821023776706645,0.710970635177973,0.687434200109008,0.721482143894907
