"","10L_D_Ep","10R_BL_Ep","11L_B_Ep","11N_D_Ep","11R_D_Ep","11R_C_Ep","12L_D_Ep","14N_C_Ep","14N_D_Ep","14R_B_Ep","15N_C_Ep","16L_C_Ep","17N_D_Ep","2N__Ep","3N_B_Ep","3R_C_Ep","6R_B_Ep","7N_A_Ep","8L_D_Ep","8R_CU_Ep"
"15N_C_Ep",0.896251624507853,0.924862469042024,0.911056634952912,0.862252637647289,0.895977732395351,0.94241396596104,0.907502691703883,0.900262501553275,0.919601499354579,0.91107809662653,1,0.8837176781277,0.904481217119535,0.887415315891858,0.906807794907214,0.872361172564734,0.901245799277332,0.933595781294639,0.886224034901068,0.950806315743691
"16L_C_Ep",0.839955935687103,0.92498187546053,0.939484753746315,0.905102972236731,0.949708174918032,0.929466165559526,0.907193405520702,0.943552592576202,0.911985640861417,0.919113003081273,0.8837176781277,1,0.953439051261605,0.911624468184847,0.88252870194602,0.932953602856427,0.878007749163854,0.946609897791443,0.86939245169045,0.920839715983883
"17N_D_Ep",0.886104555821579,0.942010208161651,0.959641517592758,0.918504742200841,0.95822585517207,0.951088710903785,0.9481397358167,0.960754293151288,0.947340098112225,0.933130303614052,0.904481217119535,0.953439051261605,1,0.898041100633876,0.929607840258424,0.950132318705927,0.92049585895034,0.953069262981785,0.908948554079722,0.938083136405159
"2N__Ep",0.874223589108776,0.913084835431675,0.921551126799273,0.863350928922253,0.916948374387697,0.895925819551062,0.846216770922366,0.883823428123856,0.851765344872804,0.906881730724843,0.887415315891858,0.911624468184847,0.898041100633876,1,0.879222570392243,0.884224064623738,0.858611726723221,0.926152849180906,0.83622694948278,0.908231521561388
"3N_B_Ep",0.940801637682616,0.929689473375352,0.93876445270957,0.899013032532146,0.933107444044139,0.954756327605983,0.94607123918349,0.929630535763512,0.933674525767181,0.9181151785566,0.906807794907214,0.88252870194602,0.929607840258424,0.879222570392243,1,0.913972414014048,0.953348823766448,0.939584407341458,0.934114028632404,0.939484461377313
"3R_C_Ep",0.868800843309752,0.936002237109132,0.959882520911975,0.889460732562231,0.949152644951159,0.920661835481517,0.928328110511446,0.958078606809523,0.918444347036373,0.927865341079681,0.872361172564734,0.932953602856427,0.950132318705927,0.884224064623738,0.913972414014048,1,0.905970653789047,0.946825698784315,0.888024503231605,0.919118158858713
"6R_B_Ep",0.927305763640219,0.927531728889406,0.94181223818727,0.906625531437084,0.917643393610229,0.941662999228439,0.93982586348159,0.927915481414444,0.92974643602028,0.918952752570964,0.901245799277332,0.878007749163854,0.92049585895034,0.858611726723221,0.953348823766448,0.905970653789047,1,0.938837090091105,0.935556997005537,0.924328584907742
"7N_A_Ep",0.915668360732217,0.966343567788635,0.970075542677672,0.909017511678793,0.956102641792411,0.95825970906522,0.945213071990573,0.954289987977065,0.940447329843637,0.95246798591072,0.933595781294639,0.946609897791443,0.953069262981785,0.926152849180906,0.939584407341458,0.946825698784315,0.938837090091105,1,0.919405069571503,0.967172437099058
"8L_D_Ep",0.899261181431238,0.913874526842014,0.91941998488366,0.891325263967376,0.912274985144843,0.938928472073594,0.937463187166745,0.915381747768696,0.922055161961391,0.900089364886797,0.886224034901068,0.86939245169045,0.908948554079722,0.83622694948278,0.934114028632404,0.888024503231605,0.935556997005537,0.919405069571503,1,0.914161058820274
"8R_CU_Ep",0.92036606892496,0.961343580275525,0.94704929744687,0.888195781195564,0.940318753661452,0.965925045557183,0.947881693406512,0.939909116207587,0.951462532483202,0.941729101902041,0.950806315743691,0.920839715983883,0.938083136405159,0.908231521561388,0.939484461377313,0.919118158858713,0.924328584907742,0.967172437099058,0.914161058820274,1
