"","P24T3","P26T1","P27T1","P28T1","P29T2","P29T1","P30T2","P31T2","P31T3","P32T1","P34T1","P36T2","P39T3","P4T1","P7T1","P8T2","P17T1","P19T1","P21T1","P22T2"
"Lmntd2",7.8054492105885,8.17436700922762,8.77082641840229,6.85656316900438,8.45114359492102,8.36416699721294,7.091453963386,7.30513851364623,7.53549988046821,8.47919037909317,7.91817234065601,7.83136477254709,7.38792953381116,8.23083825923737,8.12235534261447,8.37112403395007,7.43589537892893,8.26205266376983,7.48668376926645,7.87325194638835
"Id1",9.39685933839049,10.6503498355692,8.80482344197273,8.74362438481882,8.07913289838014,8.45205063458381,9.3425610833649,8.47804368515089,8.36621834231157,9.98757105180654,9.20703243811223,7.80996577773516,8.46781094428276,8.2798135316509,9.77989595155007,10.7854508415825,10.1686976525927,10.8018013068277,9.75022047460497,9.72161022295085
"LOC100134871",6.71264084719514,7.14408271535536,6.30402924908346,6.30402924908346,9.45265905802056,9.01830094382014,6.47999991131828,6.4392563594878,6.30402924908346,8.49565636098419,9.28363330274482,6.30402924908346,6.51353469511083,6.90325614151137,6.59616039885546,6.81865357283569,6.30402924908346,7.07466793475934,6.89728924384735,8.97706036810489
"Prpf4b",10.509334609112,11.1187420726845,10.9496722825057,9.91389852625641,10.6158960046903,10.8722691141676,9.28981021674433,9.97985549381071,9.50888587329643,11.1029778385573,11.5389650153394,9.92704215541673,9.56806585910745,12.4915535198134,10.149622523747,9.81132926496168,10.2058902829421,10.8508084787095,10.0068421726949,11.1838354862961
"Slc4a11",8.39799245703132,8.19404198369397,9.29778630045209,7.54606135893018,8.72140133421484,7.86191039929298,7.25893488772907,8.14600298111145,7.04509622017207,9.64237795592871,8.04164648584388,7.61677468288656,7.57230445545084,8.2164880586694,8.21063527957196,7.66934692986106,8.87133724615637,8.02058025188815,7.43713108683911,8.32247515675505
"Cacna1d",7.78966658875429,8.32375789850622,8.45662976751182,6.45813960264452,8.25466018922706,8.33348922243416,6.97978873967624,7.67687085171976,7.17452082830742,8.09579031961192,8.09891650731859,7.11920606498802,7.45911274824718,8.73284980724145,7.89104362406983,7.51200354101964,7.56741922036908,7.82140400401271,7.28234604573911,7.64054911350118
"Slc4a3",8.41710010658776,8.56417775658787,9.59441848413764,7.68100513716838,8.59144129355422,8.54401466277492,7.25134716802957,7.87149791649117,7.27374142681045,8.12897391190665,7.70395870190774,7.59590919354681,7.91033487872895,9.35448577636937,8.27702547153717,8.77628605525315,8.20110520443088,8.66219704542739,7.32937129687641,8.25392441421585
"Fhod1",8.82919463761885,8.57147842170299,9.26932024266513,7.78057309653497,8.11925427500173,8.45719037531112,7.1961723406583,7.67109923309204,7.40378117224516,8.27306668551911,9.21909464615947,7.5799781956392,7.37863575502844,9.82362995394649,8.12235534261447,7.95060378466503,8.12387543660506,8.69038669380911,7.61350084504232,9.00321979423723
"Idua",10.567269516294,10.6926961712392,10.7424264082228,9.46539868921533,10.6150901083106,11.1906018953839,9.31711030480165,9.72578392894456,9.14171853004061,10.5828373174507,10.1604424307299,9.37195055720495,9.07333349398366,11.2905776391359,10.0751065004267,9.8947034100627,10.3191536220573,10.7021836694836,10.2940253230143,10.3297153268898
"Phf2",8.39799245703132,8.6214873275709,8.6178488084563,7.51154118875782,8.14367915285536,8.09153424257387,7.59564949652648,7.90011631143007,7.63598235650417,8.88940316831153,8.75193986900248,7.66718534649535,7.36924627725597,9.24851301551215,8.28508401929221,7.61622004533958,8.48009082323744,8.27915005541891,8.328864487946,8.40973029906299
"Gatad2b",8.90364118711623,8.40066933455982,8.18579330060241,7.80744434868196,7.710986784941,7.74825317652305,7.01213929560579,7.66529618601827,7.40378117224516,7.83351718005027,8.65575349689808,7.5799781956392,7.63889853971174,9.26509523317105,8.30895730567484,7.56544945630893,7.9529844922251,7.8640729983347,7.06108715007773,8.15480667762506
"Fnbp4",10.8381336137602,10.8649105254434,10.9965366204418,10.2692658505602,10.6461895666995,10.944085818844,8.95999725554413,9.78883952452342,9.34775712295834,10.6873804384483,10.9136118517439,9.56258450340388,9.55193763503746,11.8035849076119,10.675034257328,9.54367903857766,10.3137879783812,10.5221525407241,10.0813171893338,10.5806987129178
"Srek1ip1",8.43593019710628,8.57873903194157,8.67820201272182,7.40977842009681,7.68972864165373,8.00641047562621,7.26645437444088,7.58049725467702,7.6518210698411,8.55953056536265,7.90178550851055,7.52499458592613,7.60243230884699,8.91012851308817,8.06617884058006,7.58094613965336,7.62381037110833,8.61385081223835,8.07354576678405,8.65031923731825
"F8",9.17204026010546,8.46539219398642,8.7073873146367,7.06605810996903,8.76706341907316,8.58420584464978,7.6216618878341,7.6883214516703,7.48123172645561,8.91955884133246,8.15362048833927,7.55286106191684,7.4928018268984,9.17662921686377,8.53275405464373,7.77686476796929,7.32135646463671,8.13536548485653,7.89000864659697,8.32247515675505
"Npas2",9.26635287454117,9.00884071738174,9.73661172732198,9.1695632802587,9.308811921435,9.60184065730106,8.20235788946124,8.11097905348967,7.83905152447011,9.06649792554246,8.54226077858501,8.2839049785405,8.58418543515008,10.2808461222226,9.04941308211275,8.1587214583718,8.77566948888207,8.3043715009455,8.78140280555871,9.21468087694757
"Luc7l3",10.8729738157338,11.1318091776065,11.1129143838289,9.24796367984068,10.1180932222289,10.6906535103248,8.9894109137939,9.57870038726696,9.11982275873028,10.9801262399709,11.1566142236134,9.63561664072401,9.41937103644713,12.7479991270017,9.51773084710618,9.3474206614783,10.0270420853144,10.7560758758333,9.45692319581083,10.7302502969422
"Mir207",8.585902110596,8.27894329172489,9.72740978630915,7.16345928680028,8.52495792691559,10.2142700900136,7.66691320223683,7.50176330747612,7.57010288708363,7.61763103242021,8.83379965310575,8.15199295118527,7.41526108009842,9.22156439901645,8.45767739168813,6.95516756792792,7.96314705663316,9.37929022164708,7.55208653589189,8.40605693191898
"Leng8",12.0455903363379,11.9582905147964,12.0544072892349,10.2075727851342,11.6945449086295,11.8582780495666,9.35182229301052,10.2965016601454,9.69312512024973,11.8876116583442,11.5980404848596,9.77810646202971,9.80386209453029,12.4457910129899,10.9371306945173,10.6508022538938,11.1218166606869,11.1737126925297,10.0942167359268,11.9294155694944
"Lrrc71",8.56064791873944,8.44149717139966,8.27593948734952,7.9681847600658,7.92133859642285,7.98040089935259,7.44839042450621,7.56138387583004,7.52665954431104,8.18236717798393,8.7434745326337,7.35887040805432,7.45050308181781,9.09338293993646,8.10391553475183,7.77686476796929,7.74675971247667,8.1448553096711,7.68748371766286,8.4351564760115
"Snrnp70",10.1967698941997,10.233152385652,10.7958769113609,9.28450939499062,10.4852458135908,10.9475624942106,8.71127256754433,9.32379413695758,8.95875101425373,10.4399354284643,9.96560826800345,9.32568022474128,9.31199628004885,10.8779508591645,10.4209103396328,9.55248003482028,9.85128543573048,10.1297650451744,9.2653173275779,10.2647499936007
"Pnisr",11.4311117954536,11.566399799492,11.6364014987018,8.89236203785491,11.3667907488777,11.5481243772196,9.24498915304128,9.84811839408727,9.27071573255158,11.2407945924756,11.5716980607602,10.1554109798517,9.30040384954273,12.5710915859123,10.0794709494832,10.2477364058846,10.9627725449848,11.4359433352319,9.18702244984449,11.5516019253235
