"","TumorIDnew","Growth","CD8Frac","TumSize","Time.NMU2Sac","Age.Injection","Treatment","Cohort","SizeCat"
"17N_A_CD45","P39T1","growing",0.0472687015058753,28,169,"32-36","Vehicle","Progression","big"
"2N__CD45","P4T1","growing",0.0301040967138085,47,77,"32-36","Vehicle","Progression","big"
"2R_A_CD45","P5T1","growing",0.0858191749091156,20,84,"32-36","Vehicle","Progression","big"
"2R_C_CD45","P5T2","growing",NA,15,84,"32-36","Vehicle","Progression","small"
"2R_D_CD45","P5T3","growing",0.0742194780431157,20,84,"32-36","Vehicle","Progression","big"
"3L_D_CD45","P6T2","growing",NA,30,84,"32-36","Vehicle","Progression","big"
"3L_A_CD45","P6T1","growing",0.0531246414587471,12,84,"32-36","Vehicle","Progression","small"
"3N_B_CD45","P7T1","stable",0.276829917860447,6,127,"32-36","Vehicle","Progression","small"
"3R_C_CD45","P8T2","growing",0.0232139311385568,32,84,"32-36","Vehicle","Progression","big"
"3R_B_CD45","P8T1","growing",0.0266553579642389,35,84,"32-36","Vehicle","Progression","big"
"5N_A_CD45","P13T1","growing",NA,26,135,"32-36","Vehicle","Progression","big"
"5R_B_CD45","P14T1","growing",0.0596672294268477,35,135,"32-36","Vehicle","Progression","big"
"6N_D_CD45","P16T1","growing",0.0815901125430434,40,55,"32-36","LY","Progression","big"
"6R_D_CD45","P17T3","stable",NA,6,79,"32-36","LY","Progression","small"
"7N_A_CD45","P19T1","growing",NA,30,163,"32-36","LY","Progression","big"
"7N_B_CD45","P19T2","growing",0.0206734110298608,31,163,"32-36","LY","Progression","big"
"8L_D_CD45","P21T1","stable",0.0562336342953625,6,127,"32-36","LY","Progression","small"
"8R_CU_CD45","P22T2","growing",0.0287668011746126,27,127,"32-36","LY","Progression","big"
"8R_CL_CD45","P22T1","growing",0.0176690744267719,12,127,"32-36","LY","Progression","small"
"9L_B_CD45","P23T2","growing",NA,35,238,"32-36","PDL1+LY","Progression","big"
"10L_C_DN","P24T2","growing",0.0100340714520434,25,79,"32-36","PDL1","Progression","big"
"10R_BL_DN","P26T1","growing",0.0202714813177359,40,98,"32-36","PDL1","Progression","big"
"10R_BU_DN","P26T2",NA,0.0670640985529038,12,98,"32-36","PDL1","Progression","small"
"11L_B_DN","P27T1","growing",0.152177738773681,25,112,"32-36","PDL1","Progression","big"
"11R_D_DN","P29T2","growing",0.0224452418752018,25,112,"32-36","PDL1","Progression","big"
"11R_C_DN","P29T1","growing",0.050418603715108,19,112,"32-36","PDL1","Progression","small"
"12L_D_DN","P30T2","stable",0.0223692560965648,6,127,"32-36","PDL1","Progression","small"
"14N_C_DN","P31T2","stable",0.0541297977067744,6,79,"32-36","PDL1+LY","Progression","small"
"14N_D_DN","P31T3","stable",NA,5,79,"32-36","PDL1+LY","Progression","small"
"14R_B_DN","P32T1","growing",NA,35,98,"32-36","PDL1+LY","Progression","big"
"15L_B_DN","P33T1","growing",0.0129612204366809,10,79,"32-36","PDL1+LY","Progression","small"
"15N_C_DN","P34T1","growing",NA,30,112,"32-36","PDL1+LY","Progression","big"
"16L_C_DN","P36T2","stable",0.0476926119861338,7,163,"32-36","PDL1+LY","Progression","small"
"16L_D_DN","P36T3","stable",0.0316167665758732,24,163,"32-36","PDL1+LY","Progression","big"
"16R_D_DN","P38T2","stable",0.0306485937592836,3,183,"32-36","PDL1","Progression","small"
"17N_D_DN","P39T3","stable",0.111526720118085,4,169,"32-36","Vehicle","Progression","small"
"17N_A_DN","P39T1","growing",0.0472687015058753,28,169,"32-36","Vehicle","Progression","big"
"2N__DN","P4T1","growing",0.0301040967138085,47,77,"32-36","Vehicle","Progression","big"
"2R_A_DN","P5T1","growing",0.0858191749091156,20,84,"32-36","Vehicle","Progression","big"
"2R_C_DN","P5T2","growing",NA,15,84,"32-36","Vehicle","Progression","small"
"3L_D_DN","P6T2","growing",NA,30,84,"32-36","Vehicle","Progression","big"
"3L_A_DN","P6T1","growing",0.0531246414587471,12,84,"32-36","Vehicle","Progression","small"
"3N_B_DN","P7T1","stable",0.276829917860447,6,127,"32-36","Vehicle","Progression","small"
"3R_C_DN","P8T2","growing",0.0232139311385568,32,84,"32-36","Vehicle","Progression","big"
"3R_B_DN","P8T1","growing",0.0266553579642389,35,84,"32-36","Vehicle","Progression","big"
"4N_C_DN","P10T1","growing",0.00813878305467377,15,96,"32-36","Vehicle","Progression","small"
"6R_B_DN","P17T1","growing",0.155480427254777,18,79,"32-36","LY","Progression","small"
"6R_D_DN","P17T3","stable",NA,6,79,"32-36","LY","Progression","small"
"8R_CU_DN","P22T2","growing",0.0287668011746126,27,127,"32-36","LY","Progression","big"
"8R_CL_DN","P22T1","growing",0.0176690744267719,12,127,"32-36","LY","Progression","small"
"9L_A_DN","P23T1","growing",NA,45,238,"32-36","PDL1+LY","Progression","big"
"10L_D_Ep","P24T3","stable",0.0681087685159526,10,79,"32-36","PDL1","Progression","small"
"10R_BL_Ep","P26T1","growing",0.0202714813177359,40,98,"32-36","PDL1","Progression","big"
"10R_BU_Ep","P26T2",NA,0.0670640985529038,12,98,"32-36","PDL1","Progression","small"
"11L_B_Ep","P27T1","growing",0.152177738773681,25,112,"32-36","PDL1","Progression","big"
"11N_D_Ep","P28T1","stable",0.380067171051444,3,127,"32-36","PDL1","Progression","small"
"11R_D_Ep","P29T2","growing",0.0224452418752018,25,112,"32-36","PDL1","Progression","big"
"11R_C_Ep","P29T1","growing",0.050418603715108,19,112,"32-36","PDL1","Progression","small"
"12L_D_Ep","P30T2","stable",0.0223692560965648,6,127,"32-36","PDL1","Progression","small"
"14N_C_Ep","P31T2","stable",0.0541297977067744,6,79,"32-36","PDL1+LY","Progression","small"
"14N_D_Ep","P31T3","stable",NA,5,79,"32-36","PDL1+LY","Progression","small"
"14R_B_Ep","P32T1","growing",NA,35,98,"32-36","PDL1+LY","Progression","big"
"15N_C_Ep","P34T1","growing",NA,30,112,"32-36","PDL1+LY","Progression","big"
"16L_C_Ep","P36T2","stable",0.0476926119861338,7,163,"32-36","PDL1+LY","Progression","small"
"17N_D_Ep","P39T3","stable",0.111526720118085,4,169,"32-36","Vehicle","Progression","small"
"2N__Ep","P4T1","growing",0.0301040967138085,47,77,"32-36","Vehicle","Progression","big"
"3N_B_Ep","P7T1","stable",0.276829917860447,6,127,"32-36","Vehicle","Progression","small"
"3R_C_Ep","P8T2","growing",0.0232139311385568,32,84,"32-36","Vehicle","Progression","big"
"6R_B_Ep","P17T1","growing",0.155480427254777,18,79,"32-36","LY","Progression","small"
"7N_A_Ep","P19T1","growing",NA,30,163,"32-36","LY","Progression","big"
"8L_D_Ep","P21T1","stable",0.0562336342953625,6,127,"32-36","LY","Progression","small"
"8R_CU_Ep","P22T2","growing",0.0287668011746126,27,127,"32-36","LY","Progression","big"
"NMU12_RL_Ep","C9T2",NA,NA,6,61,"35","Vehicle","Characterisation","small"
"Control1__CD45",NA,NA,NA,NA,NA,"49","Vehicle","Characterisation",NA
"NMU10_LL_Ep","C7T1",NA,NA,4,61,"35","Vehicle","Characterisation","small"
"NMU12_LA_Ep","C9T1",NA,NA,12,110,"35","Vehicle","Characterisation","big"
"NMU13_LAU_Ep","C10T2",NA,NA,14,160,"35","Vehicle","Characterisation","big"
"NMU13_LLU_Ep","C10T4",NA,NA,4,160,"35","Vehicle","Characterisation","small"
"NMU14__Ep","C11T1",NA,NA,6,160,"35","Vehicle","Characterisation","small"
"NMU7_RLU_Ep","C17T4",NA,NA,4,55,"35","Vehicle","Characterisation","small"
"NMU10_LL_CD45","C7T1",NA,NA,4,61,"35","Vehicle","Characterisation","small"
"NMU12_LA_CD45","C9T1",NA,NA,12,110,"35","Vehicle","Characterisation","big"
"NMU13_LAU_CD45","C10T2",NA,NA,14,160,"35","Vehicle","Characterisation","big"
"NMU13_LLU_CD45","C10T4",NA,NA,4,160,"35","Vehicle","Characterisation","small"
"NMU13_RAU_CD45","C10T6",NA,NA,8,160,"35","Vehicle","Characterisation","big"
"NMU14__CD45","C11T1",NA,NA,6,160,"35","Vehicle","Characterisation","small"
"NMU7_RLU_CD45","C17T4",NA,NA,4,55,"35","Vehicle","Characterisation","small"
