"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"5460","Psmc4",2180.19852586461,-0.192142200019266,0.143127998167671,-1.34245013190344,0.179450089268285,0.572802253773684
"5461","Nudt1",107.241739443896,0.128330732703208,0.231639462788513,0.554010664497066,0.579571547241618,0.840139633389262
"5462","Tra2b",2599.80834131859,-0.0896975814217945,0.183469961360125,-0.488895188928128,0.624915901976804,0.860516324289081
"5463","Psmb6",2.92095040822705,0.212002984946472,0.556709251546922,0.380814553301174,0.703340859552132,0.893905676878871
"5464","Eif4e",1489.15414984719,-0.104746416080335,0.256057741744439,-0.409073419794815,0.682485781829081,0.885635346126104
"5465","Rpl6",3303.51496569541,0.282237998549071,0.185039876996874,1.52528202639175,0.127188768832519,0.513128666823386
"5466","Akap12",488.630149665342,-0.400458450447504,0.593278598310073,-0.674992240725001,0.499680694690553,0.802146683686201
"5467","Enpp2",706.925943426688,-1.27435318065545,0.924990340270143,-1.3776935014081,0.168297938625332,0.56176581622331
"5468","LOC100362040",5.99773732240118,-0.521237116143299,0.540368069673583,-0.964596439715914,0.33474698335896,0.702183073455251
"5469","Cul3",1049.00056120136,0.0324607528851815,0.258055650698793,0.125789738753174,0.899898364540917,0.971292751860951
"5470","Eif1b",893.552344520607,-0.334927841272851,0.338469758893627,-0.989535497551232,0.322401211057377,0.693475898536456
"5471","Exog",152.315038096355,-0.00902448228071706,0.204029562922909,-0.0442312484104418,0.96472007379073,0.989643967433508
"5472","Ctdspl",218.846403854267,-0.411128024854654,0.234947446090621,-1.74987228716706,0.0801403536320255,0.453321604247255
"5473","Fastkd3",219.645841519256,0.142489451962445,0.15686476028444,0.908358586747408,0.363688798308976,0.721088118831015
"5474","Ccne1",87.0990443491964,-1.10704727075564,0.41799627330844,-2.64846205922689,0.00808589248812605,0.23566855984134
"5475","Zfp426",95.837189320901,0.18860960349527,0.237634122714786,0.793697476357987,0.427371569769293,0.766665398246226
"5476","Rrm2b",56.7466957989567,0.165626468139277,0.281354893188463,0.588674560667169,0.556079606306563,0.82972327141732
"5477","Med30",579.245994871992,0.135860110328936,0.165922809240578,0.818815152363696,0.412891884555849,0.759486509110275
"5478","Dmkn",76.4705631141362,0.819497170515849,0.602765084439972,1.35956310620952,0.173968219828561,0.567816573139687
"5479","Nxn",312.238400862836,-0.288441538659941,0.163947262345148,-1.75935562774268,0.0785171236142565,0.451046375175053
"5480","Wnt10b",14.9394110734766,-2.17104460955317,0.827768320335565,-2.62276841987992,0.00872185340052989,0.240746395676603
"5481","Supt7l",138.009828212709,0.043672254723425,0.238754038894004,0.182917344249885,0.854862873753196,0.95520199098137
"5482","Ccser1",154.113608462466,-0.288790049223288,0.315757183001736,-0.914595343415199,0.360404104211277,0.718106280468706
"5483","Rab5if",1563.65618452621,-0.0491684707363896,0.149621729117886,-0.328618517018007,0.742444050173298,0.909248948610987
"5484","Tceal5",2.51523048123099,-1.60870641447027,0.916933466393891,-1.75444181440664,0.0793548317514531,0.451991489367956
"5485","Selenoh",918.88569464313,-0.264927063374236,0.211430672031498,-1.25302095873189,0.210198079301703,0.604604528257372
"5486","Ehd2",1221.03838847547,-0.272587849655293,0.385681271945841,-0.706769733153056,0.479709586472073,0.792095593334069
"5487","Gja3",5.34296753273944,0.108293118515812,1.15027754013197,0.0941452082106965,0.92499380887334,0.979329893236961
"5488","Mtpn",1044.88428797401,-0.0279107412882426,0.169165164607872,-0.16499106865731,0.868951011893873,0.96150100344064
"5489","Gk",423.829177047334,0.359547043284106,0.269015058524793,1.33653129031426,0.181375680158061,0.574150579168309
"5490","Hes1",4422.50226508067,0.355276034523623,0.35083425578107,1.01266061870915,0.311222294459349,0.686677625603904
"5491","Hmgcl",927.228109157061,0.178733524092887,0.223521657223136,0.799625084715891,0.423928049322152,0.76454992193912
"5492","Adgrl1",244.768112502487,-1.11314528076537,0.44245004564212,-2.51586657460931,0.0118740124962958,0.261216355597825
"5493","Zfp319",175.991030083501,0.282574160339892,0.256091978584345,1.10340886857112,0.269849647083767,0.66173117555568
"5494","Tyw5",92.4503692873245,-0.134100539001697,0.191485320036858,-0.700317596021905,0.483728985281057,0.794501522930407
"5495","Ccar2",1258.06813226179,-0.264892909326428,0.152458749716234,-1.73747265945354,0.0823037758335691,0.456880678891974
"5496","Plac8",2911.5836267953,0.158008194891259,0.352033513084954,0.44884418391475,0.65354406288689,0.871553298073184
"5497","Ten1",277.362668075519,0.174099399681246,0.186363251553612,0.934193829684079,0.350203918011805,0.712854508520106
"5498","Mtch1",4754.87051867857,-0.0878026169686986,0.155685701070239,-0.5639735464793,0.572772135483553,0.835669761761532
"5499","Mcpt8l2",145.353381796194,0.228451074945635,0.647281139809342,0.352939489342955,0.724133805237816,0.900792295884237
"5500","Art3",305.433422222513,0.148374851808935,0.556929458559731,0.266415880015838,0.789918936552649,0.92753363818523
"5501","Nectin1",655.005018283223,-0.0175946832936162,0.232330847627602,-0.0757311544002043,0.939632989530665,0.981932308029037
"5502","Tnnc2",59.1591285023509,2.35967497573525,1.4819251622371,1.59230373831639,NA,NA
"5503","Ccdc47",2620.59638512052,0.218949652468067,0.148015226577949,1.47923735638618,0.13907688871681,0.528907476897017
"5504","St3gal1",45.865661869202,-0.0674468063782692,0.482964388341388,-0.139651717613999,0.888935176217319,0.9674580310779
"5505","Dus3l",866.107185320176,-0.177505538459406,0.184787010590457,-0.960595324813235,0.336755680312581,0.703284952665176
"5506","Adal",54.3816262023491,-0.382440769807292,0.31702380543271,-1.20634716779484,0.227683657863824,0.623164412322807
"5507","Mtrf1l",171.687972120466,0.206364639560521,0.181970936961558,1.13405273944441,0.256772426188983,0.650038173034948
"5508","St6galnac6",663.743571948267,0.293844682789988,0.225104701360589,1.30536892838718,0.191767253351047,0.585828041377126
"5509","Galnt3",649.68510815094,0.608642531027864,0.318916512008359,1.9084697972989,0.0563305231913585,0.40636673125388
"5510","Hirip3",529.370677220341,0.130516811109731,0.224454218067162,0.581485223283603,0.560913474427746,0.83141090114643
"5511","Rbm39",560.306204102096,0.352498230806813,0.281576111901072,1.25187548200345,0.210615240032105,0.604949773034429
"5512","Rab14",846.497879578296,0.100826505358288,0.107182505442286,0.940699276829083,0.34685898970033,0.710689839972845
"5513","Yme1l1",104.422217144486,0.0111885944699125,0.207452615191299,0.0539332534304045,0.95698834280563,0.986554783044997
"5514","Map2k6",82.6426118587717,-0.532296800218581,0.350575792972154,-1.51835012824419,0.128926156898757,0.51458502573358
"5515","Slc26a3",11.0806728824965,-1.39456090690082,1.03043268476826,-1.35337409955552,0.175936147509732,0.569746872464823
"5516","Stkld1",7.82946778015759,-1.13264736012629,0.8508018655307,-1.33127042383692,0.183100046319802,0.576108215323215
"5517","Bhlhe22",15.3578114186073,-1.75739555349509,0.979553078313164,-1.79407894518733,0.0728005691247434,0.4419961826161
"5518","Virma",326.490419833635,-0.142318888226086,0.187589329348291,-0.758672621308047,0.448048418713786,0.779462403800291
"5519","Paip1",1465.14506017537,0.229972750169326,0.188530110442893,1.21981973929297,0.22253321677721,0.617131618843614
"5520","Ovca2",60.6522530098039,-0.246872926982789,0.208645475013639,-1.18321725868558,0.236723054736733,0.630128112718037
"5521","Efhd1",401.780009150151,0.277036050217996,0.419290436886207,0.660725897483757,0.508788112497599,0.80614617208876
"5522","Zfp217",175.822655839991,-0.298699527113911,0.238105282479123,-1.2544850916531,0.209665741178212,0.603820642937606
"5523","Kmt5b",783.942135714161,0.100627994082605,0.146890145562035,0.685056126110973,0.493308504463796,0.79924815297736
"5524","Ddo",10.5762685616609,0.418851217914983,0.489549704216673,0.855584661388338,0.392227557188632,0.74590821805893
"5525","Sema7a",136.745817553248,-0.897006300013671,0.666453003229252,-1.34594081753295,0.178321603741243,0.571990700867539
"5526","Trim25",610.87503405132,0.236121542724981,0.190935946603794,1.23665316523635,0.216215873137869,0.61194805167102
"5527","Arhgap15",50.3230128833746,-1.36274684933386,0.698031498610785,-1.95227128295211,0.0509060050052367,0.392419524853252
"5528","Lztfl1",255.833891837526,-0.175379348850094,0.309739374611825,-0.566215868001558,0.571247044280233,0.835178154762638
"5529","Luc7l",904.635122040937,-0.295827746096371,0.189696691106468,-1.55947762910812,0.118883375357954,0.499763416848383
"5530","Gp9",10.0649352945759,-1.30620967374607,0.78658358373421,-1.66061140959108,0.0967915159974823,0.475864795668663
"5531","Anxa13",3.32535599136967,0.150255318642323,0.813820128131639,0.184629641671898,0.853519534933531,0.954274116023298
"5532","Ctdsp1",502.830735657341,-0.0698641354263306,0.138918174280457,-0.50291573286361,0.615023519285404,0.855710608082673
"5533","Crip1",2800.37473534959,-1.34400391599048,0.5759262772775,-2.33363881631484,0.0196146422841808,0.298422542115492
"5534","Pim3",1365.44347855822,0.260207286957269,0.33234023841135,0.782954505301884,0.43365382845142,0.769900577930365
"5535","Adcy5",52.7357161797396,-1.21121361714524,0.513925455627083,-2.35678852620238,0.0184337411824659,0.293798455346594
"5536","Slc30a1",345.56104115103,0.384296820977539,0.380160025966199,1.01088172014095,0.31207304408273,0.687553248704008
"5537","Dmbt1",48.0780650906632,-0.304408586455606,0.845369505212338,-0.360089386450184,0.718780289556202,0.89838658185455
"5538","Cspp1",410.419285078302,-0.448401698727013,0.218064080626924,-2.0562840860259,0.039755141324626,0.362979709765497
"5539","Zfp574",669.560590584561,0.182049375413486,0.209103509916878,0.87061845822604,0.383962514607314,0.738706113642557
"5540","Cenpt",95.1773092707926,-0.968046382315525,0.492236432068521,-1.96662887841827,0.0492260116653188,0.388763098797724
"5541","Mettl3",483.834933574158,0.18718685277126,0.151589520332701,1.23482713290755,0.216894846997359,0.612172168563028
"5542","Hmgb3",34.3859639679338,0.130904954216335,0.264753519352828,0.494440846476087,0.620994872842555,0.858865841977449
"5543","Ago3",76.7107527735232,-0.640979254283518,0.263455087934365,-2.43297352618677,0.0149753957801468,0.282515158422329
"5544","Cyb5d1",27.4177049676347,0.174614406323702,0.408783314420367,0.427156393531609,0.669265420249791,0.877993710880732
"5545","Siglec15",46.673748332402,0.660539389251985,0.606323934770699,1.08941664904221,0.275970192754761,0.666060599243601
"5546","Nfatc4",270.703683040436,-1.42472955371336,0.572112438358144,-2.4902964141141,0.0127636596657965,0.268455525309669
"5547","Pdcd7",417.236041525165,-0.337619149434989,0.125098370872268,-2.6988293059365,0.00695838565600138,0.227917634219999
"5548","Ppcdc",8.63907267012029,0.0203914579101982,0.467925900019761,0.0435783911712026,0.965240476678363,0.989831900696112
"5549","Zfp786",94.2915399011625,0.00986617398190928,0.335578280116599,0.0294005141765469,0.976545162729582,0.993791330329557
"5550","Pde8b",24.5469373631211,-2.24398743833583,0.880428502653667,-2.54874465282793,0.010811142636451,0.255988201008184
"5551","Pdxp",102.415755290524,-0.864044377101293,0.332492318251939,-2.59868974310131,0.00935803109349895,0.244718150463126
"5552","Rnasek",1610.66244051491,-0.191915466638301,0.149484608657259,-1.2838476707547,0.199195260024436,0.594027907327279
"5553","Tmem87b",731.976037157805,0.0688688890232208,0.138533836846709,0.497126843454325,0.619099606112512,0.858446994293361
"5554","Rnf43",257.818261494388,0.318283359485779,0.297230613511808,1.07082966900761,0.284246023963897,0.672035775426635
"5555","Col4a3",68.1134179015027,-1.09437020223617,0.484077553308112,-2.26073321259664,0.0237757825162564,0.316592876534192
"5556","Lima1",2757.78219451532,0.292539305019371,0.152386241448832,1.91972255656427,0.0548929534896858,0.403315468870728
"5557","Rbm8a",2018.92306531483,0.0301220588615121,0.128869169262227,0.233741390853687,0.815185752428368,0.93865287832667
"5558","Piwil4",33.6622086241135,-0.11541406007782,0.418994699143372,-0.275454702204543,0.782966922536187,0.925307295324154
"5559","Vav3",281.31455476148,-0.488409874985943,0.37332509607951,-1.30826960232516,0.190781881601462,0.584050880135365
"5560","Uvssa",53.374249370343,0.189395517687069,0.215737060849768,0.877899777354237,0.379998110050659,0.734994116618109
"5561","Mycl",47.933362713016,-0.176999142998502,0.380212044860527,-0.465527448146547,0.64155378537305,0.866277752671844
"5562","Slc26a6",121.419063805468,-0.331464018533124,0.278161512347605,-1.19162430393644,0.23340859089544,0.627667651212737
"5563","Dock11",82.7742096660908,-1.1566142394623,0.591653141249564,-1.95488565651751,0.0505965679102621,0.392184403894878
"5564","Frem1",166.402735467322,-2.62615301958353,0.774848319795972,-3.38924787276436,0.000700846263555144,0.108090805628288
"5565","Cks1b",718.031087750655,0.123272958143495,0.204079401239399,0.604044099477182,0.545814323186629,0.823653750574329
"5566","Usp6nl",799.845529355547,-0.0130728797999893,0.278315405278223,-0.0469714559527195,0.962535977259101,0.988884982001047
"5567","Fbh1",1556.34618843216,-0.0923741196199657,0.176699897197183,-0.522774042799149,0.601131505124322,0.849387874666236
"5568","RGD1305178",703.421792104629,0.123058623906041,0.135102536238993,0.910853543773251,0.362372546037017,0.720309790785326
"5569","Htra1",4558.86757703402,-0.828055092586435,0.743494276693162,-1.11373431987853,0.265393181318389,0.658569825127166
"5570","Il12a",4.09514693945633,-1.80124811819672,1.21767112039929,-1.47925666300279,0.139071730604629,0.528907476897017
"5571","Ank3",658.207949448523,0.0600678263800384,0.254320216049628,0.236189742652298,0.813285438561714,0.938021606291962
"5572","Nemp2",114.418224262495,-0.910468056973505,0.317923601251187,-2.86379511741299,0.0041859867100849,0.184037688162452
"5573","Fzd6",618.934027870289,-0.262951463970979,0.243903126426977,-1.07809796382297,0.28099004022423,0.66984445998976
"5574","Osbpl6",310.419620077157,0.104080491021258,0.189229573061311,0.550022331802947,0.582304056561575,0.84102712414922
"5575","Hspb2",54.7452932418007,0.132539391644978,0.360154164948424,0.368007382793862,0.712867729241256,0.896656744276523
"5576","Sdf4",2399.52752600628,-0.105762572659725,0.18202138332831,-0.581044769168479,0.561210280929904,0.83160171726908
"5577","Ywhaq",5405.62972468034,0.200004568655064,0.134235882066147,1.48994863054954,0.136237743372363,0.524452891498163
"5578","Vcpip1",680.638262224353,0.308940048904664,0.215560086894971,1.43319690279764,0.151801574540585,0.545170911548499
"5579","Mtss1l",432.845589035043,0.146912164066436,0.30914165650476,0.475226036269151,0.634625871247025,0.865229523076595
"5580","Ctsh",5019.47805742407,0.447820063988091,0.328233802764653,1.36433255873156,0.172462923113668,0.565312018049155
"5581","Sparcl1",4184.28820216046,-0.411870011496014,0.87630358519336,-0.470008360635809,0.638349044315155,0.86549568124952
"5582","Esd",652.462246837064,0.0546542979729147,0.14299205674035,0.382219119151197,0.702298841486698,0.89346362171668
"5583","Adgrg2",54.9557574354286,-0.0672038408681453,0.537276027322707,-0.12508252267094,0.900458219510432,0.971407553844999
"5584","Kirrel2",12.7276453330103,-2.63183628720601,0.996975372693156,-2.6398207611654,0.0082949884886755,0.238873720028801
"5585","LOC100911068",22.8514527950344,0.0377016875660299,1.02340606021046,0.036839421840317,0.970613041285896,0.991784514450077
"5586","Fam184b",8.22185838624697,-0.38087926051013,1.24309344527294,-0.306396322785294,0.759302907811568,0.914915041490567
"5587","Zfp523",551.685265507054,0.104532328687573,0.126936637072256,0.823500063484981,0.410223681093034,0.757493823061793
"5588","Ctps1",887.206812400122,-0.128730047590925,0.192549409944795,-0.668555918337182,0.503778800267215,0.804295579234068
"5589","Dennd6a",1358.85066034355,0.147947068807215,0.181612572507131,0.814630103878994,0.415284073368315,0.760200861675679
"5590","Gnpnat1",738.777972023789,0.185351048764281,0.151928301986409,1.21999026080646,0.222468566912606,0.617083737359504
"5591","Idua",1465.47174488606,-0.471407239395002,0.210466114985484,-2.23982487360265,0.025102294400877,0.319880423518659
"5592","Shisa7",21.6508715886994,-0.555840556656952,0.482546107475594,-1.15189107951734,0.249365834340205,0.642940261455651
"5593","Kctd19",13.9450533372623,-0.856901911511323,0.818286949062925,-1.04719000161571,0.295011955740277,0.677591159690386
"5594","Fam8a1",423.640181492417,0.0244271876791993,0.207085780661582,0.117956856338283,0.906101842806686,0.973599398745412
"5595","Epgn",33.6815421937023,-0.111065089761947,0.955501277226964,-0.11623751051833,0.907464309132062,0.973939866306217
"5596","Ndufa5",1180.73075078939,-0.199880147177628,0.207171800603173,-0.964803832354038,0.334643076047049,0.702183073455251
"5597","Itgb4",2742.91916396708,0.428513856479084,0.264322493272564,1.62117817206427,0.104979432663483,0.484288753658002
"5598","Trim35",1750.0628693778,-0.133845487409284,0.157552809784795,-0.849527771622141,0.395587683638319,0.748629661579228
"5599","Tmem156",5.69811541239499,-0.516689727479012,0.780006349440956,-0.662417335255453,0.507703796904422,0.805118233556968
"5600","Gsk3b",836.477701040686,0.098564472349906,0.169861504924963,0.58026374129587,0.561736774851201,0.831705641794026
"5601","Gab2",101.154686276494,-0.108230287175235,0.499560902507109,-0.216650836028336,0.828480465078303,0.943780711749015
"5602","Baiap2",1356.92798102288,0.322390258489658,0.263993842820217,1.22120370325913,0.222008902455343,0.617006424892049
"5603","Mylk2",5.40181887066733,-1.69267511027571,1.20022335260582,-1.41030009672843,0.158451089988762,0.550359694506884
"5604","Pcyt1a",274.705605986837,0.356774440849068,0.238068243036581,1.498622564263,0.133971575614667,0.521518631450053
"5605","Ptpn12",370.806334739799,-0.281005751254307,0.35845641687422,-0.783932824259944,0.433079528172316,0.769527908118115
"5606","Adamts18",440.034256973685,0.174513624393711,0.549892216838389,0.317359691681179,0.750970688905775,0.91235438810828
"5607","Selplg",55.026501678371,-1.28492664127032,0.543780171660172,-2.36295236243612,0.0181299999131866,0.292078218063617
"5608","Tlr6",23.5681909611708,0.229262720415294,0.444363942534629,0.515934571800742,0.60590010705173,0.851720339562677
"5609","Trmt11",163.376281187493,0.198353422140058,0.256560966243766,0.773123928569855,0.439449040974826,0.77404623297137
"5610","Tmub1",307.732133237563,-0.0481481595355984,0.18345787771447,-0.262448035131722,0.792976043430862,0.929265456096474
"5611","Atp6v1e1",1836.17145528364,0.144169886658117,0.140800170350452,1.0239326152751,0.305867103770875,0.681676262282248
"5612","Atp6v1g2",9.78069999701506,-0.838149856860237,0.607014273409114,-1.3807745444815,0.167348292668566,0.561149060135565
"5613","Cfb",11390.4147163201,0.716368399469057,0.507877953432786,1.41051288922283,0.158388293265316,0.550359694506884
"5614","Gid8",969.07266560371,-0.0215064505575808,0.0956002883394727,-0.224962193432014,0.822008685688713,0.941597248106615
"5615","Abca7",153.849028248703,0.011851230357629,0.177914578425474,0.0666119126521909,0.946890661886316,0.983754055823334
"5616","Txnl4a",640.153512370997,0.132175309418065,0.139512623827153,0.947407523363778,0.343431158946134,0.708080853743068
"5617","Oxld1",77.7992385903543,-0.0427712425675799,0.392737964780997,-0.108905291576358,0.91327760954103,0.976284674735876
"5618","Tlr5",28.4250491774614,-0.761667476805455,0.462037554118777,-1.64849690250427,0.0992507457988412,0.47919689248846
"5619","Fam227a",89.6155603964158,-0.19772543852049,0.29772898500927,-0.664112157284027,0.506618529669721,0.804962868340781
"5620","Sp2",174.672727583709,0.062396440641797,0.188715068993037,0.330638358530336,0.740917668383566,0.908651548673056
"5621","Ubxn2a",177.563227964111,0.190751960115565,0.164762527374724,1.15773873559085,0.246970671316104,0.640965697094725
"5622","Midn",320.767121520666,-0.100272388067141,0.292994218367049,-0.342233333565388,0.732175301547993,0.904660242130884
"5623","Zfp710",260.566791510586,-0.00308997284246798,0.216418187593249,-0.0142777872637742,0.988608361021946,0.996790101316669
"5624","Qpct",165.198182778087,-0.48862204512304,0.599515069173713,-0.815028796184368,0.415055827119744,0.760200861675679
"5625","Snrnp40",750.720628509783,-0.0259263844906416,0.144036599594406,-0.179998587606539,0.85715367701614,0.956403726092665
"5626","Adsl",1269.37107466422,-0.155665524308673,0.210297588890601,-0.740215449591543,0.459169274556845,0.782998751152781
"5627","Retn",3.76800932571993,0.40312161348066,1.24807186487674,0.322995513980658,NA,NA
"5628","Fmo5",137.176265720268,0.619899778182451,0.253364913523692,2.44666781031812,0.014418365997541,0.279639892486318
"5629","Pnpla7",965.634945124846,-0.053776506431418,0.287711002511928,-0.186911539572382,0.851729991377135,0.954036593373432
"5630","Klhl17",193.555661746356,-0.672630592881096,0.250755855449536,-2.68241230768173,0.00730933121423048,0.230482858118459
"5631","Imp3",809.344723259235,0.0868266774226767,0.142582815081089,0.608956116999773,0.542553526397613,0.822163669336294
"5632","Ncor2",1760.72588330209,-0.26092138323162,0.181775339808078,-1.43540583396574,0.151171484520752,0.543841503567335
"5633","Tiam1",168.444070493792,-0.221430174599157,0.324175224208525,-0.683057056996813,0.494570789346641,0.799857013944455
"5634","Cfd",156.825612488882,-1.54763813855839,0.733526703733677,-2.10985930120997,0.0348704767415466,0.344709661090844
"5635","Pcnp",877.686060377617,0.10401965711764,0.112170948033882,0.927331532280715,0.353754427407793,0.714365623838066
"5636","Rundc3b",3.87263502725411,0.371035902768065,0.963089241802219,0.385255993591777,0.700047761926792,0.892909098569279
"5637","Lysmd3",426.572408122495,0.039347389976077,0.243971871679904,0.161278387156457,0.871874144965031,0.962817492842469
"5638","Tpmt",88.4517940176047,-0.391360795194429,0.205546407846973,-1.90400211462607,0.0569099087806984,0.40636673125388
"5639","Zfp316",164.083364667114,0.168732344371579,0.28058646587408,0.601355962932658,0.547602922864833,0.824633772487133
"5640","Trat1",10.2940263712162,-0.213948010510739,1.03541663682744,-0.206629875260924,0.836298926660522,0.947136352891554
"5641","Scaf1",1212.25888052584,0.182077582824833,0.13579824029778,1.34079486174173,0.17998706494079,0.572878498155861
"5642","Cnn3",7845.68177770411,-0.0533429649132651,0.313833873768158,-0.169971979993058,0.865032172701443,0.95960395890423
"5643","Cr1l",1907.76471204503,0.464492501409858,0.131500573663385,3.53224695885257,0.000412044357693937,0.0839580590258719
"5644","Arpc1b",9215.21357036469,0.163925448934973,0.158686355303098,1.03301540086335,0.301596691463596,0.681676262282248
"5645","Btg3",1267.72873892792,-0.204061942151477,0.268249723740658,-0.760716318011056,0.446826526065822,0.778584997756173
"5646","App",13020.8804323464,0.207867831724515,0.268820286177487,0.773259468919959,0.43936883762132,0.77404623297137
"5647","Xiap",167.62067638404,0.403671963349414,0.172408192426647,2.34137344442702,0.0192129384834271,0.29822419293167
"5648","Gpd1",438.29485089054,0.0325227563126885,0.549481951929546,0.0591880337442976,0.952802340622303,0.985953292912675
"5649","Ap2s1",1203.75734156272,-0.206545067940273,0.178571161837966,-1.15665410816832,0.247413706284429,0.641177136948386
"5650","Ppp1r10",927.120193234068,0.0760747647447054,0.195782266827081,0.388568208845474,0.697595587877578,0.89205498687096
"5651","Arhgef11",416.652975804134,-0.208092706760378,0.222408082862814,-0.935634640979906,0.349461332555627,0.712323514457965
"5652","Rpl31",3467.34854143849,0.191154362471374,0.232598873003363,0.821819813669563,0.411179455283833,0.758468845065348
"5653","Slc25a11",1429.99875593687,-0.047861089542187,0.171956822090606,-0.278332019400593,0.780757498878649,0.924906748568561
"5654","Anxa4",3593.84079634766,0.122116279594688,0.197075631677664,0.619641700778214,0.53549370585005,0.820097585412872
"5655","Slc7a2",75.4418764089295,-0.151059556026933,0.392466196434949,-0.384898259771453,0.700312795268879,0.892909098569279
"5656","Kcna6",28.9148882707215,-1.52505079290977,0.964340723712812,-1.581443939273,0.113776567553483,0.493890488671915
"5657","Cd200r1",30.7854439008051,-2.17143077022742,0.776859643605194,-2.79513910666077,0.00518773875032063,0.200474545238652
"5658","Timm8a1",354.586794584587,0.0341656579538595,0.192667402419707,0.177329727420277,0.859249401698907,0.956780314184848
"5659","Birc3",1418.35222463092,0.117479994330852,0.616897370982285,0.190436853611142,0.848966821040956,0.953119925389201
"5660","Trib1",3955.41604158856,-0.418335794616339,0.324942205384686,-1.2874160010119,0.197949330127481,0.592506128679367
"5661","Agap2",9.45817167086437,-1.94876410679742,0.799613480133815,-2.4371326337211,0.0148042481968599,0.282515158422329
"5662","Icos",38.7669698146318,-0.136481819080899,0.800349472819627,-0.170527780320857,0.864595088773652,0.95960395890423
