"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","baseMean.1","log2FoldChange.1","lfcSE.1","stat.1","pvalue.1","padj.1","baseMean.2","log2FoldChange.2","lfcSE.2","stat.2","pvalue.2","padj.2"
"Haus8",261.110902798963,0.0640305389384211,0.250093232338668,0.256026675890666,0.79793023924411,0.907437032445842,261.110902798963,0.162781197378516,0.249613950224203,0.652131810871574,0.514316144298836,0.711946317870204,261.110902798963,0.187533984253564,0.238062902338464,0.787749718294786,0.430843117560106,0.625239997622066
"Castor1",590.66898893859,0.0714473840622154,0.249482013824607,0.28638290579314,0.774584865874415,0.897413508327379,590.66898893859,0.0852791115375927,0.249327654141812,0.342036312943801,0.732323564726636,0.863151317038137,590.66898893859,0.133549623733848,0.237680945494197,0.561886117779301,0.574193612590114,0.738499127805971
"Ptpra",1179.88207573571,-0.131377050634419,0.166107957816654,-0.790913646529986,0.428994384437946,0.679636293060173,1179.88207573571,-0.176154233101282,0.166015178293696,-1.06107305917323,0.288656700201257,0.517501259650197,1179.88207573571,0.110245804128099,0.158173188198489,0.696994259164539,0.48580638653393,0.67073801972942
"Faslg",569.961815357957,0.3406158476388,0.491480300004773,0.69304069285278,0.488284014655677,0.724186296969083,569.961815357957,0.150339977527562,0.491471711043764,0.305897519937164,0.759682674312636,0.878224350186167,569.961815357957,0.960073606530726,0.468203968895074,2.05054563889415,0.0403112149360444,0.144594575314072
"Grk3",144.988171323973,-0.123762628339818,0.322765563877951,-0.383444339144608,0.701390333007602,0.860484658858465,144.988171323973,0.284792891363884,0.321488111728854,0.885858235417678,0.375693924039041,0.599923333372782,144.988171323973,-0.283411440048143,0.307676657620001,-0.921134031552607,0.356980454568095,0.557277180208111
"Adk",457.323179784007,-0.345087869262964,0.258695574484432,-1.33395350867794,0.182219093540611,0.43943325142128,457.323179784007,-0.0623899316585567,0.258270982410489,-0.241567717272225,0.809115139186732,0.905115809569453,457.323179784007,-0.236397069627266,0.246441321423357,-0.959242826089068,0.337436430490605,0.539415018412741
"Tshr",4.40138588288123,0.501699809687735,1.24299520816415,0.403621676409135,0.686490943285098,NA,4.40138588288123,-0.18116340794102,1.25263088123832,-0.144626330593036,0.885005906993662,NA,4.40138588288123,1.1406040543467,1.17684598751349,0.969204183426449,0.332443324224037,NA
"Plaat5",3.21440152724899,0.787784162741246,1.26100143158696,0.624728999514159,0.532148936722744,NA,3.21440152724899,-0.0213272014850398,1.27394695014352,-0.0167410436381492,0.986643203653924,NA,3.21440152724899,0.342540898072965,1.21118177143105,0.282815433779392,0.777318322692303,NA
"Rbx1",2270.53639657369,-0.330588397324517,0.223343446528147,-1.48017952827129,0.138825342212458,0.381033394669439,2270.53639657369,-0.474717833245931,0.223328057410904,-2.12565245383607,0.0335322085905409,0.156231728346501,2270.53639657369,-0.497159592758259,0.212864415332592,-2.33556929645318,0.019513700362794,0.0919170370833303
"Eif3l",1234.43000314088,-0.0186033198441278,0.157638243451912,-0.118012732423035,0.906057569368487,0.956464110084397,1234.43000314088,0.0681941745014478,0.15748858349776,0.433010272788552,0.665007306803436,0.816423058569009,1234.43000314088,-0.0980995032759054,0.150240110502315,-0.652951485112186,0.513787555757857,0.693376587121803
"Klhdc2",451.654354778017,-0.509094954249706,0.238239929071948,-2.13690020909954,0.0326061090027726,0.186355698291449,451.654354778017,-0.809903534264595,0.238321648358466,-3.39836326176461,0.000677903414271264,0.0172066095871254,451.654354778017,-0.603773070144827,0.227053156025702,-2.65917056918813,0.00783332940988724,0.0525220584991556
