"","cell_type","variable","value","growth","treatment","cell_type2","sdat"
"222","B cell memory_CIBERSORT","14N_D_CD45",0.0328905165652676,"stable","PDL1+LY","B ce","14N_D_CD45.B ce"
"223","B cell plasma_CIBERSORT","14N_D_CD45",0,"stable","PDL1+LY","B ce","14N_D_CD45.B ce"
"224","T cell CD8+_CIBERSORT","14N_D_CD45",0.300630323798937,"stable","PDL1+LY","T CD8","14N_D_CD45.T CD8"
"225","T cell CD4+ naive_CIBERSORT","14N_D_CD45",0,"stable","PDL1+LY","T CD4","14N_D_CD45.T CD4"
"226","T cell CD4+ memory resting_CIBERSORT","14N_D_CD45",0.0202470721865924,"stable","PDL1+LY","T CD4","14N_D_CD45.T CD4"
"227","T cell CD4+ memory activated_CIBERSORT","14N_D_CD45",0.037443640535815,"stable","PDL1+LY","T CD4","14N_D_CD45.T CD4"
"228","T cell follicular helper_CIBERSORT","14N_D_CD45",0.251840778381475,"stable","PDL1+LY","T ce","14N_D_CD45.T ce"
"229","T cell regulatory (Tregs)_CIBERSORT","14N_D_CD45",0.145944214360519,"stable","PDL1+LY","T ce","14N_D_CD45.T ce"
"230","T cell gamma delta_CIBERSORT","14N_D_CD45",0,"stable","PDL1+LY","T ce","14N_D_CD45.T ce"
"231","NK cell resting_CIBERSORT","14N_D_CD45",0,"stable","PDL1+LY","NK c","14N_D_CD45.NK c"
"232","NK cell activated_CIBERSORT","14N_D_CD45",0.0768851355165004,"stable","PDL1+LY","NK c","14N_D_CD45.NK c"
"233","Monocyte_CIBERSORT","14N_D_CD45",0.0238913287262465,"stable","PDL1+LY","Mono","14N_D_CD45.Mono"
"234","Macrophage M0_CIBERSORT","14N_D_CD45",0,"stable","PDL1+LY","Macr","14N_D_CD45.Macr"
"235","Macrophage M1_CIBERSORT","14N_D_CD45",0,"stable","PDL1+LY","Macr","14N_D_CD45.Macr"
"236","Macrophage M2_CIBERSORT","14N_D_CD45",0.0144710165323612,"stable","PDL1+LY","Macr","14N_D_CD45.Macr"
"237","Myeloid dendritic cell resting_CIBERSORT","14N_D_CD45",0.0087930689289051,"stable","PDL1+LY","Myel","14N_D_CD45.Myel"
"238","Myeloid dendritic cell activated_CIBERSORT","14N_D_CD45",0.0122593626404194,"stable","PDL1+LY","Myel","14N_D_CD45.Myel"
"239","Mast cell activated_CIBERSORT","14N_D_CD45",0,"stable","PDL1+LY","Mast","14N_D_CD45.Mast"
"240","Mast cell resting_CIBERSORT","14N_D_CD45",0.0708878149304826,"stable","PDL1+LY","Mast","14N_D_CD45.Mast"
"241","Eosinophil_CIBERSORT","14N_D_CD45",0.00381572689647935,"stable","PDL1+LY","Eosi","14N_D_CD45.Eosi"
"242","Neutrophil_CIBERSORT","14N_D_CD45",0,"stable","PDL1+LY","Neut","14N_D_CD45.Neut"
"243","B cell naive_CIBERSORT","15L_B_CD45",0,"growing","PDL1+LY","B ce","15L_B_CD45.B ce"
"244","B cell memory_CIBERSORT","15L_B_CD45",0.0837154574161082,"growing","PDL1+LY","B ce","15L_B_CD45.B ce"
"245","B cell plasma_CIBERSORT","15L_B_CD45",0,"growing","PDL1+LY","B ce","15L_B_CD45.B ce"
"246","T cell CD8+_CIBERSORT","15L_B_CD45",0.231983360868146,"growing","PDL1+LY","T CD8","15L_B_CD45.T CD8"
"247","T cell CD4+ naive_CIBERSORT","15L_B_CD45",0,"growing","PDL1+LY","T CD4","15L_B_CD45.T CD4"
"248","T cell CD4+ memory resting_CIBERSORT","15L_B_CD45",0,"growing","PDL1+LY","T CD4","15L_B_CD45.T CD4"
"249","T cell CD4+ memory activated_CIBERSORT","15L_B_CD45",0.0391528875086075,"growing","PDL1+LY","T CD4","15L_B_CD45.T CD4"
"250","T cell follicular helper_CIBERSORT","15L_B_CD45",0.115107296129117,"growing","PDL1+LY","T ce","15L_B_CD45.T ce"
"251","T cell regulatory (Tregs)_CIBERSORT","15L_B_CD45",0.10447856539358,"growing","PDL1+LY","T ce","15L_B_CD45.T ce"
"252","T cell gamma delta_CIBERSORT","15L_B_CD45",0,"growing","PDL1+LY","T ce","15L_B_CD45.T ce"
"253","NK cell resting_CIBERSORT","15L_B_CD45",0,"growing","PDL1+LY","NK c","15L_B_CD45.NK c"
"254","NK cell activated_CIBERSORT","15L_B_CD45",0,"growing","PDL1+LY","NK c","15L_B_CD45.NK c"
"255","Monocyte_CIBERSORT","15L_B_CD45",0.0492487566556721,"growing","PDL1+LY","Mono","15L_B_CD45.Mono"
"256","Macrophage M0_CIBERSORT","15L_B_CD45",0,"growing","PDL1+LY","Macr","15L_B_CD45.Macr"
"257","Macrophage M1_CIBERSORT","15L_B_CD45",0,"growing","PDL1+LY","Macr","15L_B_CD45.Macr"
"258","Macrophage M2_CIBERSORT","15L_B_CD45",0.132365941989147,"growing","PDL1+LY","Macr","15L_B_CD45.Macr"
"259","Myeloid dendritic cell resting_CIBERSORT","15L_B_CD45",0,"growing","PDL1+LY","Myel","15L_B_CD45.Myel"
"260","Myeloid dendritic cell activated_CIBERSORT","15L_B_CD45",0.146156289382378,"growing","PDL1+LY","Myel","15L_B_CD45.Myel"
"261","Mast cell activated_CIBERSORT","15L_B_CD45",0,"growing","PDL1+LY","Mast","15L_B_CD45.Mast"
"262","Mast cell resting_CIBERSORT","15L_B_CD45",0.0977914446572447,"growing","PDL1+LY","Mast","15L_B_CD45.Mast"
"263","Eosinophil_CIBERSORT","15L_B_CD45",0,"growing","PDL1+LY","Eosi","15L_B_CD45.Eosi"
"264","Neutrophil_CIBERSORT","15L_B_CD45",0,"growing","PDL1+LY","Neut","15L_B_CD45.Neut"
"265","B cell naive_CIBERSORT","15N_C_CD45",0,"growing","PDL1+LY","B ce","15N_C_CD45.B ce"
"266","B cell memory_CIBERSORT","15N_C_CD45",0.0624579044336332,"growing","PDL1+LY","B ce","15N_C_CD45.B ce"
"267","B cell plasma_CIBERSORT","15N_C_CD45",0,"growing","PDL1+LY","B ce","15N_C_CD45.B ce"
"268","T cell CD8+_CIBERSORT","15N_C_CD45",0.169566713030166,"growing","PDL1+LY","T CD8","15N_C_CD45.T CD8"
"269","T cell CD4+ naive_CIBERSORT","15N_C_CD45",0,"growing","PDL1+LY","T CD4","15N_C_CD45.T CD4"
"270","T cell CD4+ memory resting_CIBERSORT","15N_C_CD45",0.103088277044293,"growing","PDL1+LY","T CD4","15N_C_CD45.T CD4"
"271","T cell CD4+ memory activated_CIBERSORT","15N_C_CD45",0.0457285802521683,"growing","PDL1+LY","T CD4","15N_C_CD45.T CD4"
"272","T cell follicular helper_CIBERSORT","15N_C_CD45",0.221475363238013,"growing","PDL1+LY","T ce","15N_C_CD45.T ce"
"273","T cell regulatory (Tregs)_CIBERSORT","15N_C_CD45",0.224814018953048,"growing","PDL1+LY","T ce","15N_C_CD45.T ce"
"274","T cell gamma delta_CIBERSORT","15N_C_CD45",0,"growing","PDL1+LY","T ce","15N_C_CD45.T ce"
"275","NK cell resting_CIBERSORT","15N_C_CD45",0,"growing","PDL1+LY","NK c","15N_C_CD45.NK c"
"276","NK cell activated_CIBERSORT","15N_C_CD45",0.0398947797382092,"growing","PDL1+LY","NK c","15N_C_CD45.NK c"
"277","Monocyte_CIBERSORT","15N_C_CD45",0.0176664653803469,"growing","PDL1+LY","Mono","15N_C_CD45.Mono"
"278","Macrophage M0_CIBERSORT","15N_C_CD45",0,"growing","PDL1+LY","Macr","15N_C_CD45.Macr"
"279","Macrophage M1_CIBERSORT","15N_C_CD45",0,"growing","PDL1+LY","Macr","15N_C_CD45.Macr"
"280","Macrophage M2_CIBERSORT","15N_C_CD45",0.0344009781399856,"growing","PDL1+LY","Macr","15N_C_CD45.Macr"
"281","Myeloid dendritic cell resting_CIBERSORT","15N_C_CD45",0.0489683951737221,"growing","PDL1+LY","Myel","15N_C_CD45.Myel"
"282","Myeloid dendritic cell activated_CIBERSORT","15N_C_CD45",0.0108328060138378,"growing","PDL1+LY","Myel","15N_C_CD45.Myel"
"283","Mast cell activated_CIBERSORT","15N_C_CD45",0,"growing","PDL1+LY","Mast","15N_C_CD45.Mast"
"284","Mast cell resting_CIBERSORT","15N_C_CD45",0.0171277783343083,"growing","PDL1+LY","Mast","15N_C_CD45.Mast"
"285","Eosinophil_CIBERSORT","15N_C_CD45",0.00397794026826883,"growing","PDL1+LY","Eosi","15N_C_CD45.Eosi"
"286","Neutrophil_CIBERSORT","15N_C_CD45",0,"growing","PDL1+LY","Neut","15N_C_CD45.Neut"
"287","B cell naive_CIBERSORT","15R_D_CD45",0.0799807046451845,"growing","PDL1+LY","B ce","15R_D_CD45.B ce"
"288","B cell memory_CIBERSORT","15R_D_CD45",0,"growing","PDL1+LY","B ce","15R_D_CD45.B ce"
"289","B cell plasma_CIBERSORT","15R_D_CD45",0,"growing","PDL1+LY","B ce","15R_D_CD45.B ce"
"290","T cell CD8+_CIBERSORT","15R_D_CD45",0.185817230320489,"growing","PDL1+LY","T CD8","15R_D_CD45.T CD8"
"291","T cell CD4+ naive_CIBERSORT","15R_D_CD45",0,"growing","PDL1+LY","T CD4","15R_D_CD45.T CD4"
"292","T cell CD4+ memory resting_CIBERSORT","15R_D_CD45",0.00748241926440045,"growing","PDL1+LY","T CD4","15R_D_CD45.T CD4"
"293","T cell CD4+ memory activated_CIBERSORT","15R_D_CD45",0.0283740682512428,"growing","PDL1+LY","T CD4","15R_D_CD45.T CD4"
"294","T cell follicular helper_CIBERSORT","15R_D_CD45",0.251735634538391,"growing","PDL1+LY","T ce","15R_D_CD45.T ce"
"295","T cell regulatory (Tregs)_CIBERSORT","15R_D_CD45",0.138178178932178,"growing","PDL1+LY","T ce","15R_D_CD45.T ce"
"296","T cell gamma delta_CIBERSORT","15R_D_CD45",0,"growing","PDL1+LY","T ce","15R_D_CD45.T ce"
"297","NK cell resting_CIBERSORT","15R_D_CD45",0,"growing","PDL1+LY","NK c","15R_D_CD45.NK c"
"298","NK cell activated_CIBERSORT","15R_D_CD45",0.0867876889278722,"growing","PDL1+LY","NK c","15R_D_CD45.NK c"
"299","Monocyte_CIBERSORT","15R_D_CD45",0.0232110429937284,"growing","PDL1+LY","Mono","15R_D_CD45.Mono"
"300","Macrophage M0_CIBERSORT","15R_D_CD45",0,"growing","PDL1+LY","Macr","15R_D_CD45.Macr"
"301","Macrophage M1_CIBERSORT","15R_D_CD45",0,"growing","PDL1+LY","Macr","15R_D_CD45.Macr"
"302","Macrophage M2_CIBERSORT","15R_D_CD45",0.0546881461644601,"growing","PDL1+LY","Macr","15R_D_CD45.Macr"
"303","Myeloid dendritic cell resting_CIBERSORT","15R_D_CD45",0.00223282799723436,"growing","PDL1+LY","Myel","15R_D_CD45.Myel"
"304","Myeloid dendritic cell activated_CIBERSORT","15R_D_CD45",0.0324987217279484,"growing","PDL1+LY","Myel","15R_D_CD45.Myel"
"305","Mast cell activated_CIBERSORT","15R_D_CD45",0,"growing","PDL1+LY","Mast","15R_D_CD45.Mast"
"306","Mast cell resting_CIBERSORT","15R_D_CD45",0.0907207618474475,"growing","PDL1+LY","Mast","15R_D_CD45.Mast"
"307","Eosinophil_CIBERSORT","15R_D_CD45",0.0182925743894235,"growing","PDL1+LY","Eosi","15R_D_CD45.Eosi"
"308","Neutrophil_CIBERSORT","15R_D_CD45",0,"growing","PDL1+LY","Neut","15R_D_CD45.Neut"
"309","B cell naive_CIBERSORT","16L_D_CD45",0,"stable","PDL1+LY","B ce","16L_D_CD45.B ce"
"310","B cell memory_CIBERSORT","16L_D_CD45",0.0878091820009164,"stable","PDL1+LY","B ce","16L_D_CD45.B ce"
"311","B cell plasma_CIBERSORT","16L_D_CD45",0,"stable","PDL1+LY","B ce","16L_D_CD45.B ce"
"312","T cell CD8+_CIBERSORT","16L_D_CD45",0.208916663653518,"stable","PDL1+LY","T CD8","16L_D_CD45.T CD8"
"313","T cell CD4+ naive_CIBERSORT","16L_D_CD45",0,"stable","PDL1+LY","T CD4","16L_D_CD45.T CD4"
"314","T cell CD4+ memory resting_CIBERSORT","16L_D_CD45",0,"stable","PDL1+LY","T CD4","16L_D_CD45.T CD4"
"315","T cell CD4+ memory activated_CIBERSORT","16L_D_CD45",0,"stable","PDL1+LY","T CD4","16L_D_CD45.T CD4"
"316","T cell follicular helper_CIBERSORT","16L_D_CD45",0.192880999644789,"stable","PDL1+LY","T ce","16L_D_CD45.T ce"
"317","T cell regulatory (Tregs)_CIBERSORT","16L_D_CD45",0.178744698596489,"stable","PDL1+LY","T ce","16L_D_CD45.T ce"
"318","T cell gamma delta_CIBERSORT","16L_D_CD45",0,"stable","PDL1+LY","T ce","16L_D_CD45.T ce"
"319","NK cell resting_CIBERSORT","16L_D_CD45",0,"stable","PDL1+LY","NK c","16L_D_CD45.NK c"
"320","NK cell activated_CIBERSORT","16L_D_CD45",0.138269456227893,"stable","PDL1+LY","NK c","16L_D_CD45.NK c"
"321","Monocyte_CIBERSORT","16L_D_CD45",0.0232518103703683,"stable","PDL1+LY","Mono","16L_D_CD45.Mono"
"322","Macrophage M0_CIBERSORT","16L_D_CD45",0,"stable","PDL1+LY","Macr","16L_D_CD45.Macr"
"323","Macrophage M1_CIBERSORT","16L_D_CD45",0,"stable","PDL1+LY","Macr","16L_D_CD45.Macr"
"324","Macrophage M2_CIBERSORT","16L_D_CD45",0.100253538471779,"stable","PDL1+LY","Macr","16L_D_CD45.Macr"
"325","Myeloid dendritic cell resting_CIBERSORT","16L_D_CD45",0,"stable","PDL1+LY","Myel","16L_D_CD45.Myel"
"326","Myeloid dendritic cell activated_CIBERSORT","16L_D_CD45",0.0252453694615269,"stable","PDL1+LY","Myel","16L_D_CD45.Myel"
"327","Mast cell activated_CIBERSORT","16L_D_CD45",0,"stable","PDL1+LY","Mast","16L_D_CD45.Mast"
"328","Mast cell resting_CIBERSORT","16L_D_CD45",0.0431843317845449,"stable","PDL1+LY","Mast","16L_D_CD45.Mast"
"329","Eosinophil_CIBERSORT","16L_D_CD45",0.00144394978817593,"stable","PDL1+LY","Eosi","16L_D_CD45.Eosi"
"330","Neutrophil_CIBERSORT","16L_D_CD45",0,"stable","PDL1+LY","Neut","16L_D_CD45.Neut"
"331","B cell naive_CIBERSORT","17N_A_CD45",0,"growing","Vehicle","B ce","17N_A_CD45.B ce"
"332","B cell memory_CIBERSORT","17N_A_CD45",0.132241922508617,"growing","Vehicle","B ce","17N_A_CD45.B ce"
"333","B cell plasma_CIBERSORT","17N_A_CD45",0,"growing","Vehicle","B ce","17N_A_CD45.B ce"
"334","T cell CD8+_CIBERSORT","17N_A_CD45",0.243344419604219,"growing","Vehicle","T CD8","17N_A_CD45.T CD8"
"335","T cell CD4+ naive_CIBERSORT","17N_A_CD45",0,"growing","Vehicle","T CD4","17N_A_CD45.T CD4"
"336","T cell CD4+ memory resting_CIBERSORT","17N_A_CD45",0.012624331738775,"growing","Vehicle","T CD4","17N_A_CD45.T CD4"
"337","T cell CD4+ memory activated_CIBERSORT","17N_A_CD45",0.014605089872764,"growing","Vehicle","T CD4","17N_A_CD45.T CD4"
"338","T cell follicular helper_CIBERSORT","17N_A_CD45",0.187825062504915,"growing","Vehicle","T ce","17N_A_CD45.T ce"
"339","T cell regulatory (Tregs)_CIBERSORT","17N_A_CD45",0.190586939133447,"growing","Vehicle","T ce","17N_A_CD45.T ce"
"340","T cell gamma delta_CIBERSORT","17N_A_CD45",0,"growing","Vehicle","T ce","17N_A_CD45.T ce"
"341","NK cell resting_CIBERSORT","17N_A_CD45",0,"growing","Vehicle","NK c","17N_A_CD45.NK c"
"342","NK cell activated_CIBERSORT","17N_A_CD45",0.073063316299376,"growing","Vehicle","NK c","17N_A_CD45.NK c"
"343","Monocyte_CIBERSORT","17N_A_CD45",0.0288558546321166,"growing","Vehicle","Mono","17N_A_CD45.Mono"
"344","Macrophage M0_CIBERSORT","17N_A_CD45",0,"growing","Vehicle","Macr","17N_A_CD45.Macr"
"345","Macrophage M1_CIBERSORT","17N_A_CD45",0,"growing","Vehicle","Macr","17N_A_CD45.Macr"
"346","Macrophage M2_CIBERSORT","17N_A_CD45",0.0676807339314614,"growing","Vehicle","Macr","17N_A_CD45.Macr"
"347","Myeloid dendritic cell resting_CIBERSORT","17N_A_CD45",0.0220715359689653,"growing","Vehicle","Myel","17N_A_CD45.Myel"
"348","Myeloid dendritic cell activated_CIBERSORT","17N_A_CD45",0.00793881145521923,"growing","Vehicle","Myel","17N_A_CD45.Myel"
"349","Mast cell activated_CIBERSORT","17N_A_CD45",0,"growing","Vehicle","Mast","17N_A_CD45.Mast"
"350","Mast cell resting_CIBERSORT","17N_A_CD45",0.0191619823501249,"growing","Vehicle","Mast","17N_A_CD45.Mast"
"351","Eosinophil_CIBERSORT","17N_A_CD45",0,"growing","Vehicle","Eosi","17N_A_CD45.Eosi"
"352","Neutrophil_CIBERSORT","17N_A_CD45",0,"growing","Vehicle","Neut","17N_A_CD45.Neut"
"353","B cell naive_CIBERSORT","2N__CD45",0,"growing","Vehicle","B ce","2N__CD45.B ce"
"354","B cell memory_CIBERSORT","2N__CD45",0.071648602013287,"growing","Vehicle","B ce","2N__CD45.B ce"
"355","B cell plasma_CIBERSORT","2N__CD45",0,"growing","Vehicle","B ce","2N__CD45.B ce"
"356","T cell CD8+_CIBERSORT","2N__CD45",0.146074683518363,"growing","Vehicle","T CD8","2N__CD45.T CD8"
"357","T cell CD4+ naive_CIBERSORT","2N__CD45",0,"growing","Vehicle","T CD4","2N__CD45.T CD4"
"358","T cell CD4+ memory resting_CIBERSORT","2N__CD45",0.0611756832580324,"growing","Vehicle","T CD4","2N__CD45.T CD4"
"359","T cell CD4+ memory activated_CIBERSORT","2N__CD45",0,"growing","Vehicle","T CD4","2N__CD45.T CD4"
"360","T cell follicular helper_CIBERSORT","2N__CD45",0.278780451761259,"growing","Vehicle","T ce","2N__CD45.T ce"
"361","T cell regulatory (Tregs)_CIBERSORT","2N__CD45",0.144667731413428,"growing","Vehicle","T ce","2N__CD45.T ce"
"362","T cell gamma delta_CIBERSORT","2N__CD45",0,"growing","Vehicle","T ce","2N__CD45.T ce"
"363","NK cell resting_CIBERSORT","2N__CD45",0,"growing","Vehicle","NK c","2N__CD45.NK c"
"364","NK cell activated_CIBERSORT","2N__CD45",0.0885529088053139,"growing","Vehicle","NK c","2N__CD45.NK c"
"365","Monocyte_CIBERSORT","2N__CD45",0.0982605735707555,"growing","Vehicle","Mono","2N__CD45.Mono"
"366","Macrophage M0_CIBERSORT","2N__CD45",0,"growing","Vehicle","Macr","2N__CD45.Macr"
"367","Macrophage M1_CIBERSORT","2N__CD45",0,"growing","Vehicle","Macr","2N__CD45.Macr"
"368","Macrophage M2_CIBERSORT","2N__CD45",0.016488852703842,"growing","Vehicle","Macr","2N__CD45.Macr"
"369","Myeloid dendritic cell resting_CIBERSORT","2N__CD45",0.0353817433894204,"growing","Vehicle","Myel","2N__CD45.Myel"
"370","Myeloid dendritic cell activated_CIBERSORT","2N__CD45",0,"growing","Vehicle","Myel","2N__CD45.Myel"
"371","Mast cell activated_CIBERSORT","2N__CD45",0,"growing","Vehicle","Mast","2N__CD45.Mast"
"372","Mast cell resting_CIBERSORT","2N__CD45",0.0493985808710057,"growing","Vehicle","Mast","2N__CD45.Mast"
"373","Eosinophil_CIBERSORT","2N__CD45",0.00957018869529332,"growing","Vehicle","Eosi","2N__CD45.Eosi"
"374","Neutrophil_CIBERSORT","2N__CD45",0,"growing","Vehicle","Neut","2N__CD45.Neut"
"375","B cell naive_CIBERSORT","2R_A_CD45",0,"growing","Vehicle","B ce","2R_A_CD45.B ce"
"376","B cell memory_CIBERSORT","2R_A_CD45",0.0778656534342423,"growing","Vehicle","B ce","2R_A_CD45.B ce"
"377","B cell plasma_CIBERSORT","2R_A_CD45",0,"growing","Vehicle","B ce","2R_A_CD45.B ce"
"378","T cell CD8+_CIBERSORT","2R_A_CD45",0.264643695656804,"growing","Vehicle","T CD8","2R_A_CD45.T CD8"
"379","T cell CD4+ naive_CIBERSORT","2R_A_CD45",0,"growing","Vehicle","T CD4","2R_A_CD45.T CD4"
"380","T cell CD4+ memory resting_CIBERSORT","2R_A_CD45",0,"growing","Vehicle","T CD4","2R_A_CD45.T CD4"
"381","T cell CD4+ memory activated_CIBERSORT","2R_A_CD45",0.0024415872781992,"growing","Vehicle","T CD4","2R_A_CD45.T CD4"
"382","T cell follicular helper_CIBERSORT","2R_A_CD45",0.180449252011329,"growing","Vehicle","T ce","2R_A_CD45.T ce"
"383","T cell regulatory (Tregs)_CIBERSORT","2R_A_CD45",0.161798148387087,"growing","Vehicle","T ce","2R_A_CD45.T ce"
"384","T cell gamma delta_CIBERSORT","2R_A_CD45",0,"growing","Vehicle","T ce","2R_A_CD45.T ce"
"385","NK cell resting_CIBERSORT","2R_A_CD45",0,"growing","Vehicle","NK c","2R_A_CD45.NK c"
"386","NK cell activated_CIBERSORT","2R_A_CD45",0.0532634428361783,"growing","Vehicle","NK c","2R_A_CD45.NK c"
"387","Monocyte_CIBERSORT","2R_A_CD45",0.023158134046598,"growing","Vehicle","Mono","2R_A_CD45.Mono"
"388","Macrophage M0_CIBERSORT","2R_A_CD45",0,"growing","Vehicle","Macr","2R_A_CD45.Macr"
"389","Macrophage M1_CIBERSORT","2R_A_CD45",0,"growing","Vehicle","Macr","2R_A_CD45.Macr"
"390","Macrophage M2_CIBERSORT","2R_A_CD45",0.0945723550153399,"growing","Vehicle","Macr","2R_A_CD45.Macr"
"391","Myeloid dendritic cell resting_CIBERSORT","2R_A_CD45",0.0194743477012339,"growing","Vehicle","Myel","2R_A_CD45.Myel"
"392","Myeloid dendritic cell activated_CIBERSORT","2R_A_CD45",0.0170073709135046,"growing","Vehicle","Myel","2R_A_CD45.Myel"
"393","Mast cell activated_CIBERSORT","2R_A_CD45",0,"growing","Vehicle","Mast","2R_A_CD45.Mast"
"394","Mast cell resting_CIBERSORT","2R_A_CD45",0.102184476312449,"growing","Vehicle","Mast","2R_A_CD45.Mast"
"395","Eosinophil_CIBERSORT","2R_A_CD45",0.00314153640703517,"growing","Vehicle","Eosi","2R_A_CD45.Eosi"
"396","Neutrophil_CIBERSORT","2R_A_CD45",0,"growing","Vehicle","Neut","2R_A_CD45.Neut"
"397","B cell naive_CIBERSORT","2R_C_CD45",0,"growing","Vehicle","B ce","2R_C_CD45.B ce"
"398","B cell memory_CIBERSORT","2R_C_CD45",0.108144938916133,"growing","Vehicle","B ce","2R_C_CD45.B ce"
"399","B cell plasma_CIBERSORT","2R_C_CD45",0,"growing","Vehicle","B ce","2R_C_CD45.B ce"
"400","T cell CD8+_CIBERSORT","2R_C_CD45",0.264804789302283,"growing","Vehicle","T CD8","2R_C_CD45.T CD8"
"401","T cell CD4+ naive_CIBERSORT","2R_C_CD45",0,"growing","Vehicle","T CD4","2R_C_CD45.T CD4"
"402","T cell CD4+ memory resting_CIBERSORT","2R_C_CD45",0,"growing","Vehicle","T CD4","2R_C_CD45.T CD4"
"403","T cell CD4+ memory activated_CIBERSORT","2R_C_CD45",0.0157370915960806,"growing","Vehicle","T CD4","2R_C_CD45.T CD4"
"404","T cell follicular helper_CIBERSORT","2R_C_CD45",0.14171472443989,"growing","Vehicle","T ce","2R_C_CD45.T ce"
"405","T cell regulatory (Tregs)_CIBERSORT","2R_C_CD45",0.167760122914034,"growing","Vehicle","T ce","2R_C_CD45.T ce"
"406","T cell gamma delta_CIBERSORT","2R_C_CD45",0,"growing","Vehicle","T ce","2R_C_CD45.T ce"
"407","NK cell resting_CIBERSORT","2R_C_CD45",0,"growing","Vehicle","NK c","2R_C_CD45.NK c"
"408","NK cell activated_CIBERSORT","2R_C_CD45",0.0391247345735224,"growing","Vehicle","NK c","2R_C_CD45.NK c"
"409","Monocyte_CIBERSORT","2R_C_CD45",0.0486086792256809,"growing","Vehicle","Mono","2R_C_CD45.Mono"
"410","Macrophage M0_CIBERSORT","2R_C_CD45",0,"growing","Vehicle","Macr","2R_C_CD45.Macr"
"411","Macrophage M1_CIBERSORT","2R_C_CD45",0,"growing","Vehicle","Macr","2R_C_CD45.Macr"
"412","Macrophage M2_CIBERSORT","2R_C_CD45",0.125996749072678,"growing","Vehicle","Macr","2R_C_CD45.Macr"
"413","Myeloid dendritic cell resting_CIBERSORT","2R_C_CD45",0.0326524959768858,"growing","Vehicle","Myel","2R_C_CD45.Myel"
"414","Myeloid dendritic cell activated_CIBERSORT","2R_C_CD45",0.0324296081877718,"growing","Vehicle","Myel","2R_C_CD45.Myel"
"415","Mast cell activated_CIBERSORT","2R_C_CD45",0,"growing","Vehicle","Mast","2R_C_CD45.Mast"
"416","Mast cell resting_CIBERSORT","2R_C_CD45",0.0230260657950422,"growing","Vehicle","Mast","2R_C_CD45.Mast"
"417","Eosinophil_CIBERSORT","2R_C_CD45",0,"growing","Vehicle","Eosi","2R_C_CD45.Eosi"
"418","Neutrophil_CIBERSORT","2R_C_CD45",0,"growing","Vehicle","Neut","2R_C_CD45.Neut"
"419","B cell naive_CIBERSORT","2R_D_CD45",0,"growing","Vehicle","B ce","2R_D_CD45.B ce"
"420","B cell memory_CIBERSORT","2R_D_CD45",0.0727196096677669,"growing","Vehicle","B ce","2R_D_CD45.B ce"
"421","B cell plasma_CIBERSORT","2R_D_CD45",0,"growing","Vehicle","B ce","2R_D_CD45.B ce"
"422","T cell CD8+_CIBERSORT","2R_D_CD45",0.0668834904751633,"growing","Vehicle","T CD8","2R_D_CD45.T CD8"
"423","T cell CD4+ naive_CIBERSORT","2R_D_CD45",0,"growing","Vehicle","T CD4","2R_D_CD45.T CD4"
"424","T cell CD4+ memory resting_CIBERSORT","2R_D_CD45",0,"growing","Vehicle","T CD4","2R_D_CD45.T CD4"
"425","T cell CD4+ memory activated_CIBERSORT","2R_D_CD45",0,"growing","Vehicle","T CD4","2R_D_CD45.T CD4"
"426","T cell follicular helper_CIBERSORT","2R_D_CD45",0.0775295526152913,"growing","Vehicle","T ce","2R_D_CD45.T ce"
"427","T cell regulatory (Tregs)_CIBERSORT","2R_D_CD45",0,"growing","Vehicle","T ce","2R_D_CD45.T ce"
"428","T cell gamma delta_CIBERSORT","2R_D_CD45",0,"growing","Vehicle","T ce","2R_D_CD45.T ce"
"429","NK cell resting_CIBERSORT","2R_D_CD45",0,"growing","Vehicle","NK c","2R_D_CD45.NK c"
"430","NK cell activated_CIBERSORT","2R_D_CD45",0.019448660362757,"growing","Vehicle","NK c","2R_D_CD45.NK c"
"431","Monocyte_CIBERSORT","2R_D_CD45",0.355385221361635,"growing","Vehicle","Mono","2R_D_CD45.Mono"
"432","Macrophage M0_CIBERSORT","2R_D_CD45",0,"growing","Vehicle","Macr","2R_D_CD45.Macr"
"433","Macrophage M1_CIBERSORT","2R_D_CD45",0,"growing","Vehicle","Macr","2R_D_CD45.Macr"
"434","Macrophage M2_CIBERSORT","2R_D_CD45",0.182427596894855,"growing","Vehicle","Macr","2R_D_CD45.Macr"
"435","Myeloid dendritic cell resting_CIBERSORT","2R_D_CD45",0.101457840103974,"growing","Vehicle","Myel","2R_D_CD45.Myel"
"436","Myeloid dendritic cell activated_CIBERSORT","2R_D_CD45",0.0896644960204304,"growing","Vehicle","Myel","2R_D_CD45.Myel"
"437","Mast cell activated_CIBERSORT","2R_D_CD45",0,"growing","Vehicle","Mast","2R_D_CD45.Mast"
"438","Mast cell resting_CIBERSORT","2R_D_CD45",0.0344835324981274,"growing","Vehicle","Mast","2R_D_CD45.Mast"
"439","Eosinophil_CIBERSORT","2R_D_CD45",0,"growing","Vehicle","Eosi","2R_D_CD45.Eosi"
"440","Neutrophil_CIBERSORT","2R_D_CD45",0,"growing","Vehicle","Neut","2R_D_CD45.Neut"
"441","B cell naive_CIBERSORT","3L_D_CD45",0,"growing","Vehicle","B ce","3L_D_CD45.B ce"
