"","Var1","Var2","MH.lower","MH.upper","gridsize","variable","value","L1","SpatialManual","Treatment","Growth","CD8frac"
"4282","EpCAM: SMA","CD8",0.34518331047095,0.356472853039066,150,"MH.mean",0.352985543106539,"7RA","restricted","LY","stable",0.0531246414587471
"4283","SMA","CD8",0.388390563121017,0.399148287293908,150,"MH.mean",0.394913914468071,"7RA","restricted","LY","stable",0.0531246414587471
"4284","Unclass","CD8",0.359174345270198,0.369012330572441,150,"MH.mean",0.365475546581789,"7RA","restricted","LY","stable",0.0531246414587471
"4381","EpCAM","CD8",0.53510229011586,0.552372563514532,150,"MH.mean",0.544620211581735,"7RB",NA,"LY","growing",0.0287668011746126
"4382","EpCAM: SMA","CD8",0.568901855013476,0.591869790715496,150,"MH.mean",0.581695011997871,"7RB",NA,"LY","growing",0.0287668011746126
"4383","SMA","CD8",0.553857506118659,0.569099601615379,150,"MH.mean",0.56140157310422,"7RB",NA,"LY","growing",0.0287668011746126
"4384","Unclass","CD8",0.514729437264179,0.535359529930628,150,"MH.mean",0.525003059771129,"7RB",NA,"LY","growing",0.0287668011746126
"4473","EpCAM","CD8",0.313515517442517,0.324395932969217,150,"MH.mean",0.31925173007073,"7RD","Infiltrating","LY","stable",0.0472687015058753
"4474","SMA","CD8",0.418969234841685,0.431189072388904,150,"MH.mean",0.42403633156616,"7RD","Infiltrating","LY","stable",0.0472687015058753
"4475","Unclass","CD8",0.379085261429842,0.390594401656989,150,"MH.mean",0.385193710269446,"7RD","Infiltrating","LY","stable",0.0472687015058753
"4541","EpCAM","CD8",0.635027546749694,0.656101450608483,150,"MH.mean",0.6488849150546,"8LD","Infiltrating","LY","stable",0.0224452418752018
"4542","EpCAM: SMA","CD8",0.173614898214924,0.130070782853203,150,"MH.mean",0.148878075217885,"8LD","Infiltrating","LY","stable",0.0224452418752018
"4543","SMA","CD8",0.166834379056172,0.156291926877942,150,"MH.mean",0.165716662997078,"8LD","Infiltrating","LY","stable",0.0224452418752018
"4544","Unclass","CD8",0.580193008824621,0.588657555289809,150,"MH.mean",0.595021956870128,"8LD","Infiltrating","LY","stable",0.0224452418752018
"4633","EpCAM","CD8",0.557897772067752,0.587679706783469,150,"MH.mean",0.576517533901973,"8RCL","restricted","LY","growing",0.0202714813177359
"4634","SMA","CD8",0.530965697438847,0.551831869798721,150,"MH.mean",0.538200502470849,"8RCL","restricted","LY","growing",0.0202714813177359
"4635","Unclass","CD8",0.405283359995888,0.443612620982535,150,"MH.mean",0.429569223281658,"8RCL","restricted","LY","growing",0.0202714813177359
"4693","EpCAM","CD8",0.362557413666211,0.370688925847109,150,"MH.mean",0.367612658782466,"8RCU","restricted","LY","growing",0.0562336342953625
"4694","SMA","CD8",0.361869613134015,0.373340210210504,150,"MH.mean",0.36792674343319,"8RCU","restricted","LY","growing",0.0562336342953625
"4695","Unclass","CD8",0.45308008314241,0.459388455736934,150,"MH.mean",0.456406117711531,"8RCU","restricted","LY","growing",0.0562336342953625
