"","Var1","Var2","MH.lower","MH.upper","gridsize","variable","value","L1","SpatialManual","Treatment","Growth","CD8frac"
"543","SMA","CD8",0.524623438286274,0.530220509912207,150,"MH.mean",0.52823563536701,"10RBU","restricted","PDL1",NA,0.155480427254777
"544","Unclass","CD8",0.501106256985053,0.509663313080613,150,"MH.mean",0.50517263214561,"10RBU","restricted","PDL1",NA,0.155480427254777
"641","EpCAM","CD8",0.525313583958451,0.585187831838748,150,"MH.mean",0.565387864632493,"10RC","Infiltrating","PDL1",NA,0.00813878305467377
"642","EpCAM: SMA","CD8",0.338934749125873,0.392255529113456,150,"MH.mean",0.355684884722381,"10RC","Infiltrating","PDL1",NA,0.00813878305467377
"643","SMA","CD8",0.521968574180238,0.558226864218085,150,"MH.mean",0.538584895238271,"10RC","Infiltrating","PDL1",NA,0.00813878305467377
"644","Unclass","CD8",0.581031058746882,0.636247467482766,150,"MH.mean",0.609673735494596,"10RC","Infiltrating","PDL1",NA,0.00813878305467377
"741","EpCAM","CD8",0.237005485985485,0.236384830489421,150,"MH.mean",0.237714655738112,"11LB",NA,"PDL1","growing",0.380067171051444
"742","EpCAM: SMA","CD8",0.000276652727184301,0.000144589033824337,150,"MH.mean",0.000262380251542153,"11LB",NA,"PDL1","growing",0.380067171051444
"743","SMA","CD8",0.000223149133229001,0.00013572660398537,150,"MH.mean",0.000219777945644102,"11LB",NA,"PDL1","growing",0.380067171051444
"744","Unclass","CD8",0.563442828024218,0.563572154510294,150,"MH.mean",0.565557023359154,"11LB",NA,"PDL1","growing",0.380067171051444
"841","EpCAM","CD8",0.674461785176736,0.686311356014196,150,"MH.mean",0.677785426855763,"11ND","Infiltrating","PDL1","stable",0.0453951787168959
"842","EpCAM: SMA","CD8",0.382675232654497,0.398870799988446,150,"MH.mean",0.394741505650151,"11ND","Infiltrating","PDL1","stable",0.0453951787168959
"843","SMA","CD8",0.414576142675932,0.476638080377151,150,"MH.mean",0.443402759838575,"11ND","Infiltrating","PDL1","stable",0.0453951787168959
"844","Unclass","CD8",0.675280148116157,0.684074370247521,150,"MH.mean",0.686870422182526,"11ND","Infiltrating","PDL1","stable",0.0453951787168959
"941","EpCAM","CD8",0.0257534740058103,0.026173004367829,150,"MH.mean",0.026178252509128,"11RC","restricted","PDL1","growing",0.0417305711342566
"942","EpCAM: SMA","CD8",0.0263603857586442,0.0271739099928953,150,"MH.mean",0.026940263222674,"11RC","restricted","PDL1","growing",0.0417305711342566
"943","SMA","CD8",0.0414539475739311,0.0423377787513908,150,"MH.mean",0.0417948352537976,"11RC","restricted","PDL1","growing",0.0417305711342566
"944","Unclass","CD8",0.191653378682924,0.198310347573126,150,"MH.mean",0.195037078281943,"11RC","restricted","PDL1","growing",0.0417305711342566
"1041","EpCAM","CD8",0.256283387627802,0.273129490742867,150,"MH.mean",0.264607307635754,"11RD","restricted","PDL1","growing",0.0321690077775606
"1042","EpCAM: SMA","CD8",0.245351401831093,0.259949869480245,150,"MH.mean",0.251159804957626,"11RD","restricted","PDL1","growing",0.0321690077775606
"1043","SMA","CD8",0.295484976324146,0.313286833731104,150,"MH.mean",0.303101474653713,"11RD","restricted","PDL1","growing",0.0321690077775606
"1044","Unclass","CD8",0.395564628074784,0.426960679407641,150,"MH.mean",0.411696139562672,"11RD","restricted","PDL1","growing",0.0321690077775606
"1141","EpCAM","CD8",0.434538449645467,0.474560649151226,150,"MH.mean",0.467380163660663,"12LC","Infiltrating","PDL1",NA,0.0103370617114103
"1142","EpCAM: SMA","CD8",0.295722156280626,0.362084414140497,150,"MH.mean",0.306325112800207,"12LC","Infiltrating","PDL1",NA,0.0103370617114103
"1143","SMA","CD8",0.207754493784704,0.263405464955564,150,"MH.mean",0.212427662045823,"12LC","Infiltrating","PDL1",NA,0.0103370617114103
"1144","Unclass","CD8",0.624512924355908,0.66910379145311,150,"MH.mean",0.669612903908439,"12LC","Infiltrating","PDL1",NA,0.0103370617114103
"1241","EpCAM","CD8",0.66045531601504,0.698624913790479,150,"MH.mean",0.677104279711371,"12LD","Infiltrating","PDL1","stable",0.0129612204366809
"1242","EpCAM: SMA","CD8",0.155799106697477,0.16659822240353,150,"MH.mean",0.157568016326313,"12LD","Infiltrating","PDL1","stable",0.0129612204366809
"1243","SMA","CD8",0.0838041493337647,0.104050043607495,150,"MH.mean",0.0985770085283672,"12LD","Infiltrating","PDL1","stable",0.0129612204366809
"1244","Unclass","CD8",0.630436608016474,0.642945718344992,150,"MH.mean",0.638515349593138,"12LD","Infiltrating","PDL1","stable",0.0129612204366809
"1333","EpCAM","CD8",0.215466564883092,0.220498607999355,150,"MH.mean",0.217104193359104,"13NA","restricted","Vehicle","growing",0.106152004735647
"1334","SMA","CD8",0.325964226695729,0.333203777143876,150,"MH.mean",0.32901288067251,"13NA","restricted","Vehicle","growing",0.106152004735647
"1335","Unclass","CD8",0.241258624381745,0.248224427485025,150,"MH.mean",0.244983982677037,"13NA","restricted","Vehicle","growing",0.106152004735647
"1401","EpCAM","CD8",0.366259091599116,0.368966986520394,150,"MH.mean",0.368825752742308,"14NB","restricted","PDL1+LY","growing",0.0742194780431157
"1402","EpCAM: SMA","CD8",0.257430392732439,0.259617583259478,150,"MH.mean",0.256736450415137,"14NB","restricted","PDL1+LY","growing",0.0742194780431157
"1403","SMA","CD8",0.439661126651529,0.446702303899339,150,"MH.mean",0.441218673931989,"14NB","restricted","PDL1+LY","growing",0.0742194780431157
"1404","Unclass","CD8",0.616210871151383,0.621975826164953,150,"MH.mean",0.618619668895367,"14NB","restricted","PDL1+LY","growing",0.0742194780431157
"1501","EpCAM","CD8",0.246587789603683,0.275136535807486,150,"MH.mean",0.264129276925775,"14NC","restricted","PDL1+LY","stable",0.0227194879526846
"1502","EpCAM: SMA","CD8",0.203770824066125,0.227484404634745,150,"MH.mean",0.218493614977678,"14NC","restricted","PDL1+LY","stable",0.0227194879526846
"1503","SMA","CD8",0.31405077065299,0.331473489478765,150,"MH.mean",0.329381638606517,"14NC","restricted","PDL1+LY","stable",0.0227194879526846
"1504","Unclass","CD8",0.545278418318029,0.576023479959611,150,"MH.mean",0.558607400767908,"14NC","restricted","PDL1+LY","stable",0.0227194879526846
"1601","EpCAM","CD8",0.428746286761019,0.485949764278485,150,"MH.mean",0.448890198770968,"14RD","Infiltrating","PDL1+LY","stable",0.0100340714520434
"1602","EpCAM: SMA","CD8",0.41014374001276,0.438871832732918,150,"MH.mean",0.401473709667265,"14RD","Infiltrating","PDL1+LY","stable",0.0100340714520434
"1603","SMA","CD8",0.437192081087737,0.494935421691417,150,"MH.mean",0.466155851702232,"14RD","Infiltrating","PDL1+LY","stable",0.0100340714520434
"1604","Unclass","CD8",0.448707009512455,0.47364382193959,150,"MH.mean",0.472897470552013,"14RD","Infiltrating","PDL1+LY","stable",0.0100340714520434
"1701","EpCAM","CD8",0.274117696818625,0.336718932439351,150,"MH.mean",0.296396958640746,"15LB","restricted","PDL1+LY","growing",0.0206734110298608
