"","starSampleName","FqFile","Rat_ID","Fraction","Batch","Location","Cohort","TRUSTName","Treatment","SampleID","TumorID","Growth","SpatialManual","CD8Frac","TumSize","Time.NMU2Sac","Age.Injection","IFEpAntstrRatio","MHEpAntstrRatio","GrowthRate","MHEpCAM","IFEpCAM","MHSMA","IFSMA","TumorIDnew","knnEpCAM","treatA","MHcut","CD8FracCut","SizeCat","Name2","TrustNclonotypes","TrustShannon","TrustTop10","TrustGini","CD45FACS","UnclassFrac"
"10R_BU_CD45","CD45_10RBU","20191030_CD45_10RBU_CGDA7427_S26_R1_001.fastq.gz","10R","CD45","3","BU","Progression","20191030_CD4510RBU_report.tsv","PDL1","10R_BU_CD45","10R_BU",NA,"restricted",0.067064099,12,98,"32-36",0.122224415,0.662756279,NA,0.303427530168004,0.0816202095465047,0.626822733,0.113365442,"P26T2",87.1290119223447,"imm","res","high","small","10RBU",36,0.792855765629849,0.697674418604651,0.552325581395349,31.7,0.146543347986618
"11L_B_CD45","CD45_11LB","20191030_CD45_11LB_CGDA7427_S27_R1_001.fastq.gz","11L","CD45","3","B","Progression","20191030_CD4511LB_report.tsv","PDL1","11L_B_CD45","11L_B","growing",NA,0.152177739,25,112,"32-36",NA,354.5248148,3.785714286,0.237714655738112,0.208010474138151,0.000923214,0,"P27T1",69.1029642114784,"imm","res","high","big","11LB",37,0.806038336445222,0.660944206008584,0.577643386656262,37.3,0.392308509310462
"11R_C_CD45","CD45_11RC","20191030_CD45_11RC_CGDA7427_S28_R1_001.fastq.gz","11R","CD45","3","C","Progression","20191030_CD4511RC_report.tsv","PDL1","11R_C_CD45","11R_C","growing","restricted",0.050418604,19,112,"32-36",1.00974026,0.735875837,2.678571429,0.026178252509128,0.0386687955293883,0.063259805,0.007683864,"P29T1",153.335126312092,"imm","res","high","small","11RC",834,0.853325257296397,0.171970209884902,0.602502615254193,23.8,0.256900420616233
"15L_B_CD45","CD45_15LB","20191030_CD45_15LB_CGDA7427_S29_R1_001.fastq.gz","15L","CD45","3","B","Progression","20191030_CD4515LB_report.tsv","PDL1+LY","15L_B_CD45","15L_B","growing","restricted",0.01296122,10,79,"32-36",0.3625171,0.865393075,3.5,0.296396958640746,0.222677165354331,0.477286756,0.11511811,"P33T1",32.6957878212506,"imm","res","low","small","15LB",14,0.701406973586573,0.928571428571429,0.583333333333333,45.5,0.463452420074175
"15R_D_CD45","CD45_15RD","20191030_CD45_15RD_CGDA7427_S30_R1_001.fastq.gz","15R","CD45","3","D","Progression","20191030_CD4515RD_report.tsv","PDL1+LY","15R_D_CD45","15R_D","growing","restricted",0.032831235,17,112,"32-36",NA,NA,3.5,0.310208793115696,0.157896926084605,NA,NA,"P35T1",91.0751669576987,"imm","res","low","small","15RD",43,0.792812845751546,0.595794392523364,0.629466739967015,27.4,0.817187884084888
"17N_A_CD45","CD45_17NA","20191030_CD45_17NA_CGDA7427_S32_R1_001.fastq.gz","17N","CD45","3","A","Progression","20191030_CD4517NA_report.tsv","Vehicle","17N_A_CD45","17N_A","growing","restricted",0.047268702,28,169,"32-36",0.42325455,0.854231072,6.8,0.254948603683486,0.0907524861013233,0.442566925,0.032025683,"P39T1",61.8664174149397,"control","res","high","big","17NA",39,0.94695162671541,0.459459459459459,0.287339971550498,20.4,0.254897066099032
"2R_A_CD45","CD45_2RA","20191030_CD45_2RA_CGDA7427_S33_R1_001.fastq.gz","2R","CD45","3","A","Progression","20191030_CD452RA_report.tsv","Vehicle","2R_A_CD45","2R_A","growing","restricted",0.085819175,20,84,"32-36",0.057654723,0.575054755,3.542857143,0.564459690484411,0.437104298567144,0.659399331,0.127874042,"P5T1",44.8085737802091,"control","inf","high","big","2RA",64,0.842647951672267,0.494949494949495,0.5410927456382,70.7,0.442872411537403
"2R_C_CD45","CD45_2RC","20191030_CD45_2RC_CGDA7427_S34_R1_001.fastq.gz","2R","CD45","3","C","Progression","20191030_CD452RC_report.tsv","Vehicle","2R_C_CD45","2R_C","growing",NA,NA,15,84,"32-36",NA,NA,15,NA,NA,NA,NA,"P5T2",NA,"control",NA,NA,"small","2RC",26,0.869468623712918,0.580357142857143,0.476615646258503,73.5,NA
"2R_D_CD45","CD45_2RD","20191030_CD45_2RD_CGDA7427_S35_R1_001.fastq.gz","2R","CD45","3","D","Progression","20191030_CD452RD_report.tsv","Vehicle","2R_D_CD45","2R_D","growing","restricted",0.074219478,20,84,"32-36",1.163757273,1.072029631,20,0.567820154176674,0.197900904671453,0.651878007,0.03873024,"P5T3",38.6122145002545,"control","inf","high","big","2RD",29,0.626861569965207,0.885793871866295,0.735376044568245,NA,0.355551466898605
"3L_A_CD45","CD45_3LA","20191030_CD45_3LA_CGDA7427_S36_R1_001.fastq.gz","3L","CD45","3","A","Progression","20191030_CD453LA_report.tsv","Vehicle","3L_A_CD45","3L_A","growing","restricted",0.053124641,12,84,"32-36",14.38513514,1.106811727,3,0.333298180342511,0.286523959526537,0.401915731,0.003531882,"P6T1",46.0960082025034,"control","res","high","small","3LA",26,0.946640067371459,0.5,0.302287581699346,12.5,0.304326329114405
