"","10R_BL_Ep","11L_B_Ep","11N_D_Ep","11R_D_Ep","11R_C_Ep","14N_C_Ep","14R_B_Ep","16L_C_Ep","17N_D_Ep","3R_C_Ep"
"Coro6",8.15930781898178,9.5707365439267,7.26567114171734,8.73959034275032,8.76623434195588,7.69170831823591,8.09924291653214,8.0241027767496,8.0239838910558,8.40101810198477
"Chst8",10.3215842657703,9.62017963881824,7.48375872352704,9.77641611060155,9.66886881964211,8.82815737198289,9.82536684669901,9.08288681946797,8.10827762906657,10.9813077637849
"Slc4a3",8.58408547052127,9.60515012483447,7.71291062781111,8.61104210581044,8.5641517643766,7.90048100535152,8.15429552344543,7.62917641593844,7.93874414014566,8.79390391660139
"Fhod1",8.59130358556085,9.28244234105539,7.8109289759699,8.14470794669206,8.47833883193325,7.70316149205838,8.29648773574703,7.61350408774418,7.41552805020464,7.97842607365896
"Endou",7.33102119283971,8.01867131039696,9.58909543522402,7.97791552443859,7.89103630799127,8.0434937533723,7.20913972528246,9.67575915016291,8.78243495279852,8.20775882761385
"Rpl8",7.47445293536273,9.30912795731627,7.21683718074927,7.16547207715585,9.45353255799757,7.04382712050324,7.52545857092568,7.17818923858947,7.38755185348092,7.11787790538493
"Spp1",7.80920060507785,7.38322421894635,7.31169930412853,9.0404963746196,7.18121481290388,6.81857649053637,9.18369893118509,6.78251022811298,6.77084778495584,7.55738575087089
"Catsperg",9.20495765796045,9.70009946388167,7.88850171441556,9.10053643406898,8.9543056127309,7.74229893681521,8.38900733934424,7.82703426765614,7.46031115894521,8.4512367474006
"Grhl3",7.45530668268158,7.15520288908764,10.2082130182089,7.47587824504139,7.4883915943249,7.9333081871534,8.02967218748266,7.32727143175402,8.26110865973089,7.40731613988326
"Col5a1",7.59869313774817,7.8488599165897,7.25374343096761,7.86014725541347,7.98158372080926,7.63247286919867,8.57949096624624,7.16948626169223,7.35865928818335,8.68922412160601
"Slpi",7.41577500522673,7.9501977516934,12.6455425542528,7.86014725541347,7.31630657434205,7.12543773686007,7.65054744354423,7.7279843711879,9.55001132803928,7.01039439608051
"Gbp2",9.31920247580016,9.32305161396196,11.6784413849435,9.43696918904573,8.63348623972499,8.9810689573523,8.3978999405268,9.49705159266004,10.3747621763834,9.20845631328206
"LOC100911498",12.9538509743034,11.8677329241484,10.6540684286596,11.8052075689035,12.1068876554667,10.4283622455826,12.8049196931007,9.9565469870444,9.91104167372178,10.3144794306342
"Noxa1",10.620774725572,11.096658603976,7.47449523134706,8.68007512424925,8.24247874270553,9.18516553107038,10.8040545430582,8.12815620402401,7.96605767212074,10.4550550385304
"F8",8.48644346967306,8.72572452794702,7.10849887186354,8.78477622411368,8.60388774006701,7.72011145526969,8.9357544419653,7.58682991642311,7.52776353150773,7.80727750038173
"Rps19",7.10006251101299,8.77709447237677,6.83692441764648,6.91432591329434,9.85102550666527,7.12543773686007,7.15205130908169,6.94266390871012,6.84098076966988,6.85162931286669
"Rps6",6.66549746332017,9.90066259646024,6.69830448524966,6.36105467954181,10.7180167036518,6.5484890191435,6.58297699669966,6.48311508776577,6.50636454983427,6.56795419985115
"Irs1",7.96208623874738,7.89604541860851,6.78706818709213,10.2391886586715,9.29236976220327,7.31803559320173,7.38157873808011,7.45997185427282,6.92056233592807,7.55203065007588
"Plg",6.36105467954181,7.4914731114414,9.09383815461311,7.09693021951658,7.37290500150226,8.4543718250476,6.67459235030603,7.94927954246578,8.25262335909175,7.35570342647616
"Leng8",11.9605528900421,12.0565266622801,10.2148332362785,11.6972499260825,11.8606992456147,10.3033550746958,11.889985175179,9.78766619579106,9.81326709031579,10.6562369606769
"Plekhh1",9.21862886059074,8.76559094392337,8.07285387428612,9.34939859056914,9.85754927153395,8.42067929925501,8.56398904543378,8.0910432516451,7.73973372017585,8.453697034393
"Aldh1a3",8.40600204053599,9.71065582870785,11.0013783428916,8.91997349290826,9.35616335361992,9.46007551352295,8.86294626343382,9.24173201513248,11.2703870826353,8.41881850417026
"Lmbr1l",9.30648864990155,9.16854737614894,7.91931096373195,8.72727918253891,8.75805645484211,8.13264562421027,9.13857085315994,7.84412041575097,7.71971430825606,8.09527874388437
"Ikbke",8.32017404668041,9.29034421793101,7.45568765736697,9.10756854926007,7.99663283505232,7.82675795322158,8.79913576663645,7.50806479473336,8.35084885155077,8.58453505365185
"Pnisr",11.569349336785,11.6392149125236,8.90882007988511,11.3701645276869,11.5511104941165,9.8572628024439,11.2444659855194,10.1629205319264,9.31327880314185,10.254810312148
"Adamts10",9.84456287532146,9.68471096031046,8.71407603386806,9.9393378133744,10.7200525325969,8.96260953942578,9.55412327039842,8.53803735409015,8.75957602887723,9.60851489645807
"Zfp692",10.4621062595747,11.1238926263434,7.90708708282364,10.4798324755685,11.1918368477937,8.90568460275098,10.7296703476781,9.27422513643419,8.41234427786627,9.45720047293739
"Trim41",8.49421927298322,8.63969753539421,7.06313912884091,8.02185843858068,8.10035844084611,7.73679513242054,8.85042274875361,7.47222822382031,7.62088292108184,7.43811779924509
"Sema6d",8.42249686119387,9.39505467036785,7.25374343096761,10.0416409246434,7.81914238870161,8.25521476527695,9.41497631660094,7.91794496984276,7.71971430825606,8.19575936417806
"Mgp",9.89312152012007,7.53147874470592,7.67560283688976,9.13075354199536,9.61141662855184,7.9379219602123,8.86916488845883,8.14465703994646,7.91641729770936,9.80149117106078
"Cdc42bpg",8.97639278154771,8.91214623661258,7.35531596930951,8.44199659371811,8.4732601658284,7.76403649757169,8.90588997378918,7.35546474044064,8.30677728343891,8.4512367474006
"Upk3a",6.36105467954181,6.86377874423789,7.04729800453992,7.6022384998259,6.57314550034375,11.4571691702516,8.36195206051423,13.6999673706561,8.09382691634279,7.85255764066054
"Slc16a13",8.38929232768715,8.77709447237677,7.57176319622032,8.56293187388812,8.49595928521163,7.86667796392869,8.23753085036893,7.50218550689349,7.59840784449025,8.37515207109479
"Dmpk",9.9126437659254,10.5007944253961,7.27742407518757,9.56392726171714,8.74154963367577,8.56167881183841,9.19842076063416,8.27810175957816,7.9874549155303,8.59339872117634
