"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"STOX1",0.166994196428571,0.248623042505593,2.4524573230517,0.0145462551192402,0.0332891758776902,-4.4376248636268
"SOS1",-0.133791071428572,-0.243398657718121,-2.45234956445956,0.0145505567468484,0.0332958932113064,-4.43788545441524
"TEX13A",-0.157198660714286,0.0532478747203579,-2.45150972008019,0.0145841211646421,0.0333695647455397,-4.43991605336965
"GPR113",0.156287946428572,-0.0227335570469799,2.4514189014299,0.0145877548355839,0.0333747450787257,-4.44013559658234
"RET",0.156033928571429,0.180732438478747,2.45126404604824,0.0145939524745605,0.0333857898892312,-4.4405099226373
"BE673813",-0.1582125,-0.0628914988814318,-2.45109538896707,0.0146007051358076,0.0333981022011977,-4.44091758478904
"CXorf40B",-0.148374553571429,0.0517868008948546,-2.44979462302215,0.0146528778676282,0.0335142977171356,-4.44406075595438
"HSP90Bb",-0.154182142857143,-0.0605413870246085,-2.44944369320589,0.0146669816033771,0.0335434075749502,-4.4449084642059
"RASIP1",0.121136160714286,0.0346776286353468,2.44934028715667,0.0146711397422089,0.0335497685095858,-4.44515822991707
"KRT72",-0.121133035714286,-0.149242058165548,-2.44916121168035,0.0146783431473338,0.0335630914717302,-4.4455907423217
"VCL",-0.15576875,-0.0418642058165548,-2.44876891453035,0.0146941344371784,0.0335960469098484,-4.44653813104413
"FLJ40712",0.169903571428572,0.123824161073826,2.44832899475494,0.0147118605650614,0.0336334194811349,-4.44760035131907
"TSG1",-0.163372767857143,-0.0630255033557047,-2.44826271045396,0.014714533063139,0.0336363735161887,-4.44776038375214
"DAPK3",0.149212946428571,-0.0750859060402685,2.44808820864249,0.0147215708051983,0.033649304697596,-4.44818166918615
"NCRNA00086",0.169370089285714,0.0938776286353468,2.44788791570444,0.0147296523841321,0.0336646191424246,-4.44866518393467
"ASAP1",0.132368303571429,-0.169188143176734,2.44750138591753,0.0147452594854686,0.0336952938605744,-4.44959817244959
"PSPN",0.147214732142857,0.0309604026845638,2.44748703134724,0.0147458393683998,0.0336952938605744,-4.44963281811027
"KRAS",-0.142510714285714,-0.107368456375839,-2.44744905890623,0.0147473734418998,0.0336956395717032,-4.44972446603619
"C1orf94",-0.132692410714286,-0.109719239373602,-2.44676089507267,0.0147751994834467,0.0337560529732448,-4.45138513529191
"AA634285",0.161249553571428,-0.0132910514541387,2.44650253249269,0.0147856584043253,0.0337767811002718,-4.45200849540274
"SNCB",-0.131300446428571,-0.0526467561521253,-2.44640894648737,0.0147894485265244,0.0337822723747981,-4.45223427767837
"TMEM69",-0.135312946428571,0.108507829977629,-2.44589663279214,0.0148102118477046,0.033826529412772,-4.45347011827811
"ATP7A",0.142108928571429,0.134155033557047,2.44495519241222,0.0148484342376464,0.0339106509374853,-4.45574047164979
"KRTAP3-1",-0.157551785714286,-0.035758389261745,-2.44475427284376,0.0148566028343963,0.0339261266862121,-4.45622489375027
"SERTAD3",-0.1464125,0.168096420581655,-2.44404360047505,0.0148855278505451,0.0339869650637924,-4.45793803109755
"AF056453",-0.162499553571429,0.0307093959731544,-2.4440311738947,0.0148860340662285,0.0339869650637924,-4.45796798212613
"BCL6B",0.165197321428572,0.121733333333333,2.44390671248774,0.0148911050307228,0.0339953576343126,-4.45826795567148
"DYM",-0.141367410714286,-0.092655033557047,-2.44363127926104,0.014902332509062,0.0340178022089763,-4.45893174448783
"ZSCAN1",-0.152054464285714,-0.113136465324385,-2.44282926383011,0.0149350676691665,0.0340893339230283,-4.46086417085849
"ZNF890P",0.152347321428571,0.137807158836689,2.44222157303886,0.0149599135540845,0.0341428466316318,-4.4623279673133
"PADI2",-0.146483482142857,-0.168856823266219,-2.4417372953563,0.0149797397501179,0.0341848940092595,-4.46349423384364
"DB341695",0.15954375,0.0541165548098434,2.44148958740856,0.0149898898190491,0.034204853929262,-4.46409069177647
"APOB",-0.15581875,-0.0966487695749441,-2.44104781884472,0.0150080067920392,0.0342429877816865,-4.46515428334126
"CT47A6",-0.149294196428571,-0.0192530201342282,-2.440781326492,0.0150189450242555,0.0342647366680141,-4.46579579327639
"ACTRT1",-0.143335267857143,-0.186681879194631,-2.44065445522274,0.0150241549557549,0.0342734139638491,-4.46610117834067
"GLT8D2",0.143858928571428,0.230385234899329,2.43978899991839,0.0150597372466557,0.0343513692058885,-4.46818395665193
"AI571184",0.163329017857143,-0.0222501118568233,2.43900294542999,0.0150921195606388,0.0344220113678067,-4.47007502710894
"IPO9",0.141001785714286,-0.150051006711409,2.43885994890074,0.0150980170572282,0.0344322395555018,-4.47041898073675
"C1orf88",0.157999553571429,0.113016331096197,2.43872880717335,0.0151034274250667,0.0344413549966335,-4.47073440238292
"MBL1P1",0.159661160714286,-0.0168031319910515,2.43861602463799,0.01510808173815,0.0344487448110077,-4.47100565333174
"TEAD1",-0.153280357142857,-0.0392859060402685,-2.43841438257222,0.0151164062671565,0.0344645011150888,-4.47149058801389
"AI018695",-0.153820535714286,-0.0386612975391499,-2.43801814658455,0.0151327761578636,0.0344985956978969,-4.47244339317106
"AK092055",-0.129739285714286,-0.151875167785235,-2.43781060158595,0.0151413568140274,0.0345149282361292,-4.47294240404448
"PCK2",-0.139230803571429,-0.0517326621923937,-2.43738963733808,0.0151587741906961,0.0345513992590853,-4.47395442230678
"AI025258",0.166558035714286,0.00178657718120805,2.43708410806122,0.0151714265329714,0.0345754978042589,-4.474688822609
"FAM134B",0.126777678571429,0.273927964205817,2.43706580572228,0.0151721847513518,0.0345754978042589,-4.47473281306554
"C1orf211",-0.137387946428571,-0.144887248322148,-2.43666566809706,0.0151887697820914,0.0346100562979243,-4.47569448048401
"AA643892",-0.1560625,-0.0924011185682327,-2.43648914875589,0.0151960913008051,0.034623390225192,-4.47611866781333
"CCDC28B",-0.130803125,-0.0546950782997763,-2.43645608248129,0.0151974631421805,0.034623390225192,-4.47619812486479
"CDH24",-0.154492857142857,-0.205889261744966,-2.43636948902297,0.0152010562179385,0.0346283385920094,-4.4764062008025
"BQ027600",0.15901875,0.0269304250559284,2.4359314484215,0.0152192436079065,0.0346665290930516,-4.47745866065271
"SLC19A2",-0.149504464285714,-0.0887371364653244,-2.43580582573221,0.015224462991234,0.0346751765744826,-4.47776045441075
"AJ312026",0.150926785714286,-0.0467738255033557,2.43529013522845,0.0152459055193436,0.0347207687565762,-4.47899918122558
"MICAL2",0.154399553571429,0.102237360178971,2.4349824371427,0.0152587123778184,0.0347466875266497,-4.4797381729837
"TXNDC11",0.142434821428571,-0.0205651006711409,2.43392439935007,0.0153028220450328,0.0348438766205718,-4.48227854420474
"KPNB1",-0.144661607142857,-0.042620581655481,-2.4337515168457,0.0153100402220429,0.034857055043515,-4.48269353641879
"AL046401",0.164361607142857,0.069079418344519,2.43364989204697,0.0153142846559114,0.0348634611822916,-4.48293746613691
"PCDH7",0.148329464285714,0.0691288590604027,2.43353644651981,0.0153190240186095,0.0348709927403528,-4.48320975738087
"BX094428",-0.155457589285714,-0.109117673378076,-2.4334868482323,0.0153210964708367,0.034872452718228,-4.48332879899044
"CDHR1",-0.139799107142857,-0.0641684563758389,-2.43335423330782,0.0153266389689294,0.034881809880907,-4.48364707847969
"ASRGL1",-0.149299107142857,-0.0861472035794184,-2.43318518417098,0.0153337067628626,0.0348946363837725,-4.48405277655878
"OR4C11",-0.160079464285714,-0.0624991051454139,-2.43294885944394,0.0153435921136263,0.0349138717550513,-4.48461988207678
"AA628343",-0.164783482142857,0.00998859060402685,-2.43259080123873,0.0153585802406449,0.0349447136605075,-4.4854790075478
