"","starSampleName","FqFile","Rat_ID","Fraction","Batch","Location","Cohort","TRUSTName","Treatment","SampleID","TumorID","Growth","SpatialManual","CD8Frac","TumSize","Time.NMU2Sac","Age.Injection","IFEpAntstrRatio","MHEpAntstrRatio","GrowthRate","MHEpCAM","IFEpCAM","MHSMA","IFSMA","TumorIDnew","knnEpCAM","treatA","MHcut","CD8FracCut","SizeCat"
"2R_C_CD45","CD45_2RC","20191030_CD45_2RC_CGDA7427_S34_R1_001.fastq.gz","2R","CD45","3","C","Progression","20191030_CD452RC_report.tsv","Vehicle","2R_C_CD45","2R_C","growing",NA,NA,15,84,"32-36",NA,NA,15,NA,NA,NA,NA,"P5T2",NA,"control",NA,NA,"small"
"2R_D_CD45","CD45_2RD","20191030_CD45_2RD_CGDA7427_S35_R1_001.fastq.gz","2R","CD45","3","D","Progression","20191030_CD452RD_report.tsv","Vehicle","2R_D_CD45","2R_D","growing","restricted",0.0742194780431157,20,84,"32-36",1.163757273,1.072029631,20,0.567820154176674,0.197900904671453,0.651878007,0.03873024,"P5T3",38.6122145002545,"control","inf","high","big"
"3L_D_CD45","CD45_3L_D","20190213_38_CGDA6432-2of3_S11_R1_001.fastq.gz","3L","CD45","2","D","Progression","20190213_38_CGDA6432-2of3_S11_R1_001_report.tsv","Vehicle","3L_D_CD45","3L_D","growing","restricted",NA,30,84,"32-36",NA,NA,5.8,NA,NA,NA,NA,"P6T2",NA,"control",NA,NA,"big"
"3L_A_CD45","CD45_3LA","20191030_CD45_3LA_CGDA7427_S36_R1_001.fastq.gz","3L","CD45","3","A","Progression","20191030_CD453LA_report.tsv","Vehicle","3L_A_CD45","3L_A","growing","restricted",0.0531246414587471,12,84,"32-36",14.38513514,1.106811727,3,0.333298180342511,0.286523959526537,0.401915731,0.003531882,"P6T1",46.0960082025034,"control","res","high","small"
"3N_B_CD45","CD45_3N_B","20190213_39_CGDA6432-2of3_S12_R1_001.fastq.gz","3N","CD45","2","B","Progression","20190213_39_CGDA6432-2of3_S12_R1_001_report.tsv","Vehicle","3N_B_CD45","3N_B","stable","Infiltrating",0.276829917860447,6,127,"32-36",13.08280255,1.147356351,0.024590164,0.637179407827275,0.437791145137117,0.647527182,0.003179811,"P7T1",32.3115937542865,"control","inf","high","small"
"3R_C_CD45","CD45_3R_C","20190213_40_CGDA6432-2of3_S13_R1_001.fastq.gz","3R","CD45","2","C","Progression","20190213_40_CGDA6432-2of3_S13_R1_001_report.tsv","Vehicle","3R_C_CD45","3R_C","growing","Infiltrating",0.0232139311385568,32,84,"32-36",1.791469194,0.9042302,5.542857143,0.381122239757883,0.296210760413994,0.599163477,0.036096142,"P8T2",32.119384471498,"control","inf","low","big"
"3R_B_CD45","CD45_3RB","20191030_CD45_3RB_CGDA7427_S37_R1_001.fastq.gz","3R","CD45","3","B","Progression","20191030_CD453RB_report.tsv","Vehicle","3R_B_CD45","3R_B","growing","restricted",0.0266553579642389,35,84,"32-36",1.135736196,0.882498485,7.685714286,0.354301516222591,0.291075097009815,0.561461968,0.059529788,"P8T1",42.6316241357437,"control","inf","low","big"
"5N_A_CD45","CD45_5NA","20191030_CD45_5NA_CGDA7427_S39_R1_001.fastq.gz","5N","CD45","3","A","Progression","20191030_CD455NA_report.tsv","Vehicle","5N_A_CD45","5N_A","growing","restricted",NA,26,135,"32-36",NA,NA,5.428571429,NA,NA,NA,NA,"P13T1",NA,"control",NA,NA,"big"
"5R_B_CD45","CD45_5RB","20191030_CD45_5RB_CGDA7427_S40_R1_001.fastq.gz","5R","CD45","3","B","Progression","20191030_CD455RB_report.tsv","Vehicle","5R_B_CD45","5R_B","growing","restricted",0.0596672294268477,35,135,"32-36",0.13062804,0.850805261,10.35714286,0.359910024367208,0.193431475115827,0.566794969,0.10207208,"P14T1",39.0060168186523,"control","inf","high","big"
"6N_D_CD45","CD45_6N_D","20190213_41_CGDA6432-2of3_S14_R1_001.fastq.gz","6N","CD45","2","D","Progression","20190213_41_CGDA6432-2of3_S14_R1_001_report.tsv","LY","6N_D_CD45","6N_D","growing",NA,0.0815901125430434,40,55,"32-36",1.80268595,0.917714547,30,0.324732811191202,0.275662786463534,0.50377582,0.02842611,"P16T1",28.4155576684344,"imm","res","high","big"
"6R_D_CD45","CD45_6RD","20191030_CD45_6RD_CGDA7427_S41_R1_001.fastq.gz","6R","CD45","3","D","Progression","20191030_CD456RD_report.tsv","LY","6R_D_CD45","6R_D","stable",NA,NA,6,79,"32-36",NA,NA,1.285714286,NA,NA,NA,NA,"P17T3",NA,"imm",NA,NA,"small"
"7N_A_CD45","CD45_7N_A","20190213_44_CGDA6432-2of3_S16_R1_001.fastq.gz","7N","CD45","2","A","Progression","20190213_44_CGDA6432-2of3_S16_R1_001_report.tsv","LY","7N_A_CD45","7N_A","growing",NA,NA,30,163,"32-36",NA,NA,2.355555556,NA,NA,NA,NA,"P19T1",NA,"imm",NA,NA,"big"
"7N_B_CD45","CD45_7NB","20191030_CD45_7NB_CGDA7427_S42_R1_001.fastq.gz","7N","CD45","3","B","Progression","20191030_CD457NB_report.tsv","LY","7N_B_CD45","7N_B","growing","restricted",0.0206734110298608,31,163,"32-36",0.152956298,0.511781912,2.887850467,0.120655287137457,0.0728176318063958,0.424703873,0.072045932,"P19T2",80.1757958702196,"imm","res","low","big"
"8L_D_CD45","CD45_8L_D","20190213_45_CGDA6432-2of3_S17_R1_001.fastq.gz","8L","CD45","2","D","Progression","20190213_45_CGDA6432-2of3_S17_R1_001_report.tsv","LY","8L_D_CD45","8L_D","stable","Infiltrating",0.0562336342953625,6,127,"32-36",743,2.89926028,0.241803279,0.6488849150546,0.65089058524173,0.265669835,0.000254453,"P21T1",16.3662319888764,"imm","inf","high","small"
"8R_CU_CD45","CD45_8R_CU","20190213_46_CGDA6432-2of3_S18_R1_001.fastq.gz","8R","CD45","2","CU","Progression","20190213_46_CGDA6432-2of3_S18_R1_001_report.tsv","LY","8R_CU_CD45","8R_CU","growing","restricted",0.0287668011746126,27,127,"32-36",1.644601194,1.035013568,5.514285714,0.367612658782466,0.234742288985289,0.496364984,0.022024642,"P22T2",50.0010143574618,"imm","inf","low","big"
"8R_CL_CD45","CD45_8RCL","20191030_CD45_8RCL_CGDA7427_S43_R1_001.fastq.gz","8R","CD45","3","CL","Progression","20191030_CD458RCL_report.tsv","LY","8R_CL_CD45","8R_CL","growing","restricted",0.0176690744267719,12,127,"32-36",3.425675676,1.189562304,12,0.576517533901973,0.618636564851704,0.676712797,0.032757857,"P22T1",15.1296644410754,"imm","inf","low","small"
"9L_B_CD45","CD45_9LB","20191030_CD45_9LB_CGDA7427_S44_R1_001.fastq.gz","9L","CD45","3","B","Progression","20191030_CD45_9LB_CGDA7427_S44_R1_001_report.tsv","PDL1+LY","9L_B_CD45","9L_B","growing",NA,NA,35,238,"32-36",NA,NA,3.25974026,NA,NA,NA,NA,"P23T2",NA,"imm",NA,NA,"big"
"10L_C_DN","DN_10LC","20191030_DN_10LC_CGDA7428_S8_R1_001.fastq.gz","10L","DN","3","C","Progression","","PDL1","10L_C_DN","10L_C","growing","Infiltrating",0.0100340714520434,25,79,"32-36",1.513618677,1.133386483,5.357142857,0.333823897052082,0.316862970410801,0.527303415,0.073829359,"P24T2",32.1225777378723,"imm","res","low","big"
"10R_BL_DN","DN_10R_BL","20190213_49_CGDA6432-3of3_S2_R1_001.fastq.gz","10R","DN","2","BL","Progression","20190213_49_CGDA6432-3of3_S2_R1_001_report.tsv","PDL1","10R_BL_DN","10R_BL","growing","restricted",0.0202714813177359,40,98,"32-36",0.319648094,0.875498666,4.976190476,0.437652145932401,0.221338048924256,0.744856161,0.201002063,"P26T1",44.9270325366952,"imm","inf","low","big"
"10R_BU_DN","DN_10RBU","20191030_DN_10RBU_CGDA7428_S9_R1_001.fastq.gz","10R","DN","3","BU","Progression","","PDL1","10R_BU_DN","10R_BU",NA,"restricted",0.0670640985529038,12,98,"32-36",0.122224415,0.662756279,NA,0.303427530168004,0.0816202095465047,0.626822733,0.113365442,"P26T2",87.1290119223447,"imm","res","high","small"
"11L_B_DN","DN_11LB","20191030_DN_11LB_CGDA7428_S10_R1_001.fastq.gz","11L","DN","3","B","Progression","","PDL1","11L_B_DN","11L_B","growing",NA,0.152177738773681,25,112,"32-36",NA,354.5248148,3.785714286,0.237714655738112,0.208010474138151,0.000923214,0,"P27T1",69.1029642114784,"imm","res","high","big"
"11R_D_DN","DN_11R_D","20190213_51_CGDA6432-3of3_S3_R1_001.fastq.gz","11R","DN","2","D","Progression","20190213_51_CGDA6432-3of3_S3_R1_001_report.tsv","PDL1","11R_D_DN","11R_D","growing","restricted",0.0224452418752018,25,112,"32-36",0.65275967,0.930339963,3.642857143,0.264607307635754,0.232350672435188,0.452648317,0.077170742,"P29T2",73.8246082169253,"imm","res","low","big"
"11R_C_DN","DN_11RC","20191030_DN_11RC_CGDA7428_S11_R1_001.fastq.gz","11R","DN","3","C","Progression","","PDL1","11R_C_DN","11R_C","growing","restricted",0.050418603715108,19,112,"32-36",1.00974026,0.735875837,2.678571429,0.026178252509128,0.0386687955293883,0.063259805,0.007683864,"P29T1",153.335126312092,"imm","res","high","small"
