"","10L_D_CD45","10L_C_CD45","10R_BL_CD45","11L_B_CD45","11N_D_CD45","11R_D_CD45","11R_C_CD45","14N_B_CD45","14N_C_CD45","14N_D_CD45","15L_B_CD45","15N_C_CD45","15R_D_CD45","16L_D_CD45","17N_A_CD45","2N__CD45","2R_A_CD45","2R_C_CD45","2R_D_CD45","3L_D_CD45","3L_A_CD45","3N_B_CD45","3R_C_CD45","3R_B_CD45","5N_A_CD45","5R_B_CD45","6N_D_CD45","6R_D_CD45","7N_A_CD45","7N_B_CD45","8L_D_CD45","8R_CU_CD45","8R_CL_CD45","9L_B_CD45"
"5N_A_CD45",0.955089749675899,0.934230508042001,0.967236181312571,0.973814665262919,0.949687842527932,0.973958652595482,0.959351350187975,0.967822738661,0.940295000835115,0.970678627654112,0.915648765835777,0.975251312231583,0.955223896579552,0.974714544953741,0.981336977637975,0.935422306895325,0.96043426352867,0.95230582823946,0.891158939827825,0.865503301709083,0.95493274976761,0.931748102603987,0.943614196576941,0.966391812740487,1,0.951680136026794,0.962646015023353,0.914769868182818,0.970527725629571,0.976739244872935,0.935875348163686,0.952405876131198,0.964968020443603,0.955223242239301
"5R_B_CD45",0.915690656177502,0.904041725088408,0.949696049521033,0.942270076638748,0.902604496755023,0.933065938578465,0.917313974023421,0.928672613803771,0.897387462100262,0.931643484449811,0.898702401590273,0.947053714548894,0.910802245677658,0.943659138734702,0.957042782961933,0.95249700500979,0.928785288131503,0.93567467835292,0.904056408375337,0.88037012575561,0.94266307256028,0.898737323439849,0.936552231348016,0.94508931131664,0.951680136026794,1,0.937234577684518,0.88207746551873,0.954438749786967,0.937094172697829,0.879372559786336,0.951777460771512,0.915973256335262,0.911675671440519
"6N_D_CD45",0.941498351528038,0.937219268588197,0.944555143256544,0.948622008946594,0.941420900379742,0.962210798874379,0.95065201238161,0.946269723578738,0.921972136690638,0.957209253547722,0.920176999489466,0.961988636034949,0.932684664354231,0.960217806448744,0.964425196657642,0.919396835229117,0.949564832346847,0.945236956846106,0.882880871267197,0.852519459131568,0.949230421372551,0.922569165595643,0.934720951361883,0.957685316930781,0.962646015023353,0.937234577684518,1,0.919673448307819,0.953122468138439,0.959351819807572,0.917507710048439,0.937708094661839,0.953121228674999,0.945810291818
"6R_D_CD45",0.931632574461335,0.938151387382547,0.924997789037093,0.928565577580699,0.962239815705159,0.925428792604034,0.924406494234367,0.945815696422778,0.915265746762891,0.936249740057889,0.923632597443395,0.915194343724046,0.933443732535415,0.928876416235111,0.927117375726731,0.89297817264436,0.940710770440227,0.912845943606033,0.792580730576433,0.795860477086745,0.900854472137484,0.940914843914376,0.87931978475447,0.917104922506934,0.914769868182818,0.88207746551873,0.919673448307819,1,0.908856608012391,0.922350300660394,0.929407445234329,0.895451885888705,0.92847337919101,0.915139252255641
"7N_A_CD45",0.946077963094515,0.944442094965968,0.958553434517437,0.963200389907274,0.935431416789392,0.955183172076738,0.93904369134855,0.949224632554957,0.91478797786151,0.950235853082049,0.93369678445203,0.970150843648366,0.94062183989259,0.963407581488501,0.970973660202953,0.944743492302767,0.959439852791843,0.961504402021305,0.907359785638029,0.879106985839651,0.961217237051571,0.933543715557352,0.952899592615817,0.96808977550472,0.970527725629571,0.954438749786967,0.953122468138439,0.908856608012391,1,0.96304371341007,0.926914711281386,0.951681222209861,0.952883985502624,0.934050304529266
"7N_B_CD45",0.958159249582852,0.932925715608467,0.964888986950611,0.970196666907781,0.954501024442712,0.973827259023932,0.964766055698865,0.973535975031064,0.957507475233695,0.979476960612241,0.902142031870501,0.980621364091478,0.962604026816882,0.973679384009105,0.977260509421083,0.909398539091672,0.961611717785153,0.937424106766152,0.858511186394464,0.827724088643887,0.949185582974663,0.93671000110416,0.936322955092119,0.968572003914163,0.976739244872935,0.937094172697829,0.959351819807572,0.922350300660394,0.96304371341007,1,0.953467178517013,0.935014257837979,0.974788565092163,0.976491973039078
"8L_D_CD45",0.958207867226201,0.947859317141496,0.919744248326303,0.945389916147544,0.958523773884387,0.947402491737695,0.948607680363612,0.943930546523874,0.939870310044381,0.946034734015286,0.916969167508151,0.949509221563019,0.958216864577858,0.943542616479359,0.934864015564177,0.865702916897763,0.955605471979584,0.929187880953736,0.813909846082833,0.794440929891026,0.921813392779665,0.95419253509584,0.897909513912269,0.941326163134856,0.935875348163686,0.879372559786336,0.917507710048439,0.929407445234329,0.926914711281386,0.953467178517013,1,0.899885966289363,0.975068800411897,0.928137041796154
"8R_CU_CD45",0.92101355734571,0.926532645282616,0.932037873097417,0.942119062518432,0.911735796775851,0.941874071472754,0.936886948067459,0.920370644883132,0.910884513102839,0.933472768471315,0.921683286424682,0.948229222655875,0.916846485972923,0.95215024976442,0.959413468190922,0.935957829534327,0.944960024070076,0.951930979777435,0.912958185191744,0.900998886738825,0.947577478366965,0.920606327541359,0.940770492337598,0.950964380459507,0.952405876131198,0.951777460771512,0.937708094661839,0.895451885888705,0.951681222209861,0.935014257837979,0.899885966289363,1,0.933603729225305,0.909763433030886
"8R_CL_CD45",0.961993816019381,0.949675699478674,0.94288462966295,0.961643365618378,0.967482149647829,0.971945945521908,0.967863910820319,0.961048500527071,0.949197380680201,0.972067668464495,0.918750221124364,0.972009247162464,0.965009399892925,0.969551119494955,0.965385749277492,0.894134681653302,0.961326174187178,0.943735537121192,0.852595475349506,0.825624122360665,0.941485932828879,0.956476068182977,0.925970331677169,0.957395632939793,0.964968020443603,0.915973256335262,0.953121228674999,0.92847337919101,0.952883985502624,0.974788565092163,0.975068800411897,0.933603729225305,1,0.95273289150948
"9L_B_CD45",0.926920342953931,0.906769832925518,0.948066886262383,0.942460607469612,0.93465200238651,0.958513207365975,0.95222723063863,0.963645169985325,0.94608177042042,0.973962886623842,0.872072874188846,0.964918244735162,0.934493810786488,0.955597951795146,0.9606456215515,0.877716799539279,0.938609700084625,0.905852841214358,0.833275088856274,0.801969939934853,0.92228127695927,0.91281991154578,0.913453988128087,0.944096775670293,0.955223242239301,0.911675671440519,0.945810291818,0.915139252255641,0.934050304529266,0.976491973039078,0.928137041796154,0.909763433030886,0.95273289150948,1
