""	"Basal"	"Her2"	"LumA"	"LumB"	"Normal"	"Call"	"Confidence"	"ROR-S (Subtype Only)"	"ROR-S Group (Subtype Only)"	"Proliferation Score"	"ROR-P (Subtype + Proliferation)"	"ROR-P Group (Subtype + Proliferation)"	"ER"	"Her2"
"8R_CD45_CU"	"0.216852914527333"	"0.414829356689822"	"-0.559951676230746"	"0.344004832376925"	"-0.422681969193597"	"Her2"	"0.99"	"77.299169381207"	"high"	"1.29769445082076"	"104.477308058736"	"high"	"-0.750349329470395"	"-1.57331638048863"
"8R_CD45_CL"	"0.219512195121951"	"0.350696864111498"	"-0.575087108013937"	"0.304703832752613"	"-0.336933797909408"	"Her2"	"0.97"	"76.3419569997951"	"high"	"0.522688216337758"	"73.0313977668697"	"high"	NA	"-2.8016358954672"
"9L_CD45_B"	"0.0290806754221388"	"0.274296435272045"	"-0.213133208255159"	"0.351594746716698"	"-0.247842401500938"	"LumB"	"0.97"	"60.0579478885333"	"high"	"0.187584465262707"	"55.3049688811005"	"high"	NA	"-1.66597521834061"
"sample_CD45_36"	"0.255489830645815"	"0.312373389514626"	"-0.640871890446479"	"0.409286119439267"	"-0.511222753423548"	"LumB"	"0.99"	"80.433860245952"	"high"	"0.948137336342658"	"91.0023851437709"	"high"	NA	"-2.0678991892381"
"D11N_CD45_"	"0.0215759849906191"	"0.399812382739212"	"-0.466228893058161"	"0.33733583489681"	"-0.357410881801126"	"Her2"	"0.99"	"72.1150135728948"	"high"	"0.490629105733589"	"71.1472022562994"	"high"	"-2.19446565424242"	"-2.04197184132538"
"D11N_Ep_"	"0.0282392026578073"	"0.263666565992147"	"-0.348988221081244"	"0.288281485955905"	"-0.555572334642102"	"LumB"	"0.94"	"64.4708580235223"	"high"	"1.75982705141676"	"118.986092297749"	"high"	"1.8608794795209"	"1.48431842882878"
"D14R_CD45_"	"-0.0280112044817927"	"0.3703081232493"	"-0.340896358543417"	"0.449019607843137"	"-0.410644257703081"	"LumB"	"0.99"	"68.1086976839677"	"high"	"0.395313170069024"	"66.3617917364664"	"high"	NA	NA
"D14R_Ep_"	"-0.34390243902439"	"-0.0360627177700348"	"0.240418118466899"	"0.0918118466898955"	"-0.208885017421603"	"LumA"	"0.87"	"30.5131684388194"	"med"	"-0.301051387981726"	"26.7727911582811"	"med"	"2.11807782074245"	"1.10706904352511"
"D17N_CD45_"	"-0.192745376955903"	"0.553105737316264"	"-0.412754860123281"	"0.731152204836415"	"-0.643195827406354"	"LumB"	"1"	"77.6703081800686"	"high"	"0.462899803283074"	"73.0026404232457"	"high"	NA	NA
"D17N_Ep_"	"-0.395546558704453"	"0.0362348178137652"	"0.407085020242915"	"-0.0279352226720648"	"-0.00708502024291498"	"LumA"	"0.99"	"22.4064583365087"	"low"	"-0.165173788040522"	"30.2176663821136"	"med"	"-0.0184065105542523"	"0.828721290561838"
"D18N_CD45_"	"0.0672268907563025"	"0.38375350140056"	"-0.401120448179272"	"0.487394957983193"	"-0.443137254901961"	"LumB"	"1"	"71.9158303351458"	"high"	"1.02837855756531"	"92.569600295324"	"high"	NA	"-1.03498257362361"
"D18N_Ep_"	"0.192691029900332"	"-0.0625188764723649"	"-0.0952884324977348"	"-0.0904560555723347"	"0.0570824524312896"	"Basal"	"0.79"	"43.6514250910512"	"med"	"0.549002268938557"	"63.0516702365855"	"high"	"-2.95034958716766"	"-0.0679344682582839"
"D1N_CD45_Lina"	"-0.045628624575993"	"-0.25309114782799"	"0.378706641864537"	"-0.374986322354743"	"0.535178903599956"	"Normal"	"1"	"15.2692886289528"	"low"	"-1.85143489721255"	"-41.029448343103"	"low"	NA	"-0.796650594211647"
"D1R_CD45_Lina"	"0.0611631016042781"	"-0.036096256684492"	"0.141711229946524"	"-0.256350267379679"	"0.393716577540107"	"Normal"	"0.98"	"30.7889942159484"	"med"	"-0.920551010151122"	"1.14029569187671"	"low"	NA	"-0.74273991360604"
"D2N_CD45_Lina"	"0.0642573535369905"	"-0.367960457013208"	"0.328579531642493"	"-0.524511789968398"	"0.673932420387327"	"Normal"	"1"	"13.7064435503844"	"low"	"-2.01352598275064"	"-48.739267619499"	"low"	"-1.56063697553046"	"0.388232717818803"
"D2N_CD45_"	"0.0263305322128852"	"0.265266106442577"	"-0.294117647058824"	"0.281512605042017"	"-0.26750700280112"	"LumB"	"0.9"	"62.0970956971494"	"high"	"0.176704387562457"	"55.2980996001948"	"high"	NA	NA
"D2N_Ep_"	"0.0122319540924192"	"0.0545152521896708"	"0.0308064028994262"	"-0.151766837813349"	"0.139232860163093"	"Normal"	"0.63"	"38.2218250025761"	"med"	"0.208420042871087"	"48.6934722389404"	"med"	"-0.300729159882326"	"0.551547988416002"
"D2R_CD45_Lina"	"-0.0110515373673268"	"-0.192909508698982"	"0.235583761899551"	"-0.206258890469417"	"0.41197067512857"	"Normal"	"0.99"	"25.0775741360556"	"med"	"-1.79786624793679"	"-35.8279804929398"	"low"	"-2.72381797080663"	"-0.63720117591017"
