""	"C2N__Ep"	"C2R__Ep"	"C5R__Ep"	"D11N__Ep"	"D14R__Ep"	"D17N__Ep"	"D18N__Ep"	"D2N__Ep"	"D3R__Ep"	"D4R__Ep"	"D9N__Ep"	"D9R__Ep"	"NMU10_LL_Ep"	"NMU12_LA_Ep"	"NMU13_LAU_Ep"	"NMU13_LLU_Ep"	"NMU14__Ep"	"NMU7_RLU_Ep"
"CRYZL1"	-0.996957408276383	-1.15718333255073	-0.566792855960017	-0.466906739199444	-0.147276262497112	-0.315223071009472	-0.506510760928338	-1.56001614359093	-0.831344417945253	-0.67998975538032	1.31871138220382	-0.507525906838342	-1.3084658350808	0.0315700790008697	-4.34544960253219	-0.328712699454472	-0.233760181516992	-1.48534263382652
"CS"	0.460016048169875	0.594240314309167	0.461983520460162	1.07092178593062	0.468808755719825	0.943344783142431	0.706095401613499	1.27301849440642	0.810071351105083	-1.16697709653818	1.70347720770272	0.475564314651575	0.533563348214512	0.639252656222109	-1.12305718119574	-1.49318327080468	-0.182972071602816	-0.369865416406587
"CSAD"	0.991514532408233	0.832400051503932	1.3291346898923	0.762461444748477	1.52170810260574	0.866791279841233	-0.161413501586795	0.601641241867787	0.358758465434689	1.05892411057541	1.44922636045217	1.66443536176049	0.171527106038814	1.14848783078002	1.35035866687726	-0.343359475418873	1.87646592798009	0.013125176560211
"Csap1"	-0.465196302695856	-0.440074050216168	-1.04852519957252	-3.66545241858152	-3.27403340478305	-2.60845085364353	-4.32287692428091	-2.61890983264449	0.0651230175328868	-1.32262796699837	-1.89254048152743	-4.18071559057123	-0.643856189774725	-4.23521646169403	0.811054883147803	1.67371403794007	0.793011047278649	0.188006861043712
"CSDC2"	-1.58597812557189	-1.63226821549951	-2.20833888504754	-3.53010056568664	NA	-3.65284497300198	-2.31656315034871	-2.08048991786037	-1.83134441794525	-1.92596899703438	-6.91490829455588	-6.39016895620018	-2.61043318823727	-4.49825086752783	-1.02352150764482	NA	-2.18297207160282	NA
"CSDE1"	3.67377176767901	1.90004874383325	3.1482074067094	2.89891575386337	2.365694899369	3.18359993833939	2.82900752160119	1.85836658781753	3.21939842998745	2.60920666675914	3.88518269306911	3.10643519837542	2.51601514700366	2.08821365835856	2.10301089828411	1.84606170164924	2.66243907671686	2.34141353409597
"CSE1L"	-1.27629362643928	-1.11121747859855	-0.101129283611206	0.933240798001741	0.459984905332819	0.0869356367712807	0.589907385556481	-0.85640914637115	0.402612755024117	-0.535414182954883	-3.32994579383473	0.685310193287833	0.121015400961366	0.0378020327123845	0.0808151521699107	0.00193261253399918	-0.0780025120012732	-4.57280547507686
"CSF1"	3.6612005749467	2.87869370377787	0.113589209839821	-1.49290194773239	-2.80128040764792	2.25442127552909	2.52173249483945	3.01598762973658	2.84598647638056	0.325847184641964	-7.91490829455588	-0.862691950139788	-0.912537158749661	-4.65025396097288	-1.93041210325334	NA	-0.224391998982796	-9.74273047651917
"CSF1R"	-1.98619097740731	-3.78427130894456	-2.8015690017523	-4.95233356636969	NA	NA	-0.973372585041124	-3.45663840374562	-1.76515413825079	-0.615181459752222	NA	-2.0326169515821	-3.15200309344505	-4.65025396097288	-0.999674765690457	NA	NA	NA
"CSF2"	0.389429886245716	-1.59664430576879	-4.65954999687987	-1.53010056568664	-1.70883415888332	-2.64161771757872	-2.27924999188065	1.06959027218507	-1.49996484771332	-8.21137121589663	NA	-2.73195747344839	-2.200912693926	NA	NA	NA	NA	NA
"CSF2RA"	-0.292781749227846	-2.50794008049731	-2.60426756137868	-2.77601079372922	-2.42931163026096	-2.33091687811462	-1.34198574722862	-2.56828375957453	-0.774891149616073	-0.907590467719529	-0.0200905312479389	-2.43597264581331	-2.83650126771712	-2.23521646169403	-2.02352150764482	-2.10840359261851	-3.97229307083016	-2.82386723924458
"CSF2RB"	-1.29278174922785	-1.78427130894456	-3.30199799226179	-3.81483004261975	-6.88874324889826	-1.6986486626151	-0.903101505995404	-1.40389694167364	-1.12311054232236	-2.7684277200479	-3.39134633849887	-3.43597264581331	0.465974464504069	-4.82017896241519	-3.76048710181103	NA	-6.17392693199981	NA
"CSF3"	3.50780579694068	2.79935474421378	1.54624325251729	2.76958587918186	3.99733433597484	3.67526892183168	-4.1113728190872	2.42340097221347	0.432536391574237	-2.94458467520173	-7.91490829455588	1.14995908238192	1.05224198118114	-4.23521646169403	1.19370920857584	2.29341309108613	4.28683610585892	0.403201669301341
"CSF3R"	-7.73572524507657	-7.69116190455308	NA	NA	NA	-3.11368616189395	-5.20157062805878	-8.01122725542325	-6.24412594328373	NA	-5.32994579383473	NA	NA	-7.82017896241519	-3.60848400836598	NA	-9.49585502688717	NA
"CSGALNACT1"	-2.15678653198319	-2.03771966594916	-1.85865009695957	-6.78883483408681	-7.3037807481771	0.144816552851781	-1.15576693844565	-2.09236401814866	-1.28992963289685	-3.53894587392514	-0.666980781112297	-6.58281403414258	-1.9928044985958	-2.36074734377789	-1.50414734855125	NA	NA	NA
"CSGALNACT2"	-0.551841786044342	-1.22627585582368	-1.0338411538154	-1.58496250072116	-1.72887191211987	-0.921525941976915	-0.374407224920993	-1.31078753728216	0.00380157015985604	-0.82766692342258	-1.40711365435719	-1.33488652069899	NA	-1.73271612116485	-4.93041210325334	-3.15071439747648	-3.97229307083016	-1.42531786275431
"CSK"	-1.45032302621433	-0.85827189038834	-1.8847629372787	-1.50872691489407	-1.98185265328974	-1.67556504950206	-1.23690370117106	-0.702888225283847	-0.692609925655715	0.00294790490413336	-0.329945793834726	-1.58926905627988	-1.9928044985958	-1.5722514489716	-0.760487101811031	-3.4555689790049	-4.21045280802492	-2.35041305374041
"CSN1S1"	0.036424345707968	1.02079180160505	1.81668990944398	0.441357197817768	1.84342417676513	-1.56538213175164	0.357960657506785	0.813731485105268	2.41907633529581	0.932011998093188	1.51554425710965	-0.858787495683871	2.02856915219677	-0.925361199107244	5.11056249556396	6.0171517207361	4.16792542379596	4.15312877299969
"Csn1s2b"	-2.45032302621433	-1.95419631038688	-2.35576924870277	-4.16992500144231	-1.6695747284361	NA	-4.42784648388245	-4.48766529936624	-2.07420094184142	-0.578376018753675	-1.36031944287825	-6.22024395475787	-2.200912693926	-6.23521646169403	1.83113912919114	0.834178710133314	-0.734303794442692	1.2955026582126
"CSN2"	-6.73572524507657	NA	-7.65954999687987	-1.83463852369993	-4.36518129284125	NA	-3.02648392150069	-6.01122725542325	-4.43677102122613	-4.30448062028811	-7.91490829455588	NA	-2.66657626627481	NA	2.06958789674666	-1.57148826630447	-3.19207427871007	NA
"CSN3"	3.95033750481884	5.6062798307847	5.278835047456	3.144434288345	5.18623441340289	0.627925797128623	2.25123520947855	3.6021017989478	4.84240839471328	4.84051744000875	2.8689084647643	2.22959250709824	5.48663393507016	1.37703773069486	8.28781054890272	8.45840386425373	6.8331879594829	7.95455613465818
"CSNK1A1"	1.39097922776662	0.964666926887719	2.20153690911552	1.4651814365154	2.06108346186085	1.69698911845527	1.04696910480451	1.18106555904751	1.22836182817901	0.108300905050362	-0.256696811804088	1.74425736402074	2.15218341905505	1.76290380508775	1.46619267792852	1.86264151202663	1.60349278351602	2.02338428106755
"CSNK1D"	2.75131083495532	1.9652629587247	2.34150627775491	1.87548545824763	1.71858706485135	2.1693274884742	1.37171006761474	2.81532123186766	1.54703694527129	0.949760667087674	0.685004547631245	1.83202218225615	2.73362549840823	1.75913697516483	1.43591011099247	2.37060560779387	1.68653932651736	1.9327855675636
"CSNK1E"	0.362306837883953	-0.0329504218012866	-0.153738442960276	-0.557270766852108	-0.392888222011088	-0.503097853497297	-0.787260476937961	0.361637804689334	-0.499964847713319	-1.37848120173189	-2.39134633849887	-0.655459335974345	-1.04022984478853	-0.711654505637019	1.09195570977511	-0.891980129076309	-0.395192687881972	-0.0440258097488299
"CSNK1G1"	-5.15076274435542	-4.81669278663694	-2.98712465490837	-2.64199344575754	-2.4964258261195	-5.26052755022322	-2.99589560166726	-5.68929916053589	-3.39612903672878	-2.09243014317313	-5.91490829455588	-3.43597264581331	-3.47393118833241	-2.53477674355294	-5.93041210325334	NA	NA	-2.83583988091066
"CSNK1G2"	1.94691827520372	1.75316282169401	1.22462052222857	1.8493424628839	0.209288834062268	0.606898290688802	1.26734897170145	2.11805576152171	1.15845981494886	2.10151173938772	3.28905140868358	1.49781317685827	1.99050111136325	2.05787195031335	1.82447539891013	2.04193068046592	1.95638621354365	1.97408898481077
"CSNK1G3"	-0.596173892677781	-1.5414147850484	0.206183273971889	0.0530664213729041	0.318271071279273	0.8589076807654	0.332073095377398	-0.519374159093579	-0.246381917224097	-0.245586931234545	-0.193809105848697	0.329219864741899	0.401903471607958	-0.0388192488905282	-0.88601798389489	0.61557786795924	0.661491908475672	-0.971241007018576
"CSNK2A3"	-3.10345702957706	-2.4432343911095	-2.68227007337995	-1.15739790356615	-2.36518129284125	-1.00538654654706	-2.03682586572215	-2.45663840374562	-1.57736935139893	-1.09762904984744	-0.557356289937799	-1.29741181528033	-0.939952616330061	0.0253110885291876	-1.02352150764482	NA	-0.257450287562092	-1.68744804101798
"CSNK2A2"	-2.5107588800763	-1.77627851819103	-0.848978362138723	-1.59056520695053	-0.357361788381947	-1.10209818761874	-1.07628215461884	-0.17202346732631	-0.817861188581631	-1.7684277200479	-2.05692729942831	-0.608809242675524	0.082361969557474	-0.427861539636427	-0.202491648690144	-4.84259210211415	-1.55334052154793	-0.756888539515834
"CSNK2B"	-0.0832387501584093	1.17095882093541	0.744527139361364	0.941999175908008	0.533321517274553	0.627925797128623	0.909649196230895	1.50348679871523	0.592555650043387	1.66821203371615	1.69980154955933	0.838649734295697	1.38887833881199	1.17417447444367	0.939952616330061	0.241603025302283	1.30585333202929	1.28517552005071
"CSPG4"	-2.25675344004363	-0.116253068495848	-2.20833888504754	-6.13675813750711	NA	-0.848713951818662	-1.08698866046024	0.818495479662805	-0.337235347675211	-0.60034641858928	NA	-6.80520645547903	-4.94341647163363	-2.29661700635817	-0.930412103253343	NA	NA	NA
"CSPG5"	0.163933781300868	-0.81669278663694	-2.1676969005502	-2.90968922896119	-3.5668151540109	-2.96634444581876	-1.35486703852535	-0.881944238478288	-0.761923016987774	-0.292507978622038	-2.96071198416901	-4.18071559057123	-3.81096617560998	-2.73271612116485	NA	NA	-4.91089252616601	-4.61344745957421
"CSPP1"	-2.06896865319177	-3.02819689183065	-1.67655642218556	-0.854722769743263	-1.08784334897795	-2.37672056772774	-2.3040178970296	-3.31078753728216	-2.17373661539233	-0.893958602131763	-3.16002079239241	-1.17100043573802	0.224966365000274	0.764783538305968	NA	-4.73567689819763	-2.19207427871007	-1.47594393582427
"CSRNP1"	3.55878063498734	3.62568527904939	3.48526754535491	1.89014249662425	2.02788267331298	-0.533903900278472	1.83717139772016	2.67352136499837	2.87013695731033	1.84323310206404	-3.45547667591859	1.82778874166393	2.56559717585422	-1.96219796728762	-4.60848400836598	4.26442373271238	2.54819750491413	2.39809929425383
"CSRNP2"	-1.38876835569769	-0.131466162442355	-0.679410419240713	-1.87509056743723	-1.877515993475	-2.28652275875616	-1.23988755960988	-0.433798427387505	-0.811166536007623	-1.16152266644607	0.511356460146216	-1.82792653197911	-2.00723156923108	-1.61072559678624	NA	NA	-0.389946518316013	NA
"CSRP1"	5.02939506474312	4.79256991455124	3.64836230561308	2.21638868799097	2.26036874180863	2.8462534682269	4.26793990380064	4.70955139374381	4.28168846450466	5.70963286411672	2.96160865200912	1.54425908442662	3.36001304220433	1.79820653984342	3.53209016934392	3.88165937125772	2.68715997399558	3.63597079144505
"CSRP2"	-0.633487051145836	-0.056955884812076	-0.959110278738778	-3.20387233336565	-4.4964258261195	-0.842273338260832	0.391127521441984	1.10381639473846	-0.131425810534367	3.03833484107307	-0.666980781112297	-1.99785153342142	-0.895663340185265	-2.36074734377789	NA	-5.22110372536788	-2.3665720099422	-4.21916852046216
"CST3"	5.23002297175864	6.17676029221238	2.59754314761119	2.25282431755041	2.71766196379953	3.62109628677487	4.51095637238105	4.20869751343956	4.53247158320837	7.51064912748109	2.76104873838587	2.94605863328321	3.81134257974037	0.293563203634001	5.01685954920701	2.40679489050387	3.71420745635306	2.67433087024112
"CST6"	1.56531360482657	3.47038991586423	0.760410180968019	-1.78240856492737	-0.496425826119499	-1.95240525486089	1.59995521519663	-0.128584206061413	1.66576714048631	3.97474302364501	-0.140121234954709	-1.02384674195437	-1.52491511705122	-0.368967850582859	-1.842949262003	-1.32386329979308	-3.91089252616601	-1.27105526212713
"CST7"	-1.71780333707931	-4.27612440527424	-4.30199799226179	-4.0726278000874	-6.08138832684065	-2.63047715997352	-0.329218451154738	-3.48766529936624	-1.07019901128392	-0.806229752760288	-7.91490829455588	-3.43597264581331	-2.82367722735954	-5.23521646169403	-2.842949262003	NA	-1.70143916053706	NA
"CSTB"	2.59474352151374	2.87995867101444	2.11193947262073	1.43723324539304	2.39318677805718	1.71784243380524	2.00378908961311	2.8125380243664	2.02593572944403	3.59094319009486	3.11851470698157	1.81317904677958	2.23227701026829	1.77227807485289	2.62609395141858	2.3153377795995	2.3795103737546	1.6945014245203
"CSTF1"	-0.623025112327212	-1.24821840870435	-0.810927056450532	-0.163647855756152	-1.02455710424398	-2.12146351248567	-1.36135107209555	-0.0687127500840142	-0.904275940399105	-1.29250797862204	1.98142410935406	-0.519804236616779	0.41006969175638	-0.949814242831783	-4.60848400836598	NA	0.47712475917912	0.447094082360843
"CSTF2"	-1.19805643672519	-1.35131190166846	-0.256537973304873	0.525214249544124	0.224998917150929	0.276413435634994	-0.296340862997115	-1.30538754953957	-0.649786408568967	-1.10284675911846	0.77397141691734	0.531002534064429	-0.322108443039468	-0.124046007188105	0.939952616330061	-2.15932752778119	-0.698193501033411	0.353984677969361
"CSTF2T"	-4.19967234483636	-4.52123690311077	-4.57208715562953	-3.64199344575754	-3.5668151540109	-5.33091687811462	-3.71282344259692	-3.68929916053589	-3.26227328999399	-1.14528202543886	-0.505517358418181	-4.10476673733794	-3.57776699931695	-3.29661700635817	-1.64500988439109	NA	-5.49585502688717	-1.14654072037476
"CSTF3"	-3.44294349584873	-3.46876948321663	-1.46479314245762	-1.95233356636969	-1.67928988326931	-1.84549005094438	-2.26702368954739	-2.84130225398094	-2.28065181930884	-3.04144621445432	NA	-1.85878749568387	-0.716078227692382	-1.41078802627749	-0.62663135507624	0.22845764924536	-4.6378740317596	-1.22703063823513
"CTBP1"	3.22557973844925	2.73370421209387	2.4496277064754	2.04088790099925	2.06618004313206	2.10787497446364	2.15881630582854	2.80335521048302	2.46840105715609	1.82960338292067	2.92114206050219	2.02557281208991	1.05571626351254	1.01587139264288	0.889766859161844	0.11160420827273	0.85508415465926	1.16416011908934
"CTBP2"	-0.0803734164640201	0.272697503184513	1.28735627757653	0.675273271759964	0.900790396072101	0.0527874143594353	0.580634992872637	0.185989437686798	0.354298817243989	0.799856039526622	1.27491626432413	0.744257364020743	-0.40784199787464	0.738241750853477	0.354990115608905	0.861045315985996	0.588953360917191	-0.258914699254918
"CTBS"	-0.208514126016764	0.266211040219256	-0.902326686345341	-0.917448787307095	-1.26142824753321	0.418617389554645	0.829569824580242	-0.212852663326415	0.592467293310771	0.190916081640486	0.451282759633396	-0.799282545379186	-0.0959205878449228	-0.572821046284083	-6.05070633697106	-0.745759388225265	-1.20224543770751	-2.21916852046216
"CTC1"	0.41909286397553	0.431234726806645	-0.153738442960276	0.57748738015901	-0.487863812616075	0.64865122198057	-0.0290624656024628	0.190896568407207	0.116940545510591	-0.394387592641251	-1.34505268622493	0.366387366323903	-2.08161376555365	0.0927103738147739	0.259412455626674	1.07627113516045	-1.32092934438649	1.29275597477298
"CTCF"	-1.35374976651927	-1.61078848808906	-0.0652253929550224	0.566201572612494	-0.219858264632012	0.617450353470061	-0.528233053972861	-1.71660650653163	-0.32050133191541	-0.604040902147022	-2.16002079239241	0.481736281459003	0.150559676575381	1.07766649359032	1.33637443744156	-1.84259210211415	0.620488934350297	0.737049787509925
"CTDNEP1"	0.0573903101977735	0.588061739380043	-0.402162154187218	-0.65955181714184	-0.617280220993884	0.0699625581675675	0.612417386331273	0.452297117847926	0.406925747895199	0.777313470875533	1.19883387149331	-0.297411815280331	-0.862496476250065	-0.962197967287616	-1.68248458980976	-1.54303182025524	-3.7409675247237	-2.20357166541114
"CTDP1"	1.70846141762279	1.16785513732702	0.696901973341885	-0.557270766852108	-1.04325319795388	0.184782960169426	-1.81591693556103	2.20551860277205	-0.554826782747837	-1.21701777903777	-7.91490829455588	-0.679362522500832	1.82476785314329	-1.36074734377789	-3.76048710181103	0.27874216171533	0.518165443427764	0.0933198785388954
"CTDSP1"	-0.190374600254275	0.14172810961166	-1.22492176924315	-0.680310377308637	-0.790711165937732	-0.125367966941583	-0.665918978006355	-0.763299741979669	-0.641241534565311	0.988301128939732	-0.337479466520134	-0.878416302432804	-2.81096617560998	-0.865982652028313	-0.780664983748661	-4.49863770089678	-1.80236806938785	-2.29978698067045
"CTDSPL"	-4.05765333996394	-3.12637728576956	-2.03019337680026	-1.78883483408681	-1.18138411681738	-2.01622035245833	-2.8703647195834	-2.86148013591857	-3.39612903672878	-2.06162409639195	0.294545071073067	-2.36780114317173	-2.49410907027004	-2.1197392442741	NA	NA	-6.91089252616601	NA
"CTDSPL2"	-1.45032302621433	-2.07645206043787	-1.20011837824257	-0.487665299366241	-1.61261884362402	-0.707401136624068	-1.16992500144231	-2.86148013591857	-0.933058841028134	-0.449819983452153	0.145787637131671	-0.679362522500832	-0.245112497836531	-0.105933444749065	-5.34544960253219	-0.716483332964323	-1.11215073441312	-1.90984046235443
"CTF1"	-1.55382760196819	-1.15200309344505	-0.746660660649908	-0.128584206061413	0.382719779006116	-1.03813512888677	-1.6679269046226	-2.26976026902211	-1.92219784839637	-0.656782364218995	2.46771573201903	0.123558639752254	-2.86249647625006	0.610273589250344	-0.0724311081257712	-1.12940389123107	-0.454195875249956	-2.08451899376738
"CTH"	-3.47269083924278	-3.78427130894456	-3.26723257410111	-4.0726278000874	-4.13385574673479	-4.09825612132434	-4.72950218374355	-3.05703094503638	-3.45752958139292	-4.25717490550976	-7.91490829455588	-2.68972923805909	-1.38176134440455	-3.36074734377789	NA	-1.13364088411754	-1.02824947680417	-1.63420601974101
"CTHRC1"	4.62731438517994	3.5872875536674	2.09784001248677	-3.50872691489407	-3.42931163026096	2.29588726681763	3.71931043204026	3.82324379456097	2.8740364867794	3.94550190205293	NA	-2.48327836059166	1.674686619928	-4.36074734377789	-0.780664983748661	NA	-3.03642340824987	-2.8847494813916
"CTIF"	-5.41379715018921	-5.02819689183065	-5.57208715562953	-6.4262647547021	-5.18830353075717	-6.48291997155967	-5.45532722030456	-5.10433665981474	-5.98109153744994	-6.88944312100927	NA	-8.39016895620018	-7.32192809488736	-4.82017896241519	NA	NA	-3.68850010482957	NA
"Ctla2a"	-3.90790622045925	-2.50794008049731	-2.15970410979666	-1.32472672824004	-1.55782637078364	-1.82629648571106	-2.91736219912057	-3.22986754189859	-2.70807304304352	-1.06162409639195	-0.21446857641479	-0.989289519917999	-1.88230495733025	-0.937535913053346	0.811054883147803	-0.798197982755692	-0.57104252328139	-1.46660607124494
"CTLA4"	-4.25029841790633	-6.95419631038687	-6.85219507482227	-8.01122725542325	-5.08138832684065	-4.33091687811462	-1.82933745132335	-6.20387233336565	-2.83813358360789	-4.00191785026768	-6.91490829455588	-3.80520645547903	-3.35845397091248	-6.82017896241519	-1.57286009863526	NA	NA	NA
"CTNNA1"	2.69179712560598	2.48833255834565	2.95400928090839	2.86937664866499	2.60811052848978	2.57206111771779	2.38290701463702	2.8506350846359	2.5240583814932	1.69777183144326	2.1308513668268	2.97970098243469	3.2253520607761	2.25930582141163	1.27904126237561	3.0682235684441	2.80363921212219	3.16171598798655
"CTNNA2"	-4.92837032301897	-5.10619940383193	-4.75265940127135	NA	NA	NA	-6.06830409719531	-6.68929916053589	-7.56605403817109	-2.98255252540075	-3.32994579383473	NA	-8.05889368905357	-5.82017896241519	-3.93041210325334	NA	NA	NA
"CTNNAL1"	-1.07465976526963	-1.62507271409531	-0.639959268521989	-0.966833136064801	-1.0369942074822	-3.31299497011735	-0.192870933108392	-2.38187063534364	-0.940345195106627	-0.217017779037774	-1.87051417519743	0.00214846657857688	0.464668267003444	0.240516969272366	2.75433651716828	1.81286981807318	-1.36142870666624	-1.00463821689868
"CTNNB1"	0.732695156787978	1.35323221480537	1.11193947262073	1.66355350754637	1.19340579245561	2.17410067741351	1.19903340590494	1.89039390292286	1.30662084209951	-0.439881746396034	2.99947683759956	1.82839427999009	1.75328361646088	1.96118075110947	1.99440040035244	2.43960531341419	1.50976952230671	1.76951616631
"CTNNBIP1"	1.30976141128289	0.699723562732547	0.181227926715185	0.635031424566775	-0.0152991363828825	-0.115626572463383	0.130790823162304	0.820079988378797	0.149907952084053	0.683446547411311	1.57293173926717	0.409112665321738	0.0617761975866898	0.904334890704762	0.837772221523583	-1.75512926086381	-0.271853352689066	0.72385586120007
"CTNNBL1"	-0.54985869976524	-0.478462879420477	-0.0229253763362211	-0.216811389073148	-0.849824259605957	-0.54432051622381	-0.517331024455181	-0.107345409687074	-0.505358106483538	-1.20014396047338	1.30426022590628	-0.0043065555587227	-0.613189053527783	2.73345033150118	1.07521244594053	-0.54867838339638	0.789547191975077	0.633394912757
"CTNND1"	-0.951744831392779	-0.430634354329862	-0.749656913109828	0.473931188332412	-0.445799753049531	-0.333172852054985	-0.332399698399418	0.0682575284035613	0.408360551634435	-1.28063387833375	-0.785625277610916	0.404246910149922	-0.0664273617389761	-0.732716121164848	-0.315702259138135	0.745834253910582	0.113323711254808	0.404474448423054
"CTNND2"	-3.21216328901956	-3.12637728576956	-4.13598804082286	-5.50872691489407	-8.88874324889826	NA	-3.92694824794977	-3.72582503656101	-3.8936286961996	-2.15608878039544	-0.307577980806272	-5.58281403414258	-5.18442457113743	-2.73271612116485	-0.345449602532187	NA	NA	-6.42080238163181
"CTNS"	-2.95962125700341	-1.66879409152463	-3.48962499543756	-2.38673639051546	-1.81192765184743	-2.37672056772774	-2.72950218374356	-2.41131441323613	-2.7458750757559	-3.48345076133343	NA	-2.23029761942179	-2.48398485299634	-1.86598265202831	NA	0.418417874142958	-1.22906848619227	-0.234935836320478
"CTPS1"	0.32497068661098	-0.00466137736986293	0.509122121252361	1.14611967993959	1.11125675110174	1.21520588074318	0.802785776985358	0.267222202797227	0.725116661150769	-0.04144621445432	1.80960555856407	0.813179046779579	0.643856189774725	1.05326515010019	-2.34544960253219	-7.95806931953408	2.17258680116583	0.0806367635270607
"CTPS2"	1.11851980914355	1.03107640386657	0.790630250284883	0.392494930627756	0.746067801273459	0.934932543326231	1.10808908115043	0.376790029921881	0.989493733475973	0.0294201162653247	-3.32994579383473	0.931759138687179	-0.198841343906302	0.515211392278737	1.26926024158302	1.71788771340767	1.54374949106659	1.02545384825775
"CTR9"	-0.245476034449489	-0.239950792720753	0.215431350773905	0.959358015502654	0.424139706386096	0.133424654646487	0.2882126041556	0.161200253222228	0.00380157015985604	0.106041397868237	-1.72508373567587	1.18725987183556	1.06004738366994	1.01271105174955	0.9087916848436	1.70904222254095	1.25233782270229	0.317965455168379
"CTRB2"	-5.15076274435542	-4.14684138832927	-5.48962499543756	NA	-7.88874324889826	NA	-6.24887634283713	-4.36737106564853	-4.47859119692075	-3.06162409639195	-5.91490829455588	-6.58281403414258	-2.59946207041627	-6.23521646169403	-4.93041210325334	NA	NA	NA
"CTRC"	-4.63138858526184	-5.36923380966572	-4.85219507482227	-7.27426166125705	-5.88874324889826	NA	NA	-6.01122725542325	-6.75869911611349	-4.88944312100927	-2.32994579383473	-9.39016895620018	-3.88896868761126	-4.49825086752783	NA	NA	-4.68850010482957	-2.30810224888245
"CTRL"	-8.47269083924278	-9.27612440527424	-7.33762190199251	-7.59618975614441	NA	NA	-7.15576693844565	-8.01122725542325	NA	-8.21137121589663	NA	NA	-5.39592867633114	-4.36074734377789	NA	NA	NA	NA
"CTSA"	4.83097243788245	4.34816272854555	3.15510856697991	1.87942716033507	2.99176244859597	3.31444974376466	3.74305642856323	3.60265427344047	3.60229685340779	3.85147938123542	-0.0242184168706155	2.93304628236899	3.05918219921169	2.48223148801043	2.97452351884171	3.11085223576017	2.77413654233753	2.82533251403344
"CTSB"	6.45633634973813	5.65867218690417	4.97899904748046	3.58107404210906	4.63836717221775	5.05159907736838	5.3059043438306	5.47044606102402	5.07937923699317	4.28573214112024	2.15923316819662	3.82247941161607	4.09992635055603	2.57106462701225	4.52491511705122	5.09885058531907	4.61013530190467	4.16369041534406
"CTSC"	2.96748622231457	3.04298317055075	2.9050758659155	1.65588428665177	2.45388704978015	3.18340267368592	2.69851708173056	2.49607186869951	3.07079711845544	1.94723847231785	-1.09472933214069	1.49552741713921	2.80838505065609	0.0315700790008697	3.94840518136088	4.31349097417454	3.43284839230619	3.34174576093472
"CTSD"	4.10913741075424	4.42279725706558	3.59931043452989	2.67118217512086	3.46385198223604	4.27539579184341	3.58633193133265	3.79391200889348	3.6716040805086	4.62458048322808	0.0566352593948895	3.33071654739354	3.39334755137725	2.19384150789975	2.52079900857899	1.62501344796885	2.4359905132965	2.5909839495748
"CTSE"	0.456074255988501	0.754542730972704	2.07431272279867	2.03498729955957	2.83491769551172	1.14967139211924	-1.05247913003363	0.0166787411466304	-0.730003683113022	-1.75193959725934	-7.91490829455588	2.65183235007895	0.430285272977781	1.69749042571862	-0.0849220523089681	1.01059747366113	1.74731895658578	-0.71482447994929
"CTSF"	2.97817673287108	2.71716783621431	0.666879490242433	-1.33880191345176	-0.674424128097493	1.45894276279903	2.01415806299666	1.88434802695743	1.58496250072116	1.93964532299562	-6.91490829455588	-0.217741447554701	0.0942360698457655	-0.974688911470812	-0.229972385112251	-0.72285285784005	-0.823429684915675	-2.13540016276956
"CTSH"	5.29483844374456	5.00087233402288	2.72631240376159	1.53502414894186	2.74061337118135	4.16383872404584	4.76048576036656	3.84558729707976	4.55507471664885	4.11870533890083	1.95545642502752	2.54941025811451	2.47800105583793	0.869819009004258	2.31751541019024	1.87218177851005	2.51921150634312	1.7827903325759
"CTSK"	3.62545093351372	3.91478053507229	1.75724753072619	-3.13675813750711	-3.18830353075717	2.37644225396627	3.56469109994764	3.56690952799149	3.13481911696917	3.67184482415556	-6.32994579383473	-1.73911726502125	2.26341005875634	-5.82017896241519	NA	NA	NA	NA
"CTSV"	3.94199439656443	4.84524722068472	4.32771401519267	2.45909267935678	3.82593157840974	4.23817921714752	4.69832224142492	4.54791080021913	4.46150644407769	4.41296732941635	0.342479548136769	2.58854150290617	5.41062094565482	1.15996061522397	3.93841045152166	3.58480133275574	3.50326415310813	3.30864842316835
"CTSS"	0.146917804285267	-1.90980219102842	-1.72881265931698	-2.33880191345176	-0.993925485590316	-3.58675578254421	-0.316563150348709	-2.9888594423948	-0.580212101167751	-0.626408715175476	-1.984170956993	-1.2252620295245	-0.381761344404545	-3.06529146025172	-2.60848400836598	0.556315990147955	-1.082227097863	0.198317129821406
"CTSW"	-0.840907481768631	-3.25375659224578	-4.95911027873878	-6.13675813750711	-4.98185265328974	-2.81995495883724	-0.684091724053608	-3.28330680086005	-1.01146518649345	-1.17245222660433	-7.91490829455588	-3.34577483684173	-0.655171503002559	NA	-6.93041210325334	NA	NA	-2.87236575693577
"CTSZ"	1.92034202864902	1.08801024973381	0.811108877180681	1.39036339361225	0.975442895756021	0.439912167917873	1.18519582580605	0.854506015428505	1.34833109398435	1.97783561870039	1.090716254638	1.14801997585224	0.508428652531857	0.900920226291997	2.64701672478241	1.634387717734	1.24897881061237	1.76159197177272
